State,FIPS,total facilities
Oklahoma,40001,1
Oklahoma,40003,2
Oklahoma,40005,3
Oklahoma,40007,1
Oklahoma,40009,3
Oklahoma,40011,2
Oklahoma,40013,1
Oklahoma,40015,3
Oklahoma,40017,4
Oklahoma,40019,3
Oklahoma,40021,1
Oklahoma,40023,1
Oklahoma,40025,1
Oklahoma,40027,3
Oklahoma,40031,5
Oklahoma,40035,3
Oklahoma,40037,3
Oklahoma,40039,2
Oklahoma,40041,1
Oklahoma,40043,1
Oklahoma,40045,1
Oklahoma,40047,2
Oklahoma,40049,2
Oklahoma,40051,2
Oklahoma,40053,1
Oklahoma,40055,3
Oklahoma,40057,1
Oklahoma,40059,1
Oklahoma,40063,3
Oklahoma,40065,2
Oklahoma,40067,1
Oklahoma,40069,1
Oklahoma,40071,4
Oklahoma,40073,1
Oklahoma,40075,2
Oklahoma,40077,1
Oklahoma,40079,2
Oklahoma,40081,1
Oklahoma,40085,1
Oklahoma,40087,1
Oklahoma,40089,3
Oklahoma,40091,1
Oklahoma,40093,1
Oklahoma,40095,2
Oklahoma,40097,1
Oklahoma,40099,1
Oklahoma,40101,3
Oklahoma,40103,1
Oklahoma,40105,1
Oklahoma,40107,3
Oklahoma,40109,14
Oklahoma,40111,2
Oklahoma,40113,2
Oklahoma,40115,1
Oklahoma,40117,1
Oklahoma,40119,3
Oklahoma,40121,3
Oklahoma,40123,1
Oklahoma,40125,2
Oklahoma,40127,1
Oklahoma,40129,1
Oklahoma,40131,1
Oklahoma,40133,1
Oklahoma,40135,1
Oklahoma,40137,1
Oklahoma,40139,1
Oklahoma,40141,2
Oklahoma,40143,5
Oklahoma,40145,1
Oklahoma,40147,1
Oklahoma,40149,1
Oklahoma,40151,2
Oklahoma,40153,3
