date,county,state,fips,cases,deaths
6/10/2021,Adams,Pennsylvania,42001,9624,186
6/10/2021,Allegheny,Pennsylvania,42003,101605,1994
6/10/2021,Armstrong,Pennsylvania,42005,5996,148
6/10/2021,Beaver,Pennsylvania,42007,15498,385
6/10/2021,Bedford,Pennsylvania,42009,4689,140
6/10/2021,Berks,Pennsylvania,42011,48232,1035
6/10/2021,Blair,Pennsylvania,42013,13494,340
6/10/2021,Bradford,Pennsylvania,42015,6095,92
6/10/2021,Bucks,Pennsylvania,42017,60704,1314
6/10/2021,Butler,Pennsylvania,42019,17553,418
6/10/2021,Cambria,Pennsylvania,42021,14729,435
6/10/2021,Cameron,Pennsylvania,42023,304,7
6/10/2021,Carbon,Pennsylvania,42025,6384,173
6/10/2021,Centre,Pennsylvania,42027,16886,224
6/10/2021,Chester,Pennsylvania,42029,40691,821
6/10/2021,Clarion,Pennsylvania,42031,3195,94
6/10/2021,Clearfield,Pennsylvania,42033,8630,150
6/10/2021,Clinton,Pennsylvania,42035,3702,66
6/10/2021,Columbia,Pennsylvania,42037,5877,133
6/10/2021,Crawford,Pennsylvania,42039,7511,153
6/10/2021,Cumberland,Pennsylvania,42041,20538,524
6/10/2021,Dauphin,Pennsylvania,42043,26047,555
6/10/2021,Delaware,Pennsylvania,42045,52327,1454
6/10/2021,Elk,Pennsylvania,42047,2866,40
6/10/2021,Erie,Pennsylvania,42049,21159,415
6/10/2021,Fayette,Pennsylvania,42051,13319,325
6/10/2021,Forest,Pennsylvania,42053,1433,21
6/10/2021,Franklin,Pennsylvania,42055,15391,371
6/10/2021,Fulton,Pennsylvania,42057,1362,15
6/10/2021,Greene,Pennsylvania,42059,3328,40
6/10/2021,Huntingdon,Pennsylvania,42061,5131,134
6/10/2021,Indiana,Pennsylvania,42063,6393,177
6/10/2021,Jefferson,Pennsylvania,42065,3339,99
6/10/2021,Juniata,Pennsylvania,42067,2136,87
6/10/2021,Lackawanna,Pennsylvania,42069,18485,479
6/10/2021,Lancaster,Pennsylvania,42071,55280,1157
6/10/2021,Lawrence,Pennsylvania,42073,7627,212
6/10/2021,Lebanon,Pennsylvania,42075,16162,292
6/10/2021,Lehigh,Pennsylvania,42077,39743,861
6/10/2021,Luzerne,Pennsylvania,42079,31964,820
6/10/2021,Lycoming,Pennsylvania,42081,11914,291
6/10/2021,McKean,Pennsylvania,42083,3801,72
6/10/2021,Mercer,Pennsylvania,42085,9663,261
6/10/2021,Mifflin,Pennsylvania,42087,5413,179
6/10/2021,Monroe,Pennsylvania,42089,14753,321
6/10/2021,Montgomery,Pennsylvania,42091,70246,1724
6/10/2021,Montour,Pennsylvania,42093,2023,67
6/10/2021,Northampton,Pennsylvania,42095,35773,714
6/10/2021,Northumberland,Pennsylvania,42097,9688,356
6/10/2021,Perry,Pennsylvania,42099,3844,100
6/10/2021,Philadelphia,Pennsylvania,42101,153888,3722
6/10/2021,Pike,Pennsylvania,42103,4015,54
6/10/2021,Potter,Pennsylvania,42105,1198,25
6/10/2021,Schuylkill,Pennsylvania,42107,14767,409
6/10/2021,Snyder,Pennsylvania,42109,3668,85
6/10/2021,Somerset,Pennsylvania,42111,8025,215
6/10/2021,Sullivan,Pennsylvania,42113,439,20
6/10/2021,Susquehanna,Pennsylvania,42115,2650,62
6/10/2021,Tioga,Pennsylvania,42117,3088,110
6/10/2021,Union,Pennsylvania,42119,6142,89
6/10/2021,Venango,Pennsylvania,42121,4080,99
6/10/2021,Warren,Pennsylvania,42123,2635,103
6/10/2021,Washington,Pennsylvania,42125,17835,303
6/10/2021,Wayne,Pennsylvania,42127,4124,82
6/10/2021,Westmoreland,Pennsylvania,42129,34258,769
6/10/2021,Wyoming,Pennsylvania,42131,1986,54
6/10/2021,York,Pennsylvania,42133,46810,821
