SUMLEV,MUNICIPIO,72001,NAME,NAME,YEAR,POPESTIMATE,POPEST_MALE,POPEST_FEM,UNDER5_TOT,UNDER5_MALE,UNDER5_FEM,AGE513_TOT,AGE513_MALE,AGE513_FEM,AGE1417_TOT,AGE1417_MALE,AGE1417_FEM,AGE1824_TOT,AGE1824_MALE,AGE1824_FEM,AGE16PLUS_TOT,AGE16PLUS_MALE,AGE16PLUS_FEM,AGE18PLUS_TOT,AGE18PLUS_MALE,AGE18PLUS_FEM,AGE1544_TOT,AGE1544_MALE,AGE1544_FEM,AGE2544_TOT,AGE2544_MALE,AGE2544_FEM,AGE4564_TOT,AGE4564_MALE,AGE4564_FEM,AGE65PLUS_TOT,AGE65PLUS_MALE,AGE65PLUS_FEM,AGE04_TOT,AGE04_MALE,AGE04_FEM,AGE59_TOT,AGE59_MALE,AGE59_FEM,AGE1014_TOT,AGE1014_MALE,AGE1014_FEM,AGE1519_TOT,AGE1519_MALE,AGE1519_FEM,AGE2024_TOT,AGE2024_MALE,AGE2024_FEM,AGE2529_TOT,AGE2529_MALE,AGE2529_FEM,AGE3034_TOT,AGE3034_MALE,AGE3034_FEM,AGE3539_TOT,AGE3539_MALE,AGE3539_FEM,AGE4044_TOT,AGE4044_MALE,AGE4044_FEM,AGE4549_TOT,AGE4549_MALE,AGE4549_FEM,AGE5054_TOT,AGE5054_MALE,AGE5054_FEM,AGE5559_TOT,AGE5559_MALE,AGE5559_FEM,AGE6064_TOT,AGE6064_MALE,AGE6064_FEM,AGE6569_TOT,AGE6569_MALE,AGE6569_FEM,AGE7074_TOT,AGE7074_MALE,AGE7074_FEM,AGE7579_TOT,AGE7579_MALE,AGE7579_FEM,AGE8084_TOT,AGE8084_MALE,AGE8084_FEM,AGE85PLUS_TOT,AGE85PLUS_MALE,AGE85PLUS_FEM,MEDIAN_AGE_TOT,MEDIAN_AGE_MALE,MEDIAN_AGE_FEM
50,21,72021,Puerto Rico,Bayamón Municipio,12,169269,79430,89839,6250,3197,3053,14639,7507,7132,7627,3901,3726,16031,8481,7550,144647,66789,77858,140753,64825,75928,65142,32873,32269,43383,21480,21903,43175,19335,23840,38164,15529,22635,6250,3197,3053,7805,3943,3862,8733,4553,4180,10106,5196,4910,11653,6197,5456,12814,6866,5948,10562,5204,5358,10161,4808,5353,9846,4602,5244,9908,4620,5288,10554,4868,5686,11800,5154,6646,10913,4693,6220,9644,4028,5616,8998,3820,5178,7527,3095,4432,6065,2462,3603,5930,2124,3806,43.3,39.8,46.5
50,23,72023,Puerto Rico,Cabo Rojo Municipio,12,47515,22454,25061,1425,718,707,4373,2189,2184,2158,1085,1073,4317,2172,2145,40623,18986,21637,39559,18462,21097,17071,8215,8856,11148,5249,5899,12800,6064,6736,11294,4977,6317,1425,718,707,2160,1037,1123,2765,1443,1322,2835,1408,1427,3088,1558,1530,3047,1430,1617,2447,1161,1286,2580,1204,1376,3074,1454,1620,3544,1671,1873,3407,1670,1737,3002,1385,1617,2847,1338,1509,2921,1319,1602,2913,1339,1574,2280,1051,1229,1595,682,913,1585,586,999,45.5,44.4,46.4
50,25,72025,Puerto Rico,Caguas Municipio,12,124606,57777,66829,4307,2151,2156,11651,5926,5725,6144,3105,3039,11605,5867,5738,105626,48177,57449,102504,46595,55909,48034,23205,24829,31763,14986,16777,33039,15081,17958,26097,10661,15436,4307,2151,2156,6046,3072,2974,7083,3607,3476,8063,4090,3973,8208,4129,4079,8666,4177,4489,7379,3475,3904,7675,3569,4106,8043,3765,4278,8317,3949,4368,8413,3914,4499,8508,3782,4726,7801,3436,4365,7103,3119,3984,6542,2759,3783,5058,2062,2996,3783,1519,2264,3611,1202,2409,43.1,40.8,45
50,27,72027,Puerto Rico,Camuy Municipio,12,30504,14532,15972,1084,521,563,2783,1345,1438,1420,750,670,2869,1449,1420,25916,12292,13624,25217,11916,13301,11443,5671,5772,7526,3661,3865,8471,3938,4533,6351,2868,3483,1084,521,563,1470,703,767,1685,831,854,1847,960,887,2070,1050,1020,2114,1032,1082,1687,848,839,1742,843,899,1983,938,1045,2079,1007,1072,2204,1009,1195,2171,974,1197,2017,948,1069,1878,867,1011,1792,845,947,1276,587,689,746,327,419,659,242,417,43.9,42.6,45.2
50,29,72029,Puerto Rico,Canóvanas Municipio,12,44674,21461,23213,1668,924,744,4675,2436,2239,2215,1146,1069,4188,2317,1871,37209,17529,19680,36116,16955,19161,17537,8646,8891,11700,5462,6238,12300,5646,6654,7928,3530,4398,1668,924,744,2476,1299,1177,2765,1416,1349,2852,1507,1345,2985,1677,1308,3163,1680,1483,2657,1267,1390,2699,1166,1533,3181,1349,1832,3273,1516,1757,3291,1515,1776,3069,1399,1670,2667,1216,1451,2280,1011,1269,2152,967,1185,1574,745,829,918,439,479,1004,368,636,41.8,39.2,43.5
50,31,72031,Puerto Rico,Carolina Municipio,12,146984,67011,79973,5143,2567,2576,13054,6503,6551,6796,3449,3347,13918,6931,6987,125485,56274,69211,121991,54492,67499,55536,26770,28766,36464,17209,19255,37591,16788,20803,34018,13564,20454,5143,2567,2576,6869,3385,3484,7827,3937,3890,9150,4627,4523,9922,4934,4988,10512,5076,5436,8088,3884,4204,8608,4032,4576,9256,4217,5039,9472,4353,5119,9867,4518,5349,9733,4314,5419,8519,3603,4916,8373,3456,4917,8511,3428,5083,6976,2786,4190,5016,2055,2961,5142,1839,3303,44,41.2,46.3
50,33,72033,Puerto Rico,Cataño Municipio,12,23121,10896,12225,859,428,431,2307,1219,1088,1148,558,590,2176,1071,1105,19383,8968,10415,18807,8691,10116,8890,4319,4571,5844,2827,3017,5909,2713,3196,4878,2080,2798,859,428,431,1240,659,581,1345,697,648,1503,742,761,1543,750,793,1584,774,810,1509,729,780,1431,692,739,1320,632,688,1260,624,636,1393,630,763,1648,737,911,1608,722,886,1405,634,771,1190,529,661,813,334,479,646,289,357,824,294,530,42,39.8,44.2
50,35,72035,Puerto Rico,Cayey Municipio,12,42409,20311,22098,1520,747,773,3770,1825,1945,2055,1062,993,3944,1992,1952,36133,17224,18909,35064,16677,18387,15878,7708,8170,10391,4929,5462,11593,5535,6058,9136,4221,4915,1520,747,773,1957,960,997,2325,1140,1185,2705,1365,1340,2782,1414,1368,2858,1419,1439,2463,1144,1319,2501,1174,1327,2569,1192,1377,2717,1330,1387,2945,1373,1572,3101,1509,1592,2830,1323,1507,2672,1276,1396,2462,1152,1310,1764,823,941,1136,551,585,1102,419,683,44,43.3,44.7
50,37,72037,Puerto Rico,Ceiba Municipio,12,10904,5084,5820,353,180,173,978,483,495,495,261,234,1052,550,502,9323,4286,5037,9078,4160,4918,3987,1931,2056,2573,1192,1381,2782,1241,1541,2671,1177,1494,353,180,173,538,265,273,573,290,283,663,340,323,751,399,352,765,364,401,613,278,335,563,267,296,632,283,349,743,335,408,756,342,414,670,302,368,613,262,351,615,255,360,747,330,417,548,248,300,368,164,204,393,180,213,45,42.8,46.6
50,39,72039,Puerto Rico,Ciales Municipio,12,15808,7658,8150,622,306,316,1575,760,815,708,343,365,1341,666,675,13243,6415,6828,12903,6249,6654,5636,2763,2873,3767,1836,1931,4434,2128,2306,3361,1619,1742,622,306,316,858,406,452,897,436,461,916,456,460,953,471,482,1047,510,537,934,448,486,916,446,470,870,432,438,888,416,472,1058,536,522,1199,553,646,1289,623,666,981,485,496,909,470,439,600,296,304,406,193,213,465,175,290,44.4,44.1,44.7
