state,county,fips,POP tot,0-19 tot,20-64tot,65+ tot,voting age
Illinois,Adams,17001,65435,16190,35732,13513,49245
Illinois,Alexander,17003,5761,1383,3046,1332,4378
Illinois,Bond,17005,16426,3470,9762,3194,12956
Illinois,Boone,17007,53544,14645,30257,8642,38899
Illinois,Brown,17009,6578,1191,4462,925,5387
Illinois,Bureau,17011,32628,7573,17716,7339,25055
Illinois,Calhoun,17013,4739,1040,2556,1143,3699
Illinois,Carroll,17015,14305,3053,7561,3691,11252
Illinois,Cass,17017,12147,3222,6707,2218,8925
Illinois,Champaign,17019,209689,53557,128305,27827,156132
Illinois,Christian,17021,32304,7133,18639,6532,25171
Illinois,Clark,17023,15441,3773,8553,3115,11668
Illinois,Clay,17025,13184,3238,7208,2738,9946
Illinois,Clinton,17027,37562,8666,22151,6745,28896
Illinois,Coles,17029,50621,11433,30340,8848,39188
Illinois,Cook,17031,5150233,1234271,3139733,776229,3915962
Illinois,Crawford,17033,18667,4063,10982,3622,14604
Illinois,Cumberland,17035,10766,2599,5969,2198,8167
Illinois,DeKalb,17037,104897,27800,63545,13552,77097
Illinois,De Witt,17039,15638,3630,8916,3092,12008
Illinois,Douglas,17041,19465,5262,10635,3568,14203
Illinois,DuPage,17043,922921,230146,543777,148998,692775
Illinois,Edgar,17045,17161,3804,9490,3867,13357
Illinois,Edwards,17047,6395,1564,3432,1399,4831
Illinois,Effingham,17049,34008,8790,19131,6087,25218
Illinois,Fayette,17051,21336,4898,12302,4136,16438
Illinois,Ford,17053,12961,3243,7222,2496,9718
Illinois,Franklin,17055,38469,9247,21198,8024,29222
Illinois,Fulton,17057,34340,7392,19670,7278,26948
Illinois,Gallatin,17059,4828,1057,2592,1179,3771
Illinois,Greene,17061,12969,3018,7353,2598,9951
Illinois,Grundy,17063,51054,13981,29633,7440,37073
Illinois,Hamilton,17065,8116,1933,4367,1816,6183
Illinois,Hancock,17067,17708,4044,9495,4169,13664
Illinois,Hardin,17069,3821,742,2058,1021,3079
Illinois,Henderson,17071,6646,1341,3618,1687,5305
Illinois,Henry,17073,48913,11861,26835,10217,37052
Illinois,Iroquois,17075,27114,6433,14714,5967,20681
Illinois,Jackson,17077,56750,13278,34232,9240,43472
Illinois,Jasper,17079,9610,2439,5271,1900,7171
Illinois,Jefferson,17081,37684,9154,21198,7332,28530
Illinois,Jersey,17083,21773,5003,12453,4317,16770
Illinois,Jo Daviess,17085,21235,4372,10738,6125,16863
Illinois,Johnson,17087,12417,2572,7127,2718,9845
Illinois,Kane,17089,532403,147225,309237,75941,385178
Illinois,Kankakee,17091,109862,28448,62383,19031,81414
Illinois,Kendall,17093,128990,39625,75541,13824,89365
Illinois,Knox,17095,49699,11323,27472,10904,38376
Illinois,Lake,17097,696535,187898,405436,103201,508637
Illinois,LaSalle,17099,108669,25523,62113,21033,83146
