SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,POPESTIMATE,POPEST_MALE,POPEST_FEM,UNDER5_TOT,UNDER5_MALE,UNDER5_FEM,AGE513_TOT,AGE513_MALE,AGE513_FEM,AGE1417_TOT,AGE1417_MALE,AGE1417_FEM,AGE1824_TOT,AGE1824_MALE,AGE1824_FEM,AGE16PLUS_TOT,AGE16PLUS_MALE,AGE16PLUS_FEM,AGE18PLUS_TOT,AGE18PLUS_MALE,AGE18PLUS_FEM,AGE1544_TOT,AGE1544_MALE,AGE1544_FEM,AGE2544_TOT,AGE2544_MALE,AGE2544_FEM,AGE4564_TOT,AGE4564_MALE,AGE4564_FEM,2,AGE65PLUS_MALE,AGE65PLUS_FEM,AGE04_TOT,AGE04_MALE,AGE04_FEM,AGE59_TOT,AGE59_MALE,AGE59_FEM,AGE1014_TOT,AGE1014_MALE,AGE1014_FEM,AGE1519_TOT,AGE1519_MALE,AGE1519_FEM,0-19 tot,0-19 tot f,0-19 tot m,AGE2024_TOT,AGE2024_MALE,AGE2024_FEM,AGE2529_TOT,AGE2529_MALE,AGE2529_FEM,AGE3034_TOT,AGE3034_MALE,AGE3034_FEM,AGE3539_TOT,AGE3539_MALE,AGE3539_FEM,AGE4044_TOT,AGE4044_MALE,AGE4044_FEM,AGE4549_TOT,AGE4549_MALE,AGE4549_FEM,AGE5054_TOT,AGE5054_MALE,AGE5054_FEM,AGE5559_TOT,AGE5559_MALE,AGE5559_FEM,AGE6064_TOT,AGE6064_MALE,AGE6064_FEM,20-64tot,20-64f,20-64m,AGE6569_TOT,AGE6569_MALE,AGE6569_FEM,AGE7074_TOT,AGE7074_MALE,AGE7074_FEM,AGE7579_TOT,AGE7579_MALE,AGE7579_FEM,AGE8084_TOT,AGE8084_MALE,AGE8084_FEM,AGE85PLUS_TOT,AGE85PLUS_MALE,AGE85PLUS_FEM,MEDIAN_AGE_TOT,MEDIAN_AGE_MALE,MEDIAN_AGE_FEM
50,2,180,Alaska,Nome Census Area,12,10004,5267,4737,996,503,493,1786,921,865,678,336,342,964,539,425,6874,3662,3212,6544,3507,3037,4196,2201,1995,2730,1419,1311,2047,1117,930,803,432,371,996,503,493,1057,532,525,905,482,423,778,400,378,3736,1819,1917,688,382,306,812,418,394,757,400,357,620,325,295,541,276,265,507,252,255,501,295,206,564,293,271,475,277,198,,,,339,184,155,222,132,90,124,64,60,70,31,39,48,21,27,28.5,29,28.1
50,2,185,Alaska,North Slope Borough,12,9832,6131,3701,776,424,352,1336,671,665,519,266,253,747,432,315,7447,4898,2549,7201,4770,2431,3956,2448,1508,2831,1826,1005,2887,2112,775,736,400,336,776,424,352,794,403,391,683,344,339,588,297,291,2841,1373,1468,537,325,212,786,481,305,784,508,276,692,475,217,569,362,207,685,496,189,865,657,208,807,594,213,530,365,165,,,,332,198,134,188,113,75,106,53,53,56,17,39,54,19,35,34.8,37.9,29.5
50,2,188,Alaska,Northwest Arctic Borough,12,7621,4099,3522,804,398,406,1457,794,663,498,253,245,734,354,380,5107,2770,2337,4862,2654,2208,3145,1683,1462,2047,1145,902,1524,891,633,557,264,293,804,398,406,858,456,402,733,407,326,569,282,287,2964,1421,1543,529,256,273,668,385,283,569,310,259,431,234,197,379,216,163,344,193,151,413,259,154,424,246,178,343,193,150,,,,175,93,82,158,72,86,87,50,37,68,32,36,69,17,52,27.7,28.6,26.2
50,2,195,Alaska,Petersburg Borough,12,3266,1696,1570,175,88,87,361,167,194,125,62,63,245,135,110,2670,1411,1259,2605,1379,1226,1124,575,549,784,394,390,906,488,418,670,362,308,175,88,87,219,92,127,172,91,81,165,80,85,731,380,351,175,101,74,185,89,96,215,109,106,192,94,98,192,102,90,203,116,87,200,116,84,252,132,120,251,124,127,,,,259,145,114,170,93,77,125,76,49,47,24,23,69,24,45,42.9,45.1,41.4
50,2,198,Alaska,Prince of Wales-Hyder Census Area,12,6203,3406,2797,327,185,142,762,409,353,293,171,122,452,243,209,4970,2728,2242,4821,2641,2180,2110,1122,988,1441,756,685,1803,1004,799,1125,638,487,327,185,142,398,215,183,440,242,198,362,201,161,1527,684,843,307,165,142,336,177,159,387,183,204,368,202,166,350,194,156,351,196,155,432,239,193,499,285,214,521,284,237,,,,495,270,225,320,192,128,178,105,73,78,46,32,54,25,29,42.5,43.4,41.3
50,2,220,Alaska,Sitka City and Borough,12,8493,4329,4164,424,231,193,944,484,460,385,196,189,636,357,279,6928,3511,3417,6740,3418,3322,3400,1754,1646,2487,1267,1220,2253,1159,1094,1364,635,729,424,231,193,482,233,249,570,317,253,475,238,237,1951,932,1019,438,249,189,643,332,311,658,321,337,594,309,285,592,305,287,523,282,241,492,246,246,592,312,280,646,319,327,,,,493,235,258,345,179,166,221,102,119,156,68,88,149,51,98,39.7,38.9,40.5
50,2,230,Alaska,Skagway Municipality,12,1183,620,563,56,29,27,100,53,47,26,16,10,49,23,26,1019,533,486,1001,522,479,518,269,249,448,232,216,317,169,148,187,98,89,56,29,27,65,36,29,40,19,21,31,21,10,192,87,105,39,16,23,110,51,59,98,56,42,139,72,67,101,53,48,77,38,39,87,44,43,64,39,25,89,48,41,,,,71,42,29,46,26,20,40,15,25,15,9,6,15,6,9,40.6,40.7,40.5
50,2,240,Alaska,Southeast Fairbanks Census Area,12,6893,3793,3100,530,263,267,836,419,417,352,184,168,457,252,205,5350,3020,2330,5175,2927,2248,2549,1441,1108,1823,1044,779,1817,1042,775,1078,589,489,530,263,267,499,248,251,420,210,210,412,232,180,1861,908,953,314,165,149,495,295,200,472,262,210,443,254,189,413,233,180,408,243,165,453,257,196,486,291,195,470,251,219,,,,419,233,186,294,155,139,197,121,76,103,54,49,65,26,39,38.4,39.4,37.4
50,2,261,Alaska,Valdez-Cordova Census Area,12,9202,4879,4323,616,301,315,1084,567,517,448,222,226,644,350,294,7302,3905,3397,7054,3789,3265,3418,1799,1619,2436,1282,1154,2646,1450,1196,1328,707,621,616,301,315,593,310,283,601,312,289,532,265,267,2342,1154,1188,450,252,198,606,312,294,652,344,308,651,361,290,527,265,262,526,283,243,576,324,252,728,392,336,816,451,365,,,,550,306,244,422,238,184,193,98,95,95,44,51,68,21,47,39.1,39.7,38.5
50,2,275,Alaska,Wrangell City and Borough,12,2502,1301,1201,106,53,53,275,127,148,112,55,57,167,89,78,2064,1095,969,2009,1066,943,725,384,341,476,254,222,752,390,362,614,333,281,106,53,53,165,73,92,140,68,72,122,66,56,533,273,260,127,64,63,122,68,54,128,65,63,123,71,52,103,50,53,134,61,73,144,78,66,211,114,97,263,137,126,,,,222,134,88,174,93,81,89,37,52,75,49,26,54,20,34,49.3,50.7,47.9
50,2,282,Alaska,Yakutat City and Borough,12,579,321,258,30,11,19,50,22,28,22,12,10,43,19,24,489,283,206,477,276,201,204,113,91,145,85,60,167,100,67,122,72,50,30,11,19,35,16,19,21,9,12,24,13,11,110,61,49,35,15,20,39,22,17,37,20,17,35,23,12,34,20,14,33,22,11,47,30,17,39,18,21,48,30,18,,,,39,29,10,37,18,19,16,13,3,18,9,9,12,3,9,44.9,46.8,40.7
50,2,290,Alaska,Yukon-Koyukuk Census Area,12,5230,2760,2470,401,188,213,799,410,389,259,142,117,415,196,219,3905,2089,1816,3771,2020,1751,1925,1012,913,1307,710,597,1227,637,590,822,477,345,401,188,213,448,221,227,407,225,182,331,163,168,1587,790,797,287,139,148,340,183,157,351,186,165,332,181,151,284,160,124,239,121,118,276,141,135,322,169,153,390,206,184,,,,355,207,148,204,120,84,140,84,56,70,38,32,53,28,25,35.8,37.2,34.3
