state,county,fips,POP tot,land area (sq/mi),pop/sqmi
Tennessee,Anderson,47001,76978,338,227.7
Tennessee,Bedford,47003,49713,474,104.9
Tennessee,Benton,47005,16160,394,41
Tennessee,Bledsoe,47007,15064,406,37.1
Tennessee,Blount,47009,133088,559,238.1
Tennessee,Bradley,47011,108110,329,328.6
Tennessee,Campbell,47013,39842,480,83
Tennessee,Cannon,47015,14678,266,55.2
Tennessee,Carroll,47017,27767,599,46.4
Tennessee,Carter,47019,56391,341,165.4
Tennessee,Cheatham,47021,40667,303,134.2
Tennessee,Chester,47023,17297,289,59.9
Tennessee,Claiborne,47025,31959,434,73.6
Tennessee,Clay,47027,7615,236,32.3
Tennessee,Cocke,47029,36004,434,83
Tennessee,Coffee,47031,56520,429,131.7
Tennessee,Crockett,47033,14230,265,53.7
Tennessee,Cumberland,47035,60520,682,88.7
Tennessee,Davidson,47037,694144,502,1382.8
Tennessee,Decatur,47039,11663,333,35
Tennessee,DeKalb,47041,20490,304,67.4
Tennessee,Dickson,47043,53948,490,110.1
Tennessee,Dyer,47045,37159,510,72.9
Tennessee,Fayette,47047,41133,705,58.3
Tennessee,Fentress,47049,18523,499,37.1
Tennessee,Franklin,47051,42208,553,76.3
Tennessee,Gibson,47053,49133,603,81.5
Tennessee,Giles,47055,29464,611,48.2
Tennessee,Grainger,47057,23320,280,83.3
Tennessee,Greene,47059,69069,622,111
Tennessee,Grundy,47061,13427,361,37.2
Tennessee,Hamblen,47063,64934,161,403.3
Tennessee,Hamilton,47065,367804,543,677.4
Tennessee,Hancock,47067,6620,222,29.8
Tennessee,Hardeman,47069,25050,668,37.5
Tennessee,Hardin,47071,25652,578,44.4
Tennessee,Hawkins,47073,56786,487,116.6
Tennessee,Haywood,47075,17304,533,32.5
Tennessee,Henderson,47077,28117,520,54.1
Tennessee,Henry,47079,32345,562,57.6
Tennessee,Hickman,47081,25178,613,41.1
Tennessee,Houston,47083,8201,200,41
Tennessee,Humphreys,47085,18582,532,34.9
Tennessee,Jackson,47087,11786,309,38.1
Tennessee,Jefferson,47089,54495,274,198.9
Tennessee,Johnson,47091,17788,299,59.5
Tennessee,Knox,47093,470313,509,924
Tennessee,Lake,47095,7016,163,43
Tennessee,Lauderdale,47097,25633,470,54.5
Tennessee,Lawrence,47099,44142,617,71.5
Tennessee,Lewis,47101,12268,282,43.5
Tennessee,Lincoln,47103,34366,570,60.3
Tennessee,Loudon,47105,54068,229,236.1
Tennessee,McMinn,47107,53794,307,175.2
Tennessee,McNairy,47109,25694,557,46.1
Tennessee,Macon,47111,24602,500,49.2
Tennessee,Madison,47113,97984,375,261.3
Tennessee,Marion,47115,28907,613,47.2
Tennessee,Marshall,47117,34375,430,79.9
Tennessee,Maury,47119,96387,560,172.1
Tennessee,Meigs,47121,12422,195,63.7
Tennessee,Monroe,47123,46545,635,73.3
Tennessee,Montgomery,47125,208993,539,387.7
Tennessee,Moore,47127,6488,129,50.3
Tennessee,Morgan,47129,21403,522,41
Tennessee,Obion,47131,30069,545,55.2
Tennessee,Overton,47133,22241,433,51.4
Tennessee,Perry,47135,8076,415,19.5
Tennessee,Pickett,47137,5048,163,31
Tennessee,Polk,47139,16832,435,38.7
Tennessee,Putnam,47141,80245,401,200.1
Tennessee,Rhea,47143,33167,316,105
Tennessee,Roane,47145,53382,361,147.9
Tennessee,Robertson,47147,71813,477,150.6
Tennessee,Rutherford,47149,332285,619,536.8
Tennessee,Scott,47151,22068,532,41.5
Tennessee,Sequatchie,47153,15026,266,56.5
Tennessee,Sevier,47155,98250,592,166
Tennessee,Shelby,47157,937166,755,1241.3
Tennessee,Smith,47159,20157,314,64.2
Tennessee,Stewart,47161,13715,458,29.9
Tennessee,Sullivan,47163,158348,413,383.4
Tennessee,Sumner,47165,191283,529,361.6
Tennessee,Tipton,47167,61599,459,134.2
Tennessee,Trousdale,47169,11284,114,99
Tennessee,Unicoi,47171,17883,186,96.1
Tennessee,Union,47173,19972,224,89.2
Tennessee,Van Buren,47175,5872,247,23.8
Tennessee,Warren,47177,41277,433,95.3
Tennessee,Washington,47179,129375,326,396.9
Tennessee,Wayne,47181,16673,734,22.7
Tennessee,Weakley,47183,33328,580,57.5
Tennessee,White,47185,27345,377,72.5
Tennessee,Williamson,47187,238412,582,409.6
Tennessee,Wilson,47189,144657,571,253.3
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
