state,county,fips,votes gop,votes dem,total votes,% GOP,% DEM,% Votes,,POP tot
Georgia,Douglas,13097,25451,42809,69097,36.83%,61.95%,98.79%,LEFT,146343
Georgia,Early,13099,2722,2437,5187,52.48%,46.98%,99.46%,RIGHT,10190
Georgia,Echols,13101,1256,167,1441,87.16%,11.59%,98.75%,RIGHT,4006
Georgia,Effingham,13103,23358,7720,31570,73.99%,24.45%,98.44%,RIGHT,64296
Georgia,Elbert,13105,6226,2879,9171,67.89%,31.39%,99.28%,RIGHT,19194
Georgia,Emanuel,13107,6551,2884,9501,68.95%,30.35%,99.31%,RIGHT,22646
Georgia,Evans,13109,2888,1324,4247,68.00%,31.17%,99.18%,RIGHT,10654
Georgia,Fannin,13111,12169,2571,14850,81.95%,17.31%,99.26%,RIGHT,26188
Georgia,Fayette,13113,37952,33065,71993,52.72%,45.93%,98.64%,RIGHT,114421
Georgia,Floyd,13115,29123,12008,41648,69.93%,28.83%,98.76%,RIGHT,98498
Georgia,Forsyth,13117,85122,42203,129305,65.83%,32.64%,98.47%,RIGHT,244252
Georgia,Franklin,13119,9069,1593,10765,84.25%,14.80%,99.04%,RIGHT,23349
Georgia,Fulton,13121,137240,381144,524659,26.16%,72.65%,98.80%,LEFT,1063937
Georgia,Gilmer,13123,13429,2932,16525,81.26%,17.74%,99.01%,RIGHT,31369
Georgia,Glascock,13125,1403,155,1566,89.59%,9.90%,99.49%,RIGHT,2971
Georgia,Glynn,13127,25616,15879,41984,61.01%,37.82%,98.84%,RIGHT,85292
Georgia,Gordon,13129,19405,4384,24033,80.74%,18.24%,98.98%,RIGHT,57963
Georgia,Grady,13131,7034,3619,10707,65.70%,33.80%,99.50%,RIGHT,24633
Georgia,Greene,13133,7068,4088,11247,62.84%,36.35%,99.19%,RIGHT,18324
Georgia,Gwinnett,13135,166413,241827,413865,40.21%,58.43%,98.64%,LEFT,936250
Georgia,Habersham,13137,16637,3563,20432,81.43%,17.44%,98.86%,RIGHT,45328
Georgia,Hall,13139,64170,25031,90523,70.89%,27.65%,98.54%,RIGHT,204441
Georgia,Hancock,13141,1159,2985,4165,27.83%,71.67%,99.50%,LEFT,8457
Georgia,Haralson,13143,12331,1792,14248,86.55%,12.58%,99.12%,RIGHT,29792
Georgia,Harris,13145,14319,5457,19991,71.63%,27.30%,98.92%,RIGHT,35236
Georgia,Hart,13147,9464,3157,12727,74.36%,24.81%,99.17%,RIGHT,26205
Georgia,Heard,13149,4516,824,5391,83.77%,15.28%,99.05%,RIGHT,11923
Georgia,Henry,13151,48187,73276,122742,39.26%,59.70%,98.96%,LEFT,234561
Georgia,Houston,13153,41534,32232,74823,55.51%,43.08%,98.59%,RIGHT,157863
Georgia,Irwin,13155,3134,1008,4168,75.19%,24.18%,99.38%,RIGHT,9416
Georgia,Jackson,13157,29497,7642,37670,78.30%,20.29%,98.59%,RIGHT,72977
Georgia,Jasper,13159,5822,1761,7644,76.16%,23.04%,99.20%,RIGHT,14219
Georgia,Jeff Davis,13161,4695,1028,5771,81.36%,17.81%,99.17%,RIGHT,15115
Georgia,Jefferson,13163,3537,4061,7642,46.28%,53.14%,99.42%,LEFT,15362
Georgia,Jenkins,13165,2161,1266,3455,62.55%,36.64%,99.19%,RIGHT,8676
Georgia,Johnson,13167,2850,1222,4100,69.51%,29.80%,99.32%,RIGHT,9643
Georgia,Jones,13169,9965,4888,14966,66.58%,32.66%,99.24%,RIGHT,28735
Georgia,Lamar,13171,6330,2615,9039,70.03%,28.93%,98.96%,RIGHT,19077
Georgia,Lanier,13173,2509,1019,3576,70.16%,28.50%,98.66%,RIGHT,10423
Georgia,Laurens,13175,14493,8073,22729,63.76%,35.52%,99.28%,RIGHT,47546
Georgia,Lee,13177,12007,4558,16714,71.84%,27.27%,99.11%,RIGHT,29992
Georgia,Liberty,13179,7959,13099,21389,37.21%,61.24%,98.45%,LEFT,61435
Georgia,Lincoln,13181,3179,1435,4650,68.37%,30.86%,99.23%,RIGHT,7921
Georgia,Long,13183,3528,2033,5656,62.38%,35.94%,98.32%,RIGHT,19559
Georgia,Lowndes,13185,25691,20117,46355,55.42%,43.40%,98.82%,RIGHT,117406
Georgia,Lumpkin,13187,12163,3126,15531,78.31%,20.13%,98.44%,RIGHT,33610
Georgia,McDuffie,13189,6169,4168,10455,59.01%,39.87%,98.87%,RIGHT,21312
Georgia,McIntosh,13191,4016,2612,6696,59.98%,39.01%,98.98%,RIGHT,14378
Georgia,Macon,13193,1783,2857,4662,38.25%,61.28%,99.53%,LEFT,12947
Georgia,Madison,13195,11326,3411,14937,75.83%,22.84%,98.66%,RIGHT,29880
Georgia,Marion,13197,2275,1311,3624,62.78%,36.18%,98.95%,RIGHT,8359
Georgia,Meriwether,13199,6524,4287,10877,59.98%,39.41%,99.39%,RIGHT,21167
Georgia,Miller,13201,2066,749,2835,72.87%,26.42%,99.29%,RIGHT,5718
Georgia,Mitchell,13205,4935,3995,8963,55.06%,44.57%,99.63%,RIGHT,21863
Georgia,Monroe,13207,11060,4384,15592,70.93%,28.12%,99.05%,RIGHT,27578
Georgia,Montgomery,13209,2960,979,3966,74.63%,24.68%,99.32%,RIGHT,9172
Georgia,Morgan,13211,8230,3355,11707,70.30%,28.66%,98.96%,RIGHT,19276
