SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,POPESTIMATE,POPEST_MALE,POPEST_FEM,UNDER5_TOT,UNDER5_MALE,UNDER5_FEM,AGE513_TOT,AGE513_MALE,AGE513_FEM,AGE1417_TOT,AGE1417_MALE,AGE1417_FEM,AGE1824_TOT,AGE1824_MALE,AGE1824_FEM,AGE16PLUS_TOT,AGE16PLUS_MALE,AGE16PLUS_FEM,AGE18PLUS_TOT,AGE18PLUS_MALE,AGE18PLUS_FEM,AGE1544_TOT,AGE1544_MALE,AGE1544_FEM,AGE2544_TOT,AGE2544_MALE,AGE2544_FEM,AGE4564_TOT,AGE4564_MALE,AGE4564_FEM,AGE65PLUS_TOT,AGE65PLUS_MALE,AGE65PLUS_FEM,AGE04_TOT,AGE04_MALE,AGE04_FEM,AGE59_TOT,AGE59_MALE,AGE59_FEM,AGE1014_TOT,AGE1014_MALE,AGE1014_FEM,AGE1519_TOT,AGE1519_MALE,AGE1519_FEM,AGE2024_TOT,AGE2024_MALE,AGE2024_FEM,AGE2529_TOT,AGE2529_MALE,AGE2529_FEM,AGE3034_TOT,AGE3034_MALE,AGE3034_FEM,AGE3539_TOT,AGE3539_MALE,AGE3539_FEM,AGE4044_TOT,AGE4044_MALE,AGE4044_FEM,AGE4549_TOT,AGE4549_MALE,AGE4549_FEM,AGE5054_TOT,AGE5054_MALE,AGE5054_FEM,AGE5559_TOT,AGE5559_MALE,AGE5559_FEM,AGE6064_TOT,AGE6064_MALE,AGE6064_FEM,AGE6569_TOT,AGE6569_MALE,AGE6569_FEM,AGE7074_TOT,AGE7074_MALE,AGE7074_FEM,AGE7579_TOT,AGE7579_MALE,AGE7579_FEM,AGE8084_TOT,AGE8084_MALE,AGE8084_FEM,AGE85PLUS_TOT,AGE85PLUS_MALE,AGE85PLUS_FEM,MEDIAN_AGE_TOT,MEDIAN_AGE_MALE,MEDIAN_AGE_FEM
50,23,23001,Maine,Androscoggin County,12,108277,53032,55245,6237,3141,3096,11960,6069,5891,5116,2618,2498,9240,4692,4548,87487,42477,45010,84964,41204,43760,39363,19643,19720,26305,13007,13298,29753,14620,15133,19666,8885,10781,6237,3141,3096,6661,3357,3304,6597,3386,3211,6610,3361,3249,6448,3275,3173,6719,3408,3311,6806,3322,3484,6616,3207,3409,6164,3070,3094,6746,3299,3447,7392,3627,3765,8028,4005,4023,7587,3689,3898,6309,3050,3259,5193,2493,2700,3367,1481,1886,2299,987,1312,2498,874,1624,41.1,40.1,42
50,23,23003,Maine,Aroostook County,12,67055,33157,33898,3200,1649,1551,6092,3112,2980,2954,1545,1409,4916,2593,2323,56379,27693,28686,54809,26851,27958,20777,10640,10137,13610,6848,6762,19566,9745,9821,16717,7665,9052,3200,1649,1551,3325,1695,1630,3470,1763,1707,3734,1995,1739,3433,1797,1636,3411,1757,1654,3250,1607,1643,3384,1705,1679,3565,1779,1786,3974,1968,2006,4629,2299,2330,5330,2667,2663,5633,2811,2822,5249,2593,2656,4242,2050,2192,2913,1370,1543,2139,924,1215,2174,728,1446,48.6,47.3,49.8
50,23,23005,Maine,Cumberland County,12,295003,142916,152087,14007,7214,6793,27098,13707,13391,12905,6694,6211,25315,12714,12601,247494,118689,128805,240993,115301,125692,112540,56386,56154,77499,38622,38877,82019,39245,42774,56160,24720,31440,14007,7214,6793,14613,7409,7204,15664,7942,7722,17230,8883,8347,17811,8881,8930,20289,10152,10137,20529,10222,10307,19336,9711,9625,17345,8537,8808,19050,9279,9771,19995,9621,10374,21874,10424,11450,21100,9921,11179,18392,8544,9848,14681,6959,7722,9768,4334,5434,6283,2561,3722,7036,2322,4714,42.3,40.6,44
50,23,23007,Maine,Franklin County,12,30199,14840,15359,1312,670,642,2770,1410,1360,1255,627,628,2903,1363,1540,25496,12435,13061,24862,12133,12729,10232,4986,5246,6387,3157,3230,8716,4317,4399,6856,3296,3560,1312,670,642,1449,737,712,1634,834,800,1951,926,1025,1894,903,991,1617,807,810,1656,867,789,1593,778,815,1521,705,816,1689,855,834,1945,910,1035,2513,1271,1242,2569,1281,1288,2310,1111,1199,1799,895,904,1297,627,670,772,382,390,678,281,397,46.5,46.2,46.8
50,23,23009,Maine,Hancock County,12,54987,26659,28328,2364,1236,1128,4722,2376,2346,2267,1153,1114,3551,1880,1671,46746,22446,24300,45634,21894,23740,17166,8584,8582,11922,5855,6067,16269,7804,8465,13892,6355,7537,2364,1236,1128,2542,1296,1246,2754,1384,1370,2716,1420,1296,2528,1309,1219,3016,1516,1500,3119,1487,1632,2934,1470,1464,2853,1382,1471,3326,1603,1723,3600,1733,1867,4495,2152,2343,4848,2316,2532,4628,2177,2451,3819,1820,1999,2501,1213,1288,1438,638,800,1506,507,999,49.1,47.7,50.3
50,23,23011,Maine,Kennebec County,12,122302,59584,62718,6019,3049,2970,11758,5968,5790,5537,2796,2741,10015,5047,4968,101788,49147,52641,98988,47771,51217,42511,21264,21247,28332,14116,14216,35491,17173,18318,25150,11435,13715,6019,3049,2970,6427,3290,3137,6704,3373,3331,7121,3538,3583,7058,3610,3448,7303,3732,3571,7145,3586,3559,7111,3464,3647,6773,3334,3439,7600,3737,3863,8544,4135,4409,9746,4648,5098,9601,4653,4948,8387,3991,4396,6530,3169,3361,4353,1977,2376,2875,1207,1668,3005,1091,1914,44.6,43.2,46
50,23,23013,Maine,Knox County,12,39772,19723,20049,1656,888,768,3573,1835,1738,1760,918,842,2536,1342,1194,33655,16546,17109,32783,16082,16701,12389,6535,5854,8553,4497,4056,11338,5534,5804,10356,4709,5647,1656,888,768,1915,980,935,2118,1077,1041,1940,1037,903,1896,1001,895,2044,1103,941,2134,1165,969,2225,1133,1092,2150,1096,1054,2406,1239,1167,2522,1264,1258,3007,1436,1571,3403,1595,1808,3344,1546,1798,2819,1331,1488,1781,846,935,1207,526,681,1205,460,745,48.8,46.6,51.1
50,23,23015,Maine,Lincoln County,12,34634,16956,17678,1549,802,747,2912,1525,1387,1361,723,638,2156,1150,1006,29493,14282,15211,28812,13906,14906,10044,5116,4928,6881,3416,3465,10012,4876,5136,9763,4464,5299,1549,802,747,1550,819,731,1716,879,837,1567,865,702,1596,835,761,1787,939,848,1721,856,865,1666,794,872,1707,827,880,2055,1010,1045,2168,1065,1103,2762,1344,1418,3027,1457,1570,3044,1396,1648,2688,1300,1388,1823,854,969,1095,488,607,1113,426,687,51,49.3,52.6
50,23,23017,Maine,Oxford County,12,57975,28659,29316,2496,1256,1240,5274,2692,2582,2755,1428,1327,3742,1995,1747,48864,24024,24840,47450,23283,24167,18469,9343,9126,12647,6260,6387,17968,8821,9147,13093,6207,6886,2496,1256,1240,2806,1437,1369,3143,1595,1548,3169,1705,1464,2653,1378,1275,3035,1545,1490,3071,1476,1595,3284,1603,1681,3257,1636,1621,3579,1732,1847,4067,1973,2094,5167,2614,2553,5155,2502,2653,4468,2242,2226,3349,1665,1684,2281,1099,1182,1472,632,840,1523,569,954,48,47.1,48.8
50,23,23019,Maine,Penobscot County,12,152148,75416,76732,7086,3646,3440,13530,7007,6523,6783,3581,3202,15781,8433,7348,128222,63050,65172,124749,61182,63567,58210,29884,28326,37315,18737,18578,42543,20749,21794,29110,13263,15847,7086,3646,3440,7246,3720,3526,7953,4154,3799,10473,5614,4859,10422,5533,4889,10021,5145,4876,10005,5119,4886,8976,4424,4552,8313,4049,4264,9286,4569,4717,10131,4936,5195,11792,5752,6040,11334,5492,5842,9653,4677,4976,7511,3557,3954,4940,2278,2662,3418,1433,1985,3588,1318,2270,42.3,40.4,44.2
