State,FIPS,total facilities
Texas,48001,9
Texas,48005,6
Texas,48007,1
Texas,48009,1
Texas,48015,1
Texas,48017,1
Texas,48019,1
Texas,48021,2
Texas,48025,8
Texas,48027,2
Texas,48029,8
Texas,48031,1
Texas,48035,1
Texas,48037,8
Texas,48039,10
Texas,48041,6
Texas,48043,1
Texas,48047,1
Texas,48049,3
Texas,48051,1
Texas,48053,3
Texas,48055,5
Texas,48057,1
Texas,48059,1
Texas,48061,3
Texas,48065,1
Texas,48067,1
Texas,48069,1
Texas,48071,2
Texas,48073,3
Texas,48075,5
Texas,48077,1
Texas,48079,1
Texas,48085,3
Texas,48087,1
Texas,48089,1
Texas,48091,2
Texas,48093,1
Texas,48095,1
Texas,48099,17
Texas,48103,1
Texas,48107,1
Texas,48109,1
Texas,48111,1
Texas,48113,17
Texas,48115,2
Texas,48117,1
Texas,48121,2
Texas,48123,3
Texas,48125,3
Texas,48127,1
Texas,48129,1
Texas,48131,1
Texas,48133,1
Texas,48135,4
Texas,48137,1
Texas,48139,1
Texas,48141,10
Texas,48143,1
Texas,48145,4
Texas,48147,4
Texas,48149,1
Texas,48151,1
Texas,48157,10
Texas,48159,1
Texas,48161,3
Texas,48163,5
Texas,48165,1
Texas,48167,4
Texas,48169,2
Texas,48171,1
Texas,48175,1
Texas,48177,2
Texas,48179,4
Texas,48181,1
Texas,48183,3
Texas,48185,4
Texas,48187,1
Texas,48189,4
Texas,48191,1
Texas,48193,1
Texas,48195,1
Texas,48197,1
Texas,48201,12
Texas,48203,1
Texas,48205,1
Texas,48207,2
Texas,48209,2
Texas,48211,1
Texas,48213,1
Texas,48215,6
Texas,48217,1
Texas,48219,2
Texas,48221,1
Texas,48223,1
Texas,48225,4
Texas,48227,5
Texas,48229,1
Texas,48231,2
Texas,48233,2
Texas,48237,2
Texas,48239,1
Texas,48241,3
Texas,48245,13
Texas,48247,1
Texas,48249,1
Texas,48251,4
Texas,48253,6
Texas,48255,5
Texas,48257,1
Texas,48259,1
Texas,48265,2
Texas,48267,1
Texas,48271,2
Texas,48273,1
Texas,48275,1
Texas,48277,1
Texas,48279,1
Texas,48281,1
Texas,48283,4
Texas,48285,1
Texas,48287,1
Texas,48289,1
Texas,48291,8
Texas,48293,3
Texas,48295,1
Texas,48297,5
Texas,48303,8
Texas,48305,1
Texas,48307,1
Texas,48309,2
Texas,48313,1
Texas,48315,1
Texas,48317,1
Texas,48319,1
Texas,48321,2
Texas,48323,1
Texas,48325,4
Texas,48327,1
Texas,48329,3
Texas,48331,1
Texas,48333,1
Texas,48335,5
Texas,48337,1
Texas,48339,4
Texas,48341,1
Texas,48343,1
Texas,48347,1
Texas,48349,1
Texas,48351,3
Texas,48353,1
Texas,48355,3
Texas,48357,1
Texas,48359,1
Texas,48361,1
Texas,48363,1
Texas,48365,1
Texas,48367,2
Texas,48369,1
Texas,48371,4
Texas,48373,4
Texas,48375,5
Texas,48379,1
Texas,48381,1
Texas,48387,1
Texas,48389,1
Texas,48391,1
Texas,48395,1
Texas,48397,1
Texas,48399,1
Texas,48401,6
Texas,48407,1
Texas,48409,3
Texas,48411,3
Texas,48415,3
Texas,48421,1
Texas,48423,3
Texas,48427,1
Texas,48429,3
Texas,48435,1
Texas,48437,3
Texas,48439,12
Texas,48445,4
Texas,48451,2
Texas,48453,5
Texas,48455,2
Texas,48457,3
Texas,48459,1
Texas,48461,1
Texas,48463,2
Texas,48465,3
Texas,48467,1
Texas,48469,1
Texas,48471,14
Texas,48473,3
Texas,48475,1
Texas,48477,2
Texas,48479,4
Texas,48481,1
Texas,48483,1
Texas,48485,4
Texas,48487,1
Texas,48489,5
Texas,48491,4
Texas,48493,1
Texas,48495,1
Texas,48497,2
Texas,48499,3
Texas,48503,1
Texas,48507,2
