state,county,fips,votes gop,votes dem,total votes,% GOP,% DEM,% Votes,majority,POP tot
Wisconsin,Adams,55001,7362,4329,11818,62.29%,36.63%,98.93%,RIGHT,20220
Wisconsin,Ashland,55003,3841,4801,8757,43.86%,54.82%,98.69%,LEFT,15562
Wisconsin,Barron,55005,15803,9194,25346,62.35%,36.27%,98.62%,RIGHT,45244
Wisconsin,Bayfield,55007,4617,6147,10880,42.44%,56.50%,98.93%,LEFT,15036
Wisconsin,Brown,55009,75871,65511,144017,52.68%,45.49%,98.17%,RIGHT,264542
Wisconsin,Buffalo,55011,4834,2860,7816,61.85%,36.59%,98.44%,RIGHT,13031
Wisconsin,Burnett,55013,6462,3569,10141,63.72%,35.19%,98.92%,RIGHT,15414
Wisconsin,Calumet,55015,18156,12116,30774,59.00%,39.37%,98.37%,RIGHT,50089
Wisconsin,Chippewa,55017,21317,13983,35938,59.32%,38.91%,98.22%,RIGHT,64658
Wisconsin,Clark,55019,10002,4524,14898,67.14%,30.37%,97.50%,RIGHT,34774
Wisconsin,Columbia,55021,16927,16410,33869,49.98%,48.45%,98.43%,RIGHT,57532
Wisconsin,Crawford,55023,4620,3953,8695,53.13%,45.46%,98.60%,RIGHT,16131
Wisconsin,Dane,55025,78800,260185,344791,22.85%,75.46%,98.32%,LEFT,546695
Wisconsin,Dodge,55027,31355,16356,48436,64.73%,33.77%,98.50%,RIGHT,87839
Wisconsin,Door,55029,9752,10044,20117,48.48%,49.93%,98.40%,LEFT,27668
Wisconsin,Douglas,55031,10923,13218,24677,44.26%,53.56%,97.83%,LEFT,43150
Wisconsin,Dunn,55033,13173,9897,23524,56.00%,42.07%,98.07%,RIGHT,45368
Wisconsin,Eau Claire,55035,25341,31620,58275,43.49%,54.26%,97.75%,LEFT,104646
Wisconsin,Florence,55037,2133,781,2940,72.55%,26.56%,99.12%,RIGHT,4295
Wisconsin,Fond du Lac,55039,35754,20588,57251,62.45%,35.96%,98.41%,RIGHT,103403
Wisconsin,Forest,55041,3285,1721,5053,65.01%,34.06%,99.07%,RIGHT,9004
Wisconsin,Grant,55043,14142,10998,25608,55.22%,42.95%,98.17%,RIGHT,51439
Wisconsin,Green,55045,10169,10851,21406,47.51%,50.69%,98.20%,LEFT,36960
Wisconsin,Green Lake,55047,7168,3344,10671,67.17%,31.34%,98.51%,RIGHT,18913
Wisconsin,Iowa,55049,5909,7828,13992,42.23%,55.95%,98.18%,LEFT,23678
Wisconsin,Iron,55051,2438,1533,4010,60.80%,38.23%,99.03%,RIGHT,5687
Wisconsin,Jackson,55053,5791,4256,10184,56.86%,41.79%,98.65%,RIGHT,20643
Wisconsin,Jefferson,55055,27208,19904,47979,56.71%,41.48%,98.19%,RIGHT,84769
Wisconsin,Juneau,55057,8749,4746,13709,63.82%,34.62%,98.44%,RIGHT,26687
Wisconsin,Kenosha,55059,44972,42193,88738,50.68%,47.55%,98.23%,RIGHT,169561
Wisconsin,Kewaunee,55061,7927,3976,12095,65.54%,32.87%,98.41%,RIGHT,20434
Wisconsin,La Crosse,55063,28684,37846,67884,42.25%,55.75%,98.01%,LEFT,118016
Wisconsin,Lafayette,55065,4821,3647,8555,56.35%,42.63%,98.98%,RIGHT,16665
Wisconsin,Langlade,55067,7330,3704,11165,65.65%,33.18%,98.83%,RIGHT,19189
Wisconsin,Lincoln,55069,10017,6261,16497,60.72%,37.95%,98.67%,RIGHT,27593
Wisconsin,Manitowoc,55071,27218,16818,44829,60.72%,37.52%,98.23%,RIGHT,78981
Wisconsin,Marathon,55073,44624,30808,76751,58.14%,40.14%,98.28%,RIGHT,135692
Wisconsin,Marinette,55075,15304,7366,22979,66.60%,32.06%,98.66%,RIGHT,40350
Wisconsin,Marquette,55077,5719,3239,9065,63.09%,35.73%,98.82%,RIGHT,15574
Wisconsin,Menominee,55078,278,1303,1590,17.48%,81.95%,99.43%,LEFT,4556
Wisconsin,Milwaukee,55079,134357,317270,458971,29.27%,69.13%,98.40%,LEFT,945726
Wisconsin,Monroe,55081,13775,8433,22611,60.92%,37.30%,98.22%,RIGHT,46253
Wisconsin,Oconto,55083,16226,6715,23215,69.89%,28.93%,98.82%,RIGHT,37930
Wisconsin,Oneida,55085,13671,10105,24159,56.59%,41.83%,98.41%,RIGHT,35595
Wisconsin,Outagamie,55087,58385,47667,108022,54.05%,44.13%,98.18%,RIGHT,187885
Wisconsin,Ozaukee,55089,33912,26517,61486,55.15%,43.13%,98.28%,RIGHT,89221
Wisconsin,Pepin,55091,2584,1489,4144,62.36%,35.93%,98.29%,RIGHT,7287
Wisconsin,Pierce,55093,12903,9839,23458,55.00%,41.94%,96.95%,RIGHT,42754
Wisconsin,Polk,55095,16611,9370,26371,62.99%,35.53%,98.52%,RIGHT,43783
Wisconsin,Portage,55097,19299,20428,40603,47.53%,50.31%,97.84%,LEFT,70772
Wisconsin,Price,55099,5394,3032,8546,63.12%,35.48%,98.60%,RIGHT,13351
Wisconsin,Racine,55101,54479,50159,106451,51.18%,47.12%,98.30%,RIGHT,196311
Wisconsin,Richland,55103,4871,3995,9014,54.04%,44.32%,98.36%,RIGHT,17252
Wisconsin,Rock,55105,37138,46658,85360,43.51%,54.66%,98.17%,LEFT,163354
