state,county,fips,POP tot,0-19 tot,20-64tot,65+ tot,voting age
Wyoming,Albany,56001,38880,8606,25522,4752,30274
Wyoming,Big Horn,56003,11790,3157,6055,2578,8633
Wyoming,Campbell,56005,46341,13704,27668,4969,32637
Wyoming,Carbon,56007,14800,3669,8465,2666,11131
Wyoming,Converse,56009,13822,3671,7772,2379,10151
Wyoming,Crook,56011,7584,2014,3968,1602,5570
Wyoming,Fremont,56013,39261,10925,20949,7387,28336
Wyoming,Goshen,56015,13211,2994,7266,2951,10217
Wyoming,Hot Springs,56017,4413,987,2205,1221,3426
Wyoming,Johnson,56019,8445,1965,4402,2078,6480
Wyoming,Laramie,56021,99500,25152,57958,16390,74348
Wyoming,Lincoln,56023,19830,5650,10604,3576,14180
Wyoming,Natrona,56025,79858,20883,46258,12717,58975
Wyoming,Niobrara,56027,2356,456,1350,550,1900
Wyoming,Park,56029,29194,6621,15450,7123,22573
Wyoming,Platte,56031,8393,1853,4363,2177,6540
Wyoming,Sheridan,56033,30485,7186,16692,6607,23299
Wyoming,Sublette,56035,9831,2340,5474,2017,7491
Wyoming,Sweetwater,56037,42343,12049,24805,5489,30294
Wyoming,Teton,56039,23464,4586,15161,3717,18878
Wyoming,Uinta,56041,20226,6215,10986,3025,14011
Wyoming,Washakie,56043,7805,1960,4115,1730,5845
Wyoming,Weston,56045,6927,1529,3920,1478,5398
