State,FIPS,total facilities
Tennessee,47001,1
Tennessee,47003,2
Tennessee,47005,1
Tennessee,47007,4
Tennessee,47009,1
Tennessee,47011,1
Tennessee,47013,1
Tennessee,47015,1
Tennessee,47017,1
Tennessee,47019,2
Tennessee,47021,1
Tennessee,47023,1
Tennessee,47025,1
Tennessee,47027,1
Tennessee,47029,2
Tennessee,47031,1
Tennessee,47035,1
Tennessee,47037,15
Tennessee,47039,1
Tennessee,47041,1
Tennessee,47043,1
Tennessee,47045,1
Tennessee,47047,1
Tennessee,47049,1
Tennessee,47051,1
Tennessee,47053,2
Tennessee,47055,1
Tennessee,47059,1
Tennessee,47061,1
Tennessee,47063,1
Tennessee,47065,5
Tennessee,47067,1
Tennessee,47069,4
Tennessee,47073,1
Tennessee,47075,1
Tennessee,47077,1
Tennessee,47079,1
Tennessee,47081,3
Tennessee,47083,1
Tennessee,47085,1
Tennessee,47087,1
Tennessee,47089,1
Tennessee,47091,3
Tennessee,47093,5
Tennessee,47095,2
Tennessee,47097,4
Tennessee,47099,1
Tennessee,47101,1
Tennessee,47103,1
Tennessee,47105,1
Tennessee,47107,1
Tennessee,47109,1
Tennessee,47111,1
Tennessee,47113,2
Tennessee,47115,1
Tennessee,47117,1
Tennessee,47119,2
Tennessee,47121,1
Tennessee,47123,1
Tennessee,47125,2
Tennessee,47127,1
Tennessee,47129,2
Tennessee,47131,1
Tennessee,47133,1
Tennessee,47135,1
Tennessee,47137,1
Tennessee,47139,1
Tennessee,47141,1
Tennessee,47143,1
Tennessee,47145,1
Tennessee,47147,1
Tennessee,47149,2
Tennessee,47151,1
Tennessee,47153,1
Tennessee,47155,2
Tennessee,47157,8
Tennessee,47159,1
Tennessee,47161,1
Tennessee,47163,2
Tennessee,47165,1
Tennessee,47167,3
Tennessee,47169,2
Tennessee,47171,1
Tennessee,47173,1
Tennessee,47175,1
Tennessee,47177,1
Tennessee,47179,2
Tennessee,47181,3
Tennessee,47183,1
Tennessee,47185,1
Tennessee,47187,2
Tennessee,47189,1
