state,county,fips,votes gop,votes dem,total votes,% GOP,% DEM,% Votes,majority,POP tot
Louisiana,Acadia,22001,22596,5443,28425,79.49%,19.15%,98.64%,RIGHT,62045
Louisiana,Allen,22003,7574,2108,9810,77.21%,21.49%,98.70%,RIGHT,25627
Louisiana,Ascension,22005,40687,20399,62325,65.28%,32.73%,98.01%,RIGHT,126604
Louisiana,Assumption,22007,7271,3833,11235,64.72%,34.12%,98.83%,RIGHT,21891
Louisiana,Avoyelles,22009,12028,4979,17292,69.56%,28.79%,98.35%,RIGHT,40144
Louisiana,Beauregard,22011,13575,2542,16357,82.99%,15.54%,98.53%,RIGHT,37497
Louisiana,Bienville,22013,3891,3067,7050,55.19%,43.50%,98.70%,RIGHT,13241
Louisiana,Bossier,22015,38074,15662,54655,69.66%,28.66%,98.32%,RIGHT,127039
Louisiana,Caddo,22017,48021,55110,104912,45.77%,52.53%,98.30%,LEFT,240204
Louisiana,Calcasieu,22019,55066,25982,82663,66.62%,31.43%,98.05%,RIGHT,203436
Louisiana,Caldwell,22021,3976,745,4762,83.49%,15.64%,99.14%,RIGHT,9918
Louisiana,Cameron,22023,3671,324,4039,90.89%,8.02%,98.91%,RIGHT,6973
Louisiana,Catahoula,22025,3541,1269,4858,72.89%,26.12%,99.01%,RIGHT,9494
Louisiana,Claiborne,22027,3770,2731,6580,57.29%,41.50%,98.80%,RIGHT,15670
Louisiana,Concordia,22029,5550,3177,8828,62.87%,35.99%,98.86%,RIGHT,19259
Louisiana,De Soto,22031,9112,5457,14736,61.83%,37.03%,98.87%,RIGHT,27463
Louisiana,East Baton Rouge,22033,88420,115577,208182,42.47%,55.52%,97.99%,LEFT,440059
Louisiana,East Carroll,22035,1080,1900,3036,35.57%,62.58%,98.16%,LEFT,6861
Louisiana,East Feliciana,22037,6064,4280,10509,57.70%,40.73%,98.43%,RIGHT,19135
Louisiana,Evangeline,22039,11053,4158,15412,71.72%,26.98%,98.70%,RIGHT,33395
Louisiana,Franklin,22041,6970,2658,9720,71.71%,27.35%,99.05%,RIGHT,20015
Louisiana,Grant,22043,8117,1157,9392,86.42%,12.32%,98.74%,RIGHT,22389
Louisiana,Iberia,22045,21251,11027,32713,64.96%,33.71%,98.67%,RIGHT,69830
Louisiana,Iberville,22047,7893,8514,16719,47.21%,50.92%,98.13%,LEFT,32511
Louisiana,Jackson,22049,5394,2143,7632,70.68%,28.08%,98.76%,RIGHT,15744
Louisiana,Jefferson,22051,105949,84477,193733,54.69%,43.60%,98.29%,RIGHT,432493
Louisiana,Jefferson Davis,22053,11423,3208,14841,76.97%,21.62%,98.59%,RIGHT,31368
Louisiana,Lafayette,22055,72519,39685,114521,63.32%,34.65%,97.98%,RIGHT,244390
Louisiana,Lafourche,22057,36024,8672,45388,79.37%,19.11%,98.48%,RIGHT,97614
Louisiana,LaSalle,22059,6378,638,7077,90.12%,9.02%,99.14%,RIGHT,14892
Louisiana,Lincoln,22061,11311,7559,19275,58.68%,39.22%,97.90%,RIGHT,46742
Louisiana,Livingston,22063,54877,9249,65230,84.13%,14.18%,98.31%,RIGHT,140789
Louisiana,Madison,22065,1930,2654,4670,41.33%,56.83%,98.16%,LEFT,10951
Louisiana,Morehouse,22067,6510,4946,11574,56.25%,42.73%,98.98%,RIGHT,24874
Louisiana,Natchitoches,22069,9358,6896,16554,56.53%,41.66%,98.19%,RIGHT,38158
Louisiana,Orleans,22071,26664,147854,177819,15.00%,83.15%,98.14%,LEFT,390144
Louisiana,Ouachita,22073,42255,25913,69166,61.09%,37.46%,98.56%,RIGHT,153279
Louisiana,Plaquemines,22075,7412,3414,11014,67.30%,31.00%,98.29%,RIGHT,23197
Louisiana,Pointe Coupee,22077,7503,4683,12371,60.65%,37.85%,98.50%,RIGHT,21730
Louisiana,Rapides,22079,38347,19475,58865,65.14%,33.08%,98.23%,RIGHT,129648
Louisiana,Red River,22081,2413,1644,4132,58.40%,39.79%,98.18%,RIGHT,8442
Louisiana,Richland,22083,6607,3225,9940,66.47%,32.44%,98.91%,RIGHT,20122
