state,county,fips,POP tot,land area (sq/mi),pop/sqmi
South Dakota,Aurora,46003,2751,708,3.9
South Dakota,Beadle,46005,18453,1259,14.7
South Dakota,Bennett,46007,3365,1185,2.8
South Dakota,Bon Homme,46009,6901,563,12.3
South Dakota,Brookings,46011,35077,794,44.2
South Dakota,Brown,46013,38839,1713,22.7
South Dakota,Brule,46015,5297,819,6.5
South Dakota,Buffalo,46017,1962,471,4.2
South Dakota,Butte,46019,10429,2249,4.6
South Dakota,Campbell,46021,1376,736,1.9
South Dakota,Charles Mix,46023,9292,1098,8.5
South Dakota,Clark,46025,3736,958,3.9
South Dakota,Clay,46027,14070,412,34.2
South Dakota,Codington,46029,28009,688,40.7
South Dakota,Corson,46031,4086,2473,1.7
South Dakota,Custer,46033,8972,1558,5.8
South Dakota,Davison,46035,19775,436,45.4
South Dakota,Day,46037,5424,1029,5.3
South Dakota,Deuel,46039,4351,624,7
South Dakota,Dewey,46041,5892,2303,2.6
South Dakota,Douglas,46043,2921,434,6.7
South Dakota,Edmunds,46045,3829,1146,3.3
South Dakota,Fall River,46047,6713,1740,3.9
South Dakota,Faulk,46049,2299,1000,2.3
South Dakota,Grant,46051,7052,682,10.3
South Dakota,Gregory,46053,4185,1016,4.1
South Dakota,Haakon,46055,1899,1813,1
South Dakota,Hamlin,46057,6164,511,12.1
South Dakota,Hand,46059,3191,1437,2.2
South Dakota,Hanson,46061,3453,435,7.9
South Dakota,Harding,46063,1298,2671,0.5
South Dakota,Hughes,46065,17526,741,23.7
South Dakota,Hutchinson,46067,7291,813,9
South Dakota,Hyde,46069,1301,861,1.5
South Dakota,Jackson,46071,3344,1869,1.8
South Dakota,Jerauld,46073,2013,530,3.8
South Dakota,Jones,46075,903,971,0.9
South Dakota,Kingsbury,46077,4939,838,5.9
South Dakota,Lake,46079,12797,563,22.7
South Dakota,Lawrence,46081,25844,800,32.3
South Dakota,Lincoln,46083,61128,578,105.8
South Dakota,Lyman,46085,3781,1640,2.3
South Dakota,McCook,46087,5586,839,6.7
South Dakota,McPherson,46089,2379,575,4.1
South Dakota,Marshall,46091,4935,1137,4.3
South Dakota,Meade,46093,28332,3471,8.2
South Dakota,Mellette,46095,2061,1307,1.6
South Dakota,Miner,46097,2216,570,3.9
South Dakota,Minnehaha,46099,193134,809,238.7
South Dakota,Moody,46101,6576,520,12.6
South Dakota,Oglala Lakota,46102,14177,2094,6.8
South Dakota,Pennington,46103,113775,2776,41
South Dakota,Perkins,46105,2865,2872,1
South Dakota,Potter,46107,2153,866,2.5
South Dakota,Roberts,46109,10394,1101,9.4
South Dakota,Sanborn,46111,2344,569,4.1
South Dakota,Spink,46115,6376,1504,4.2
South Dakota,Stanley,46117,3098,1443,2.1
South Dakota,Sully,46119,1391,1007,1.4
South Dakota,Todd,46121,10177,1388,7.3
South Dakota,Tripp,46123,5441,1614,3.4
South Dakota,Turner,46125,8384,617,13.6
South Dakota,Union,46127,15932,460,34.6
South Dakota,Walworth,46129,5435,708,7.7
South Dakota,Yankton,46135,22814,522,43.7
South Dakota,Ziebach,46137,2756,1962,1.4
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
