State,FIPS,total facilities
North Carolina,37001,2
North Carolina,37003,2
North Carolina,37005,1
North Carolina,37007,4
North Carolina,37009,1
North Carolina,37011,3
North Carolina,37013,1
North Carolina,37015,3
North Carolina,37017,2
North Carolina,37019,1
North Carolina,37021,4
North Carolina,37023,4
North Carolina,37025,2
North Carolina,37027,1
North Carolina,37031,3
North Carolina,37033,3
North Carolina,37035,2
North Carolina,37037,1
North Carolina,37039,1
North Carolina,37041,1
North Carolina,37045,2
North Carolina,37047,2
North Carolina,37049,2
North Carolina,37051,1
North Carolina,37053,1
North Carolina,37055,1
North Carolina,37057,2
North Carolina,37059,1
North Carolina,37061,1
North Carolina,37063,6
North Carolina,37065,3
North Carolina,37067,3
North Carolina,37069,3
North Carolina,37071,2
North Carolina,37075,1
North Carolina,37077,2
North Carolina,37079,4
North Carolina,37081,3
North Carolina,37083,2
North Carolina,37085,1
North Carolina,37087,1
North Carolina,37089,1
North Carolina,37091,2
North Carolina,37093,1
North Carolina,37095,1
North Carolina,37097,2
North Carolina,37101,2
North Carolina,37103,1
North Carolina,37105,2
North Carolina,37107,1
North Carolina,37109,1
North Carolina,37111,2
North Carolina,37115,1
North Carolina,37119,4
North Carolina,37123,2
North Carolina,37127,2
North Carolina,37129,4
North Carolina,37131,2
North Carolina,37133,3
North Carolina,37135,2
North Carolina,37137,2
North Carolina,37139,2
North Carolina,37141,2
North Carolina,37145,1
North Carolina,37147,1
North Carolina,37149,2
North Carolina,37151,2
North Carolina,37153,2
North Carolina,37155,4
North Carolina,37157,1
North Carolina,37159,3
North Carolina,37161,2
North Carolina,37163,1
North Carolina,37165,2
North Carolina,37167,2
North Carolina,37169,1
North Carolina,37171,1
North Carolina,37175,1
North Carolina,37177,2
North Carolina,37179,1
North Carolina,37181,1
North Carolina,37183,6
North Carolina,37185,1
North Carolina,37189,1
North Carolina,37191,2
North Carolina,37193,3
North Carolina,37195,2
North Carolina,37197,1
North Carolina,37199,1
