state,county,fips,votes gop,votes dem,total votes,% GOP,% DEM,% Votes,majority,POP tot
Virginia,Accomack,51001,9172,7578,16962,54.07%,44.68%,98.75%,RIGHT,32316
Virginia,Albemarle,51003,20804,42466,64657,32.18%,65.68%,97.85%,LEFT,109330
Virginia,Alleghany,51005,5859,2243,8203,71.43%,27.34%,98.77%,RIGHT,14860
Virginia,Amelia,51007,5390,2411,7893,68.29%,30.55%,98.83%,RIGHT,13145
Virginia,Amherst,51009,11041,5672,17005,64.93%,33.35%,98.28%,RIGHT,31605
Virginia,Appomattox,51011,6702,2418,9268,72.31%,26.09%,98.40%,RIGHT,15911
Virginia,Arlington,51013,22318,105344,130699,17.08%,80.60%,97.68%,LEFT,236842
Virginia,Augusta,51015,30714,10840,42278,72.65%,25.64%,98.29%,RIGHT,75558
Virginia,Bath,51017,1834,646,2501,73.33%,25.83%,99.16%,RIGHT,4147
Virginia,Bedford,51019,35600,12176,48669,73.15%,25.02%,98.17%,RIGHT,78997
Virginia,Bland,51021,2903,532,3479,83.44%,15.29%,98.74%,RIGHT,6280
Virginia,Botetourt,51023,15099,5700,21120,71.49%,26.99%,98.48%,RIGHT,33419
Virginia,Brunswick,51025,3357,4552,7948,42.24%,57.27%,99.51%,LEFT,16231
Virginia,Buchanan,51027,8311,1587,9953,83.50%,15.94%,99.45%,RIGHT,21004
Virginia,Buckingham,51029,4544,3471,8126,55.92%,42.71%,98.63%,RIGHT,17148
Virginia,Campbell,51031,21245,8070,29892,71.07%,27.00%,98.07%,RIGHT,54885
Virginia,Caroline,51033,8336,7657,16288,51.18%,47.01%,98.19%,RIGHT,30725
Virginia,Carroll,51035,12659,2842,15651,80.88%,18.16%,99.04%,RIGHT,29791
Virginia,Charles City,51036,1761,2624,4441,39.65%,59.09%,98.74%,LEFT,6963
Virginia,Charlotte,51037,3815,2317,6191,61.62%,37.43%,99.05%,RIGHT,11880
Virginia,Chesterfield,51041,93326,106935,203884,45.77%,52.45%,98.22%,LEFT,352802
Virginia,Clarke,51043,5192,3920,9337,55.61%,41.98%,97.59%,RIGHT,14619
Virginia,Craig,51045,2536,587,3169,80.03%,18.52%,98.55%,RIGHT,5131
Virginia,Culpeper,51047,16012,10617,27116,59.05%,39.15%,98.20%,RIGHT,52605
Virginia,Cumberland,51049,3019,2227,5310,56.85%,41.94%,98.79%,RIGHT,9932
Virginia,Dickenson,51051,5748,1503,7303,78.71%,20.58%,99.29%,RIGHT,14318
Virginia,Dinwiddie,51053,8695,6224,15092,57.61%,41.24%,98.85%,RIGHT,28544
Virginia,Essex,51057,3075,3038,6178,49.77%,49.17%,98.95%,RIGHT,10953
Virginia,Fairfax,51059,168401,419943,600823,28.03%,69.89%,97.92%,LEFT,1147532
Virginia,Fauquier,51061,25106,17565,43661,57.50%,40.23%,97.73%,RIGHT,71222
Virginia,Floyd,51063,6225,3004,9408,66.17%,31.93%,98.10%,RIGHT,15749
Virginia,Fluvanna,51065,8155,7414,15840,51.48%,46.81%,98.29%,RIGHT,27270
Virginia,Franklin,51067,20895,8381,29702,70.35%,28.22%,98.57%,RIGHT,56042
Virginia,Frederick,51069,30558,17207,48703,62.74%,35.33%,98.07%,RIGHT,89313
Virginia,Giles,51071,6876,2156,9176,74.93%,23.50%,98.43%,RIGHT,16720
Virginia,Gloucester,51073,14875,6964,22282,66.76%,31.25%,98.01%,RIGHT,37348
Virginia,Goochland,51075,9966,6685,16950,58.80%,39.44%,98.24%,RIGHT,23753
Virginia,Grayson,51077,6529,1535,8131,80.30%,18.88%,99.18%,RIGHT,15550
Virginia,Greene,51079,6866,4163,11311,60.70%,36.80%,97.51%,RIGHT,19819
Virginia,Greensville,51081,1914,2627,4574,41.85%,57.43%,99.28%,LEFT,11336
Virginia,Halifax,51083,10418,7666,18248,57.09%,42.01%,99.10%,RIGHT,33911
Virginia,Hanover,51085,44318,25307,70967,62.45%,35.66%,98.11%,RIGHT,107766
Virginia,Henrico,51087,63440,116572,183152,34.64%,63.65%,98.29%,LEFT,330818
Virginia,Henry,51089,16725,9127,26105,64.07%,34.96%,99.03%,RIGHT,50557
Virginia,Highland,51091,1092,417,1533,71.23%,27.20%,98.43%,RIGHT,2190
Virginia,Isle of Wight,51093,13707,9399,23456,58.44%,40.07%,98.51%,RIGHT,37109
Virginia,James City,51095,23153,25553,49622,46.66%,51.50%,98.15%,LEFT,76523
Virginia,King and Queen,51097,2450,1590,4115,59.54%,38.64%,98.18%,RIGHT,7025
Virginia,King George,51099,8446,5404,14224,59.38%,37.99%,97.37%,RIGHT,26836
Virginia,King William,51101,7320,3260,10736,68.18%,30.37%,98.55%,RIGHT,17148
Virginia,Lancaster,51103,3697,3368,7152,51.69%,47.09%,98.78%,RIGHT,10603
Virginia,Lee,51105,8365,1489,9946,84.10%,14.97%,99.08%,RIGHT,23423
Virginia,Loudoun,51107,82088,138372,224862,36.51%,61.54%,98.04%,LEFT,413538
Virginia,Louisa,51109,13294,8269,21915,60.66%,37.73%,98.39%,RIGHT,37591
Virginia,Lunenburg,51111,3537,2418,6000,58.95%,40.30%,99.25%,RIGHT,12196
Virginia,Madison,51113,5300,2698,8129,65.20%,33.19%,98.39%,RIGHT,13261
Virginia,Mathews,51115,3901,1825,5826,66.96%,31.33%,98.28%,RIGHT,8834
Virginia,Mecklenburg,51117,9266,6803,16204,57.18%,41.98%,99.17%,RIGHT,30587
Virginia,Middlesex,51119,4196,2491,6785,61.84%,36.71%,98.56%,RIGHT,10582
Virginia,Montgomery,51121,20629,23218,45037,45.80%,51.55%,97.36%,LEFT,98535
Virginia,Nelson,51125,4812,4327,9316,51.65%,46.45%,98.10%,RIGHT,14930
Virginia,New Kent,51127,9631,4621,14463,66.59%,31.95%,98.54%,RIGHT,23091
Virginia,Northampton,51131,2955,3667,6732,43.89%,54.47%,98.37%,LEFT,11710
Virginia,Northumberland,51133,4485,3252,7815,57.39%,41.61%,99.00%,RIGHT,12095
Virginia,Nottoway,51135,4027,2971,7078,56.89%,41.98%,98.87%,RIGHT,15232
Virginia,Orange,51137,12426,7995,20742,59.91%,38.54%,98.45%,RIGHT,37051
Virginia,Page,51139,9345,3007,12514,74.68%,24.03%,98.71%,RIGHT,23902
Virginia,Patrick,51141,7485,1954,9534,78.51%,20.50%,99.00%,RIGHT,17608
Virginia,Pittsylvania,51143,23751,10115,34227,69.39%,29.55%,98.95%,RIGHT,60354
Virginia,Powhatan,51145,14055,5320,19730,71.24%,26.96%,98.20%,RIGHT,29652
Virginia,Prince Edward,51147,4434,4973,9574,46.31%,51.94%,98.26%,LEFT,22802
Virginia,Prince George,51149,10103,7103,17432,57.96%,40.75%,98.70%,RIGHT,38353
Virginia,Prince William,51153,81222,142863,228056,35.61%,62.64%,98.26%,LEFT,470335
Virginia,Pulaski,51155,12127,4925,17376,69.79%,28.34%,98.14%,RIGHT,34027
