state,county,fips,POP tot,0-19 tot,20-64tot,65+ tot,voting age
Louisiana,Acadia,22001,62045,17402,34847,9796,44643
Louisiana,Allen,22003,25627,6239,15482,3906,19388
Louisiana,Ascension,22005,126604,36626,74435,15543,89978
Louisiana,Assumption,22007,21891,5085,12702,4104,16806
Louisiana,Avoyelles,22009,40144,10317,22872,6955,29827
Louisiana,Beauregard,22011,37497,10210,21325,5962,27287
Louisiana,Bienville,22013,13241,3205,7163,2873,10036
Louisiana,Bossier,22015,127039,34315,73849,18875,92724
Louisiana,Caddo,22017,240204,62109,135503,42592,178095
Louisiana,Calcasieu,22019,203436,55579,116892,30965,147857
Louisiana,Caldwell,22021,9918,2499,5620,1799,7419
Louisiana,Cameron,22023,6973,1692,4098,1183,5281
Louisiana,Catahoula,22025,9494,2202,5592,1700,7292
Louisiana,Claiborne,22027,15670,3036,9578,3056,12634
Louisiana,Concordia,22029,19259,5006,10827,3426,14253
Louisiana,De Soto,22031,27463,7148,15299,5016,20315
Louisiana,East Baton Rouge,22033,440059,114786,260844,64429,325273
Louisiana,East Carroll,22035,6861,1786,4028,1047,5075
Louisiana,East Feliciana,22037,19135,3832,11790,3513,15303
Louisiana,Evangeline,22039,33395,9154,18955,5286,24241
Louisiana,Franklin,22041,20015,5514,10813,3688,14501
Louisiana,Grant,22043,22389,5133,13781,3475,17256
Louisiana,Iberia,22045,69830,19513,39376,10941,50317
Louisiana,Iberville,22047,32511,7396,19792,5323,25115
Louisiana,Jackson,22049,15744,3700,8805,3239,12044
Louisiana,Jefferson,22051,432493,103652,252338,76503,328841
Louisiana,Jefferson Davis,22053,31368,8705,17416,5247,22663
Louisiana,Lafayette,22055,244390,63708,147042,33640,180682
Louisiana,Lafourche,22057,97614,24915,57129,15570,72699
Louisiana,LaSalle,22059,14892,3721,8613,2558,11171
Louisiana,Lincoln,22061,46742,12633,27573,6536,34109
Louisiana,Livingston,22063,140789,39066,82960,18763,101723
Louisiana,Madison,22065,10951,2836,6480,1635,8115
Louisiana,Morehouse,22067,24874,6570,13490,4814,18304
Louisiana,Natchitoches,22069,38158,10751,20876,6531,27407
Louisiana,Orleans,22071,390144,86753,242690,60701,303391
Louisiana,Ouachita,22073,153279,41970,87799,23510,111309
Louisiana,Plaquemines,22075,23197,6494,13453,3250,16703
Louisiana,Pointe Coupee,22077,21730,5144,11938,4648,16586
Louisiana,Rapides,22079,129648,35116,72824,21708,94532
Louisiana,Red River,22081,8442,2148,4634,1660,6294
Louisiana,Richland,22083,20122,5128,11350,3644,14994
Louisiana,Sabine,22085,23884,6036,12787,5061,17848
Louisiana,St. Bernard,22087,47244,13437,28142,5665,33807
Louisiana,St. Charles,22089,53100,14101,31533,7466,38999
Louisiana,St. Helena,22091,10132,2295,5746,2091,7837
Louisiana,St. James,22093,21096,5296,12058,3742,15800
Louisiana,St. John the Baptist,22095,42837,11515,25012,6310,31322
Louisiana,St. Landry,22097,82124,23726,44759,13639,58398
Louisiana,St. Martin,22099,53431,13944,31087,8400,39487
Louisiana,St. Mary,22101,49348,12868,28069,8411,36480
Louisiana,St. Tammany,22103,260419,67472,147387,45560,192947
Louisiana,Tangipahoa,22105,134758,36912,77734,20112,97846
Louisiana,Tensas,22107,4334,1075,2144,1115,3259
Louisiana,Terrebonne,22109,110461,30225,63733,16503,80236
Louisiana,Union,22111,22108,5236,12211,4661,16872
Louisiana,Vermilion,22113,59511,16351,33754,9406,43160
Louisiana,Vernon,22115,47429,12933,28482,6014,34496
Louisiana,Washington,22117,46194,12047,25593,8554,34147
Louisiana,Webster,22119,38340,9441,21139,7760,28899
Louisiana,West Baton Rouge,22121,26465,6900,15790,3775,19565
Louisiana,West Carroll,22123,10830,2689,6037,2104,8141
Louisiana,West Feliciana,22125,15568,2816,10346,2406,12752
Louisiana,Winn,22127,13904,3156,8091,2657,10748
