sc,p19,pw,pb,pn,pa,pm,ph,pv,pph,hse,bde,pd,nhi,clf,pip,pt,la,psm,vap,cf,tmp,tfp,a019,a019f,a019m,a2064,a2064f,a2064m,a65,a65m,a65f,ccc,ccd,tv,nv
20,2131223,2514189,177712,37873,93226,90312,355424,103152,2.52,1501752,494076,149016,318378,1914047,332117,2913314,81823,35.61,2131223,105,1451697,1461617,782091,380848,401243,1655736,819198,836538,475487,213916,261571,317165,5139,1333804,797419
5,2238876,2384065,473795,42249,51302,66391,235388,115076,2.52,1478324,334101,214374,329797,1747308,488884,3017804,53179.5,56.75,2238876,96,1481616,1536188,778928,379913,399015,1714994,865931,849063,523882,233538,290344,343216,5856,1219014,1019862
45,3900875,3532017,1390152,30892,92676,102974,308922,211322,2.54,2581515,707335,308240,681111,3073782,710522,5148714,31452.6,163.7,3900875,88,2493139,2655575,1247839,612160,635679,2963852,1523031,1440821,937023,416639,520384,594659,9761,2513329,1387546
4,5440119,6012220,378493,407608,269312,211082,2307353,276809,2.69,3586129,1036391,355307,991970,4309000,982626,7278717,113997,63.85,5440119,87,3617297,3661420,1838598,900189,938409,4131486,2054959,2076527,1308633,602361,706272,885412,17742,3385845,2054274
54,1389674,1675657,64517,5376,14337,32258,30466,76801,2.42,884603,179574,144195,149259,951630,286743,1792147,24088,74.4,1389674,83,887770,904377,402473,195536,206937,1022663,509222,513441,367011,167392,199619,162845,2848,794652,595022
24,4555959,3536722,1880206,42319,405060,175324,640842,221548,2.67,3236906,1281814,269742,418949,4062696,544111,6045680,11811,511.87,4555959,76,2928865,3116815,1489721,730290,759431,3596563,1842075,1754488,959396,414946,544450,461201,9667,3016608,1539351
31,1404587,1704213,100589,30950,52229,44491,220522,67930,2.46,994929,311412,84093,190117,1344413,191506,1934408,76121,25.41,1404587,73,966449,967959,529821,258397,271424,1092129,537957,554172,312458,140853,171605,223749,2516,952271,452316
30,814362,950143,6412,72676,9619,29925,43819,48634,2.39,566586,176774,55929,109318,674398,134666,1068778,145312,7.36,814362,70,538066,530712,254416,123448,130968,607925,299836,308089,206437,99009,107428,112798,1638,605750,208612
41,3252257,3656777,92790,97007,206669,168709,565176,170054,2.51,2247504,739428,251103,363968,2619214,480822,4217737,95804,44.02,3252257,61,2090727,2127010,965480,470984,494496,2486177,1241063,1245114,766080,351117,414963,204317,2751,2385605,866652
35,1565117,1717302,54517,234844,37742,54517,1033736,83957,2.64,1012946,274508,122313,252212,1203579,381622,2096829,121341,17.28,1565117,61,1037432,1059397,531712,260844,270868,1187511,593137,594374,377606,172190,205416,203919,4297,923965,641152
16,1290892,1661970,16083,33954,28593,46463,228744,64414,2.68,906201,243768,93020,229244,1109767,200151,1787065,82809,21.58,1290892,61,895928,891137,496173,242971,253202,1000222,495370,504852,290670,137874,152796,193475,2119,868105,422787
25,5334272,5555357,620325,41355,496260,179205,854670,190754,2.53,3765105,1615230,329030,243319,4624869,647895,6892503,7838,879.37,5334272,60,3345568,3546935,1558231,766761,791470,4164940,2119384,2045556,1169332,508542,660790,708579,17929,3631473,1702799
34,6730703,6386294,1341210,62175,888219,204290,1856377,197594,2.71,4703375,1829612,346841,819788,5817834,817161,8882190,7418,1197.38,6730703,58,4340587,4541603,2151487,1051821,1099666,5255168,2652389,2602779,1475535,638142,837393,1018833,26322,4565757,2164946
49,2177347,2904597,48089,86560,86560,83354,461657,69741,3.13,1666557,554963,123180,347148,2176845,285330,3205958,82170,39.02,2177347,46,1614917,1591041,1028611,501431,527180,1811475,894271,917204,365872,170533,195339,408812,2319,1488289,689058
46,6440920,748421,20347,80503,13269,22116,37155,32978,2.43,451366,128639,39869,108174,602452,105274,884659,75896,11.66,6440920,44,446757,437902,240567,116988,123579,492221,239709,252512,151871,70666,81205,124335,2026,2935938,3504982
32,2319884,2276235,317256,77003,267973,141687,899405,123661,2.68,1574036,380916,162328,413651,1952818,385019,3080156,109818,28.05,2319884,43,1544827,1535329,760272,370882,389390,1823912,902001,921911,495972,233526,262446,326878,5621,1405376,914508
2,616805,477698,27067,124362,47550,54865,53402,46670,2.81,469239,137017,44544,101937,485745,73886,731545,570641,1.28,616805,35,388400,343145,114740,54997,59743,506192,236579,269613,110613,59044,51569,70004,352,287010,329795
56,430587,535352,7523,16205,6366,12732,58454,25982,2.46,307878,82819,29495,85821,384295,58454,578759,97105,5.96,430587,35,294730,284029,148172,71623,76549,331408,160987,170421,99179,47760,51419,61012,725,276765,153822
72,2534171,2152549,344918,9581,6387,166072,3158563,46733,2.78,1400158,354239,280031,307521,1414806,1389256,3193694,3425.3,932.38,2534171,34,1515721,1677973,659523,323719,335804,1854515,969848,884667,679656,295250,384406,172805,2525,1243712,1290459
9,2735705,2841533,434965,24957,178264,89132,602533,102746,2.54,1905442,741216,153698,250622,2360219,356528,3565287,4846,735.72,2735705,33,1739417,1825870,829582,406661,422921,2105461,1064967,1040494,630244,276002,354242,348319,8260,1824317,911388
38,561285,662231,25910,43437,12955,17527,31244,26971,2.31,408332,120457,31342,61947,527346,80778,762062,68994,11.05,561285,32,390032,372030,200777,97773,103004,441440,209734,231706,119845,55322,64523,110382,1548,361819,199466
23,1063054,1268936,22851,9409,17474,24195,24195,61989,2.33,717899,221830,91779,136153,845509,146519,1344212,35383,37.99,1063054,28,658112,686100,281158,136855,144303,777789,393942,383847,285265,129962,155303,68449,843,816428,246626
33,1068673,1265890,24474,4079,40791,24474,54388,58503,2.46,756957,276289,71703,103745,920524,99258,1359711,8969,151.6,1068673,17,673793,685918,291038,142448,148590,814809,406170,408639,253864,116564,137300,99040,1360,804430,264243
44,820818,885625,90045,13771,39196,30721,172675,34413,2.47,557719,185720,62109,51165,682228,114410,1059361,1032,1026.51,820818,17,515675,543686,238543,117419,121124,633772,320618,313154,187046,81397,105649,152187,2722,513627,307191
15,1085694,361025,31147,148657,532335,342620,151489,60969,3.02,750267,243836,53123,71197,874955,131668,1415786,6372.2,222.18,1085694,13,707999,707787,330092,160276,169816,817285,400701,416584,268409,121599,146810,35522,502,574469,511225
10,744852,673844,225913,7790,39924,26291,93481,38026,2.58,499239,156761,47255,79151,606654,110035,973764,2490,391.07,744852,10,470793,502971,228912,113219,115693,555946,285397,270549,188906,84551,104355,109258,1679,504010,240842
50,489574,587797,8735,2495,11855,12479,12479,22564,2.31,337559,125909,38276,35125,409960,63646,623989,9250,67.46,489574,9,308316,315673,134415,65181,69234,364535,183030,181505,125039,57577,67462,24314,256,367428,122146
78,79890,16599,80867,8512,7,2234,18514,3247,3.12,40687,7811,11509,39941,82634,47062,106405,133.6,796.4,79890,3,50854,55551,29694,14650,15044,59053,33130,29843,14384,6613,7771,4002,88,17561,62329
11,556412,324644,324644,4940,31758,20466,79749,17918,2.29,424976,244786,40339,27758,490495,95276,705749,61.1,11550.72,556412,3,334711,371038,149337,74724,74613,469069,244709,224360,87343,35738,51605,49151,1137,344356,212056
