date,county,state,fips,cases,deaths
6/10/2021,Alcona,Michigan,26001,747,33
6/10/2021,Alger,Michigan,26003,675,8
6/10/2021,Allegan,Michigan,26005,11154,154
6/10/2021,Alpena,Michigan,26007,2273,63
6/10/2021,Antrim,Michigan,26009,1639,30
6/10/2021,Arenac,Michigan,26011,1215,30
6/10/2021,Baraga,Michigan,26013,994,39
6/10/2021,Barry,Michigan,26015,5957,69
6/10/2021,Bay,Michigan,26017,11242,352
6/10/2021,Benzie,Michigan,26019,1287,37
6/10/2021,Berrien,Michigan,26021,15554,289
6/10/2021,Branch,Michigan,26023,5701,121
6/10/2021,Calhoun,Michigan,26025,14506,315
6/10/2021,Cass,Michigan,26027,5480,77
6/10/2021,Charlevoix,Michigan,26029,1684,22
6/10/2021,Cheboygan,Michigan,26031,1937,46
6/10/2021,Chippewa,Michigan,26033,5622,50
6/10/2021,Clare,Michigan,26035,2472,84
6/10/2021,Clinton,Michigan,26037,7619,91
6/10/2021,Crawford,Michigan,26039,1000,15
6/10/2021,Delta,Michigan,26041,4064,96
6/10/2021,Dickinson,Michigan,26043,2754,75
6/10/2021,Eaton,Michigan,26045,10139,208
6/10/2021,Emmet,Michigan,26047,2389,44
6/10/2021,Genesee,Michigan,26049,41679,959
6/10/2021,Gladwin,Michigan,26051,2309,59
6/10/2021,Gogebic,Michigan,26053,1412,52
6/10/2021,Grand Traverse,Michigan,26055,6477,98
6/10/2021,Gratiot,Michigan,26057,6973,125
6/10/2021,Hillsdale,Michigan,26059,4416,93
6/10/2021,Houghton,Michigan,26061,3143,44
6/10/2021,Huron,Michigan,26063,4095,83
6/10/2021,Ingham,Michigan,26065,24850,387
6/10/2021,Ionia,Michigan,26067,9312,86
6/10/2021,Iosco,Michigan,26069,2012,75
6/10/2021,Iron,Michigan,26071,1060,53
6/10/2021,Isabella,Michigan,26073,6331,100
6/10/2021,Jackson,Michigan,26075,21003,321
6/10/2021,Kalamazoo,Michigan,26077,23094,400
6/10/2021,Kalkaska,Michigan,26079,1138,25
6/10/2021,Kent,Michigan,26081,73126,851
6/10/2021,Keweenaw,Michigan,26083,182,3
6/10/2021,Lake,Michigan,26085,641,17
6/10/2021,Lapeer,Michigan,26087,9751,213
6/10/2021,Leelanau,Michigan,26089,1249,20
6/10/2021,Lenawee,Michigan,26091,10829,172
6/10/2021,Livingston,Michigan,26093,16753,194
6/10/2021,Luce,Michigan,26095,1345,7
6/10/2021,Mackinac,Michigan,26097,719,4
6/10/2021,Macomb,Michigan,26099,100396,2470
6/10/2021,Manistee,Michigan,26101,1980,25
6/10/2021,Marquette,Michigan,26103,5933,64
6/10/2021,Mason,Michigan,26105,2142,38
6/10/2021,Mecosta,Michigan,26107,3209,36
6/10/2021,Menominee,Michigan,26109,2130,44
6/10/2021,Midland,Michigan,26111,7559,93
6/10/2021,Missaukee,Michigan,26113,1516,28
6/10/2021,Monroe,Michigan,26115,15393,262
6/10/2021,Montcalm,Michigan,26117,8196,119
6/10/2021,Montmorency,Michigan,26119,622,21
6/10/2021,Muskegon,Michigan,26121,18342,377
6/10/2021,Newaygo,Michigan,26123,4884,70
6/10/2021,Oakland,Michigan,26125,118328,2411
6/10/2021,Oceana,Michigan,26127,2772,61
6/10/2021,Ogemaw,Michigan,26129,1748,44
6/10/2021,Ontonagon,Michigan,26131,490,22
6/10/2021,Osceola,Michigan,26133,1963,32
6/10/2021,Oscoda,Michigan,26135,698,32
6/10/2021,Otsego,Michigan,26137,2359,42
6/10/2021,Ottawa,Michigan,26139,32820,432
6/10/2021,Presque Isle,Michigan,26141,1062,35
6/10/2021,Roscommon,Michigan,26143,1903,54
6/10/2021,Saginaw,Michigan,26145,22479,623
6/10/2021,St. Clair,Michigan,26147,18464,445
6/10/2021,St. Joseph,Michigan,26149,6250,100
6/10/2021,Sanilac,Michigan,26151,4264,126
6/10/2021,Schoolcraft,Michigan,26153,445,6
6/10/2021,Shiawassee,Michigan,26155,6421,106
6/10/2021,Tuscola,Michigan,26157,5671,174
6/10/2021,Van Buren,Michigan,26159,7129,130
6/10/2021,Washtenaw,Michigan,26161,27078,307
6/10/2021,Wayne,Michigan,26163,165121,5100
6/10/2021,Wexford,Michigan,26165,2897,48
