state,county,fips,votes gop,votes dem,total votes,% GOP,% DEM,% Votes,majority,POP tot
Oklahoma,Adair,40001,5585,1387,7108,78.57%,19.51%,98.09%,RIGHT,22194
Oklahoma,Alfalfa,40003,1978,232,2262,87.44%,10.26%,97.70%,RIGHT,5702
Oklahoma,Atoka,40005,4557,765,5389,84.56%,14.20%,98.76%,RIGHT,13758
Oklahoma,Beaver,40007,1968,190,2178,90.36%,8.72%,99.08%,RIGHT,5311
Oklahoma,Beckham,40009,6767,1048,7948,85.14%,13.19%,98.33%,RIGHT,21859
Oklahoma,Blaine,40011,3136,688,3901,80.39%,17.64%,98.03%,RIGHT,9429
Oklahoma,Bryan,40013,12344,3323,15976,77.27%,20.80%,98.07%,RIGHT,47995
Oklahoma,Caddo,40015,7013,2670,9859,71.13%,27.08%,98.21%,RIGHT,28762
Oklahoma,Canadian,40017,43550,16742,61940,70.31%,27.03%,97.34%,RIGHT,148306
Oklahoma,Carter,40019,14699,4470,19479,75.46%,22.95%,98.41%,RIGHT,48111
Oklahoma,Cherokee,40021,11223,6027,17714,63.36%,34.02%,97.38%,RIGHT,48657
Oklahoma,Choctaw,40023,4698,1082,5832,80.56%,18.55%,99.11%,RIGHT,14672
Oklahoma,Cimarron,40025,970,70,1054,92.03%,6.64%,98.67%,RIGHT,2137
Oklahoma,Cleveland,40027,66677,49827,119778,55.67%,41.60%,97.27%,RIGHT,284014
Oklahoma,Coal,40029,2091,374,2524,82.84%,14.82%,97.66%,RIGHT,5495
Oklahoma,Comanche,40031,20905,13747,35631,58.67%,38.58%,97.25%,RIGHT,120749
Oklahoma,Cotton,40033,2117,393,2572,82.31%,15.28%,97.59%,RIGHT,5666
Oklahoma,Craig,40035,4686,1217,6032,77.69%,20.18%,97.86%,RIGHT,14142
Oklahoma,Creek,40037,23294,6577,30505,76.36%,21.56%,97.92%,RIGHT,71522
Oklahoma,Custer,40039,8060,2369,10691,75.39%,22.16%,97.55%,RIGHT,29003
Oklahoma,Delaware,40041,13557,3472,17245,78.61%,20.13%,98.75%,RIGHT,43009
Oklahoma,Dewey,40043,2124,214,2359,90.04%,9.07%,99.11%,RIGHT,4891
Oklahoma,Ellis,40045,1688,162,1873,90.12%,8.65%,98.77%,RIGHT,3859
Oklahoma,Garfield,40047,16970,4919,22430,75.66%,21.93%,97.59%,RIGHT,61056
Oklahoma,Garvin,40049,8878,1865,10922,81.29%,17.08%,98.36%,RIGHT,27711
Oklahoma,Grady,40051,18538,4144,23101,80.25%,17.94%,98.19%,RIGHT,55834
Oklahoma,Grant,40053,1916,280,2226,86.07%,12.58%,98.65%,RIGHT,4333
Oklahoma,Greer,40055,1605,328,1973,81.35%,16.62%,97.97%,RIGHT,5712
Oklahoma,Harmon,40057,747,177,933,80.06%,18.97%,99.04%,RIGHT,2653
Oklahoma,Harper,40059,1327,136,1487,89.24%,9.15%,98.39%,RIGHT,3688
Oklahoma,Haskell,40061,4165,783,5014,83.07%,15.62%,98.68%,RIGHT,12627
Oklahoma,Hughes,40063,3875,919,4857,79.78%,18.92%,98.70%,RIGHT,13279
Oklahoma,Jackson,40065,6392,1646,8221,77.75%,20.02%,97.77%,RIGHT,24530
Oklahoma,Jefferson,40067,2026,319,2385,84.95%,13.38%,98.32%,RIGHT,6002
Oklahoma,Johnston,40069,3441,738,4251,80.95%,17.36%,98.31%,RIGHT,11085
Oklahoma,Kay,40071,12834,4040,17249,74.40%,23.42%,97.83%,RIGHT,43538
Oklahoma,Kingfisher,40073,5521,854,6465,85.40%,13.21%,98.61%,RIGHT,15765
Oklahoma,Kiowa,40075,2673,699,3427,78.00%,20.40%,98.40%,RIGHT,8708
Oklahoma,Latimer,40077,3437,762,4249,80.89%,17.93%,98.82%,RIGHT,10073
Oklahoma,Le Flore,40079,15213,3299,18805,80.90%,17.54%,98.44%,RIGHT,49853
Oklahoma,Lincoln,40081,12013,2609,14888,80.69%,17.52%,98.21%,RIGHT,34877
Oklahoma,Logan,40083,15608,5455,21574,72.35%,25.29%,97.63%,RIGHT,48011
Oklahoma,Love,40085,3305,711,4076,81.08%,17.44%,98.53%,RIGHT,10253
Oklahoma,McClain,40087,15295,3582,19236,79.51%,18.62%,98.13%,RIGHT,40474
Oklahoma,McCurtain,40089,9485,1858,11467,82.72%,16.20%,98.92%,RIGHT,32832
Oklahoma,McIntosh,40091,6172,2031,8335,74.05%,24.37%,98.42%,RIGHT,19596
Oklahoma,Major,40093,3084,320,3467,88.95%,9.23%,98.18%,RIGHT,7629
Oklahoma,Marshall,40095,4891,1100,6064,80.66%,18.14%,98.80%,RIGHT,16931
Oklahoma,Mayes,40097,12749,3581,16626,76.68%,21.54%,98.22%,RIGHT,41100
Oklahoma,Murray,40099,4612,1156,5894,78.25%,19.61%,97.86%,RIGHT,14073
Oklahoma,Muskogee,40101,16526,8027,25081,65.89%,32.00%,97.89%,RIGHT,67997
Oklahoma,Noble,40103,3821,1003,4938,77.38%,20.31%,97.69%,RIGHT,11131
Oklahoma,Nowata,40105,3610,712,4391,82.21%,16.21%,98.43%,RIGHT,10076
Oklahoma,Okfuskee,40107,3058,896,4038,75.73%,22.19%,97.92%,RIGHT,11993
Oklahoma,Oklahoma,40109,145050,141724,294740,49.21%,48.08%,97.30%,RIGHT,797434
Oklahoma,Okmulgee,40111,9668,4357,14313,67.55%,30.44%,97.99%,RIGHT,38465
Oklahoma,Osage,40113,14121,6002,20538,68.76%,29.22%,97.98%,RIGHT,46963
Oklahoma,Ottawa,40115,8545,2686,11438,74.71%,23.48%,98.19%,RIGHT,31127
Oklahoma,Pawnee,40117,5267,1363,6786,77.62%,20.09%,97.70%,RIGHT,16376
Oklahoma,Payne,40119,17813,10904,29643,60.09%,36.78%,96.88%,RIGHT,81784
Oklahoma,Pittsburg,40121,13851,3768,17924,77.28%,21.02%,98.30%,RIGHT,43654
Oklahoma,Pontotoc,40123,10805,4117,15320,70.53%,26.87%,97.40%,RIGHT,38284
Oklahoma,Pottawatomie,40125,20240,7275,28185,71.81%,25.81%,97.62%,RIGHT,72592
