51,677425,11270,99,15470,17561,134.5,791.2,106405,50854,55551,29694,59053,14384,0.78,0.69,0.20,0.01,0.07,0.03,0.10,0.08,2.61,0.89,0.38,0.08,0.09,0.64,0.10,6448093,1987569,83
53,444852,5846,1584588,2369437,4060294,66457,147.4266197,7614893,3811983,3802910,1840306,4564864,1209723,0.78,0.79,0.04,0.03,0.10,0.05,0.13,0.07,2.55,0.91,0.35,0.09,0.08,0.64,0.10,5774587,1714293,154
54,162845,2848,545382,235984,794652,24088,93.99486887,1792147,887770,904377,402473,1022663,367011,0.80,0.94,0.04,0.00,0.01,0.02,0.02,0.08,2.42,0.87,0.20,0.14,0.08,0.53,0.16,1389674,595022,35
55,676178,8007,1610151,1630716,3297434,54157.87,166.4851733,5822434,2897209,2925225,1422095,3383096,1017243,0.78,0.87,0.07,0.01,0.03,0.02,0.07,0.06,2.40,0.92,0.30,0.08,0.07,0.67,0.10,4400339,1102905,34
56,61012,725,193559,73491,276765,97105,6.557927967,578759,294730,284029,148172,331408,99179,0.77,0.93,0.01,0.03,0.01,0.02,0.10,0.08,2.46,0.93,0.27,0.09,0.15,0.66,0.10,430587,153822,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,33430105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
