date,county,state,fips,cases,deaths
6/10/2021,Churchill,Nevada,32001,2088,49
6/10/2021,Clark,Nevada,32003,253754,4439
6/10/2021,Douglas,Nevada,32005,2975,36
6/10/2021,Elko,Nevada,32007,5072,56
6/10/2021,Esmeralda,Nevada,32009,38,0
6/10/2021,Eureka,Nevada,32011,55,0
6/10/2021,Humboldt,Nevada,32013,1202,14
6/10/2021,Lander,Nevada,32015,470,9
6/10/2021,Lincoln,Nevada,32017,376,3
6/10/2021,Lyon,Nevada,32019,3268,65
6/10/2021,Mineral,Nevada,32021,309,7
6/10/2021,Nye,Nevada,32023,2990,108
6/10/2021,Pershing,Nevada,32027,969,20
6/10/2021,Storey,Nevada,32029,112,3
6/10/2021,Washoe,Nevada,32031,46002,682
6/10/2021,White Pine,Nevada,32033,625,6
6/10/2021,Carson City,Nevada,32510,6573,124
