state,county,fips,POP tot,land area (sq/mi),pop/sqmi
Oklahoma,Adair,40001,22194,576,38.5
Oklahoma,Alfalfa,40003,5702,867,6.6
Oklahoma,Atoka,40005,13758,978,14.1
Oklahoma,Beaver,40007,5311,1814,2.9
Oklahoma,Beckham,40009,21859,902,24.2
Oklahoma,Blaine,40011,9429,929,10.1
Oklahoma,Bryan,40013,47995,909,52.8
Oklahoma,Caddo,40015,28762,1278,22.5
Oklahoma,Canadian,40017,148306,900,164.8
Oklahoma,Carter,40019,48111,824,58.4
Oklahoma,Cherokee,40021,48657,751,64.8
Oklahoma,Choctaw,40023,14672,774,19
Oklahoma,Cimarron,40025,2137,1835,1.2
Oklahoma,Cleveland,40027,284014,536,529.9
Oklahoma,Coal,40029,5495,518,10.6
Oklahoma,Comanche,40031,120749,1069,113
Oklahoma,Cotton,40033,5666,637,8.9
Oklahoma,Craig,40035,14142,761,18.6
Oklahoma,Creek,40037,71522,956,74.8
Oklahoma,Custer,40039,29003,987,29.4
Oklahoma,Delaware,40041,43009,741,58
Oklahoma,Dewey,40043,4891,1000,4.9
Oklahoma,Ellis,40045,3859,1229,3.1
Oklahoma,Garfield,40047,61056,1058,57.7
Oklahoma,Garvin,40049,27711,809,34.3
Oklahoma,Grady,40051,55834,1101,50.7
Oklahoma,Grant,40053,4333,1001,4.3
Oklahoma,Greer,40055,5712,639,8.9
Oklahoma,Harmon,40057,2653,538,4.9
Oklahoma,Harper,40059,3688,1039,3.5
Oklahoma,Haskell,40061,12627,577,21.9
Oklahoma,Hughes,40063,13279,807,16.5
Oklahoma,Jackson,40065,24530,803,30.5
Oklahoma,Jefferson,40067,6002,759,7.9
Oklahoma,Johnston,40069,11085,645,17.2
Oklahoma,Kay,40071,43538,919,47.4
Oklahoma,Kingfisher,40073,15765,903,17.5
Oklahoma,Kiowa,40075,8708,1015,8.6
Oklahoma,Latimer,40077,10073,722,14
Oklahoma,Le Flore,40079,49853,1586,31.4
Oklahoma,Lincoln,40081,34877,959,36.4
Oklahoma,Logan,40083,48011,745,64.4
Oklahoma,Love,40085,10253,515,19.9
Oklahoma,McClain,40087,40474,957,42.3
Oklahoma,McCurtain,40089,32832,371,88.5
Oklahoma,McIntosh,40091,19596,656,29.9
Oklahoma,Major,40093,7629,570,13.4
Oklahoma,Marshall,40095,16931,1852,9.1
Oklahoma,Mayes,40097,41100,620,66.3
Oklahoma,Murray,40099,14073,418,33.7
Oklahoma,Muskogee,40101,67997,814,83.5
Oklahoma,Noble,40103,11131,732,15.2
Oklahoma,Nowata,40105,10076,565,17.8
Oklahoma,Okfuskee,40107,11993,625,19.2
Oklahoma,Oklahoma,40109,797434,709,1124.7
Oklahoma,Okmulgee,40111,38465,697,55.2
Oklahoma,Osage,40113,46963,2251,20.9
Oklahoma,Ottawa,40115,31127,471,66.1
Oklahoma,Pawnee,40117,16376,570,28.7
Oklahoma,Payne,40119,81784,686,119.2
Oklahoma,Pittsburg,40121,43654,1306,33.4
Oklahoma,Pontotoc,40123,38284,720,53.2
Oklahoma,Pottawatomie,40125,72592,788,92.1
Oklahoma,Pushmataha,40127,11096,1397,7.9
Oklahoma,Roger Mills,40129,3583,1142,3.1
Oklahoma,Rogers,40131,92459,675,137
Oklahoma,Seminole,40133,24258,632,38.4
Oklahoma,Sequoyah,40135,41569,674,61.7
Oklahoma,Stephens,40137,43143,877,49.2
Oklahoma,Texas,40139,19983,2037,9.8
Oklahoma,Tillman,40141,7250,872,8.3
Oklahoma,Tulsa,40143,651552,570,1143.1
Oklahoma,Wagoner,40145,81289,563,144.4
Oklahoma,Washington,40147,51527,417,123.6
Oklahoma,Washita,40149,10916,1004,10.9
Oklahoma,Woods,40151,8793,1287,6.8
Oklahoma,Woodward,40153,20211,1242,16.3
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
