date,county,state,fips,cases,deaths
6/10/2021,Adams,Nebraska,31001,3193,54
6/10/2021,Antelope,Nebraska,31003,548,7
6/10/2021,Arthur,Nebraska,31005,36,1
6/10/2021,Banner,Nebraska,31007,41,0
6/10/2021,Blaine,Nebraska,31009,33,0
6/10/2021,Boone,Nebraska,31011,597,4
6/10/2021,Box Butte,Nebraska,31013,962,11
6/10/2021,Boyd,Nebraska,31015,188,3
6/10/2021,Brown,Nebraska,31017,232,2
6/10/2021,Buffalo,Nebraska,31019,5522,57
6/10/2021,Burt,Nebraska,31021,683,12
6/10/2021,Butler,Nebraska,31023,869,12
6/10/2021,Cass,Nebraska,31025,2680,16
6/10/2021,Cedar,Nebraska,31027,788,11
6/10/2021,Chase,Nebraska,31029,475,5
6/10/2021,Cherry,Nebraska,31031,313,7
6/10/2021,Cheyenne,Nebraska,31033,954,19
6/10/2021,Clay,Nebraska,31035,788,17
6/10/2021,Colfax,Nebraska,31037,1606,21
6/10/2021,Cuming,Nebraska,31039,1068,15
6/10/2021,Custer,Nebraska,31041,864,19
6/10/2021,Dakota,Nebraska,31043,4152,82
6/10/2021,Dawes,Nebraska,31045,778,20
6/10/2021,Dawson,Nebraska,31047,2857,31
6/10/2021,Deuel,Nebraska,31049,129,2
6/10/2021,Dixon,Nebraska,31051,623,9
6/10/2021,Dodge,Nebraska,31053,4988,80
6/10/2021,Douglas,Nebraska,31055,71990,728
6/10/2021,Dundy,Nebraska,31057,197,4
6/10/2021,Fillmore,Nebraska,31059,519,13
6/10/2021,Franklin,Nebraska,31061,252,4
6/10/2021,Frontier,Nebraska,31063,205,1
6/10/2021,Furnas,Nebraska,31065,520,5
6/10/2021,Gage,Nebraska,31067,2167,20
6/10/2021,Garden,Nebraska,31069,130,1
6/10/2021,Garfield,Nebraska,31071,165,1
6/10/2021,Gosper,Nebraska,31073,193,5
6/10/2021,Grant,Nebraska,31075,48,4
6/10/2021,Greeley,Nebraska,31077,226,1
6/10/2021,Hall,Nebraska,31079,7881,120
6/10/2021,Hamilton,Nebraska,31081,982,18
6/10/2021,Harlan,Nebraska,31083,238,0
6/10/2021,Hayes,Nebraska,31085,73,0
6/10/2021,Hitchcock,Nebraska,31087,267,5
6/10/2021,Holt,Nebraska,31089,877,16
6/10/2021,Hooker,Nebraska,31091,59,3
6/10/2021,Howard,Nebraska,31093,571,10
6/10/2021,Jefferson,Nebraska,31095,674,3
6/10/2021,Johnson,Nebraska,31097,668,10
6/10/2021,Kearney,Nebraska,31099,627,5
6/10/2021,Keith,Nebraska,31101,735,10
6/10/2021,Keya Paha,Nebraska,31103,66,0
6/10/2021,Kimball,Nebraska,31105,449,7
6/10/2021,Knox,Nebraska,31107,900,12
6/10/2021,Lancaster,Nebraska,31109,31435,238
6/10/2021,Lincoln,Nebraska,31111,4132,80
6/10/2021,Logan,Nebraska,31113,93,0
6/10/2021,Loup,Nebraska,31115,54,0
6/10/2021,McPherson,Nebraska,31117,39,1
6/10/2021,Madison,Nebraska,31119,4315,44
6/10/2021,Merrick,Nebraska,31121,791,15
6/10/2021,Morrill,Nebraska,31123,518,15
6/10/2021,Nance,Nebraska,31125,426,10
6/10/2021,Nemaha,Nebraska,31127,815,13
6/10/2021,Nuckolls,Nebraska,31129,560,12
6/10/2021,Otoe,Nebraska,31131,1489,13
6/10/2021,Pawnee,Nebraska,31133,253,4
6/10/2021,Perkins,Nebraska,31135,306,11
6/10/2021,Phelps,Nebraska,31137,1019,10
6/10/2021,Pierce,Nebraska,31139,654,20
6/10/2021,Platte,Nebraska,31141,4162,50
6/10/2021,Polk,Nebraska,31143,597,18
6/10/2021,Red Willow,Nebraska,31145,1226,15
6/10/2021,Richardson,Nebraska,31147,815,24
6/10/2021,Rock,Nebraska,31149,114,2
6/10/2021,Saline,Nebraska,31151,2049,3
6/10/2021,Sarpy,Nebraska,31153,22415,132
6/10/2021,Saunders,Nebraska,31155,2553,20
6/10/2021,Scotts Bluff,Nebraska,31157,4678,96
6/10/2021,Seward,Nebraska,31159,2044,34
6/10/2021,Sheridan,Nebraska,31161,551,21
6/10/2021,Sherman,Nebraska,31163,224,4
6/10/2021,Sioux,Nebraska,31165,43,1
6/10/2021,Stanton,Nebraska,31167,384,11
6/10/2021,Thayer,Nebraska,31169,502,7
6/10/2021,Thomas,Nebraska,31171,67,1
6/10/2021,Thurston,Nebraska,31173,860,11
6/10/2021,Valley,Nebraska,31175,339,2
6/10/2021,Washington,Nebraska,31177,2213,27
6/10/2021,Wayne,Nebraska,31179,1102,7
6/10/2021,Webster,Nebraska,31181,429,8
6/10/2021,Wheeler,Nebraska,31183,51,0
6/10/2021,York,Nebraska,31185,1789,13
