state,county,fips,votes gop,votes dem,total votes,% GOP,% DEM,% Votes,majority,POP tot
Texas,Anderson,48001,15110,3955,19221,78.61%,20.58%,99.19%,RIGHT,57735
Texas,Andrews,48003,4943,850,5863,84.31%,14.50%,98.81%,RIGHT,18705
Texas,Angelina,48005,25070,9136,34628,72.40%,26.38%,98.78%,RIGHT,86715
Texas,Aransas,48007,9239,2916,12289,75.18%,23.73%,98.91%,RIGHT,23510
Texas,Archer,48009,4300,446,4796,89.66%,9.30%,98.96%,RIGHT,8553
Texas,Armstrong,48011,1035,75,1112,93.08%,6.74%,99.82%,RIGHT,1887
Texas,Atascosa,48013,12039,5876,18116,66.46%,32.44%,98.89%,RIGHT,51153
Texas,Austin,48015,11447,2951,14554,78.65%,20.28%,98.93%,RIGHT,30032
Texas,Bailey,48017,1434,409,1859,77.14%,22.00%,99.14%,RIGHT,7000
Texas,Bandera,48019,10057,2505,12712,79.11%,19.71%,98.82%,RIGHT,23112
Texas,Bastrop,48021,20486,15452,36709,55.81%,42.09%,97.90%,RIGHT,88723
Texas,Baylor,48023,1494,183,1700,87.88%,10.76%,98.65%,RIGHT,3509
Texas,Bee,48025,6006,3288,9414,63.80%,34.93%,98.73%,RIGHT,32565
Texas,Bell,48027,67893,57014,127327,53.32%,44.78%,98.10%,RIGHT,362924
Texas,Bexar,48029,308618,448452,770571,40.05%,58.20%,98.25%,LEFT,2003554
Texas,Blanco,48031,5443,1911,7441,73.15%,25.68%,98.83%,RIGHT,11931
Texas,Borden,48033,397,16,416,95.43%,3.85%,99.28%,RIGHT,654
Texas,Bosque,48035,7469,1561,9126,81.84%,17.10%,98.95%,RIGHT,18685
Texas,Bowie,48037,27116,10747,38254,70.88%,28.09%,98.98%,RIGHT,93245
Texas,Brazoria,48039,90433,62228,154938,58.37%,40.16%,98.53%,RIGHT,374264
Texas,Brazos,48041,47530,35349,84943,55.96%,41.61%,97.57%,RIGHT,229211
Texas,Brewster,48043,2461,2258,4822,51.04%,46.83%,97.86%,RIGHT,9203
Texas,Briscoe,48045,639,78,725,88.14%,10.76%,98.90%,RIGHT,1546
Texas,Brooks,48047,998,1470,2484,40.18%,59.18%,99.36%,LEFT,7093
Texas,Brown,48049,13698,2107,15963,85.81%,13.20%,99.01%,RIGHT,37864
Texas,Burleson,48051,6743,1788,8609,78.33%,20.77%,99.09%,RIGHT,18443
Texas,Burnet,48053,18767,5639,24708,75.96%,22.82%,98.78%,RIGHT,48155
Texas,Caldwell,48055,8031,6672,14940,53.76%,44.66%,98.41%,RIGHT,43664
Texas,Calhoun,48057,5641,2148,7856,71.80%,27.34%,99.15%,RIGHT,21290
Texas,Callahan,48059,6012,734,6832,88.00%,10.74%,98.74%,RIGHT,13943
Texas,Cameron,48061,49032,64063,114159,42.95%,56.12%,99.07%,LEFT,423163
Texas,Camp,48063,3626,1394,5058,71.69%,27.56%,99.25%,RIGHT,13094
Texas,Carson,48065,2779,297,3116,89.18%,9.53%,98.72%,RIGHT,5926
Texas,Cass,48067,11033,2795,13924,79.24%,20.07%,99.31%,RIGHT,30026
Texas,Castro,48069,1602,466,2083,76.91%,22.37%,99.28%,RIGHT,7530
Texas,Chambers,48071,17343,3997,21641,80.14%,18.47%,98.61%,RIGHT,43837
Texas,Cherokee,48073,15101,4210,19508,77.41%,21.58%,98.99%,RIGHT,52646
Texas,Childress,48075,1943,310,2279,85.26%,13.60%,98.86%,RIGHT,7306
Texas,Clay,48077,5069,614,5741,88.29%,10.70%,98.99%,RIGHT,10471
Texas,Cochran,48079,809,177,1000,80.90%,17.70%,98.60%,RIGHT,2853
Texas,Coke,48081,1565,215,1794,87.24%,11.98%,99.22%,RIGHT,3387
Texas,Coleman,48083,3640,451,4128,88.18%,10.93%,99.10%,RIGHT,8175
Texas,Collin,48085,252318,230945,492216,51.26%,46.92%,98.18%,RIGHT,1034730
