state,county,fips,votes gop,votes dem,total votes,% GOP,% DEM,% Votes,majority,POP tot
Montana,Beaverhead,30001,3923,1608,5661,69.30%,28.40%,97.70%,RIGHT,9453
Montana,Big Horn,30003,2207,2491,4784,46.13%,52.07%,98.20%,LEFT,13319
Montana,Blaine,30005,1469,1589,3117,47.13%,50.98%,98.11%,LEFT,6681
Montana,Broadwater,30007,3173,835,4097,77.45%,20.38%,97.83%,RIGHT,6237
Montana,Carbon,30009,4468,2421,7101,62.92%,34.09%,97.01%,RIGHT,10725
Montana,Carter,30011,775,74,864,89.70%,8.56%,98.26%,RIGHT,1252
Montana,Cascade,30013,23315,15456,39885,58.46%,38.75%,97.21%,RIGHT,81366
Montana,Chouteau,30015,1891,991,2974,63.58%,33.32%,96.91%,RIGHT,5635
Montana,Custer,30017,4205,1514,5883,71.48%,25.74%,97.21%,RIGHT,11402
Montana,Daniels,30019,799,195,1014,78.80%,19.23%,98.03%,RIGHT,1690
Montana,Dawson,30021,3758,962,4837,77.69%,19.89%,97.58%,RIGHT,8613
Montana,Deer Lodge,30023,2186,2562,4891,44.69%,52.38%,97.08%,LEFT,9140
Montana,Fallon,30025,1375,172,1575,87.30%,10.92%,98.22%,RIGHT,2846
Montana,Fergus,30027,4869,1496,6531,74.55%,22.91%,97.46%,RIGHT,11050
Montana,Flathead,30029,38321,20274,60258,63.59%,33.65%,97.24%,RIGHT,103806
Montana,Gallatin,30031,31696,37044,71507,44.33%,51.80%,96.13%,LEFT,114434
Montana,Garfield,30033,764,41,813,93.97%,5.04%,99.02%,RIGHT,1258
Montana,Glacier,30035,1884,3610,5639,33.41%,64.02%,97.43%,LEFT,13753
Montana,Golden Valley,30037,414,78,503,82.31%,15.51%,97.81%,RIGHT,821
Montana,Granite,30039,1419,638,2102,67.51%,30.35%,97.86%,RIGHT,3379
Montana,Hill,30041,3957,2981,7182,55.10%,41.51%,96.60%,RIGHT,16484
Montana,Jefferson,30043,5345,2625,8191,65.25%,32.05%,97.30%,RIGHT,12221
Montana,Judith Basin,30045,1040,275,1344,77.38%,20.46%,97.84%,RIGHT,2007
Montana,Lake,30047,9322,6916,16626,56.07%,41.60%,97.67%,RIGHT,30458
Montana,Lewis and Clark,30049,21409,19743,42485,50.39%,46.47%,96.86%,RIGHT,69432
Montana,Liberty,30051,821,249,1083,75.81%,22.99%,98.80%,RIGHT,2337
Montana,Lincoln,30053,8672,2835,11747,73.82%,24.13%,97.96%,RIGHT,19980
Montana,McCone,30055,956,155,1128,84.75%,13.74%,98.49%,RIGHT,1664
Montana,Madison,30057,4191,1771,6113,68.56%,28.97%,97.53%,RIGHT,8600
Montana,Meagher,30059,833,258,1110,75.05%,23.24%,98.29%,RIGHT,1862
Montana,Mineral,30061,1828,686,2563,71.32%,26.77%,98.09%,RIGHT,4397
Montana,Missoula,30063,26347,43357,71986,36.60%,60.23%,96.83%,LEFT,119600
Montana,Musselshell,30065,2423,413,2881,84.10%,14.34%,98.44%,RIGHT,4633
Montana,Park,30067,6025,5280,11618,51.86%,45.45%,97.31%,RIGHT,16606
Montana,Petroleum,30069,298,39,351,84.90%,11.11%,96.01%,RIGHT,487
Montana,Phillips,30071,1936,416,2386,81.14%,17.44%,98.58%,RIGHT,3954
Montana,Pondera,30073,2031,903,2995,67.81%,30.15%,97.96%,RIGHT,5911
Montana,Powder River,30075,970,154,1136,85.39%,13.56%,98.94%,RIGHT,1682
Montana,Powell,30077,2355,752,3195,73.71%,23.54%,97.25%,RIGHT,6890
Montana,Prairie,30079,603,126,744,81.05%,16.94%,97.98%,RIGHT,1077
Montana,Ravalli,30081,19114,8763,28507,67.05%,30.74%,97.79%,RIGHT,43806
Montana,Richland,30083,4800,875,5798,82.79%,15.09%,97.88%,RIGHT,10803
Montana,Roosevelt,30085,1996,1910,4028,49.55%,47.42%,96.97%,RIGHT,11004
Montana,Rosebud,30087,2486,1199,3784,65.70%,31.69%,97.38%,RIGHT,8937
Montana,Sanders,30089,5660,1820,7652,73.97%,23.78%,97.75%,RIGHT,12113
Montana,Sheridan,30091,1403,574,2030,69.11%,28.28%,97.39%,RIGHT,3309
Montana,Silver Bow,30093,7745,10392,18827,41.14%,55.20%,96.34%,LEFT,34915
Montana,Stillwater,30095,4462,1156,5741,77.72%,20.14%,97.86%,RIGHT,9642
Montana,Sweet Grass,30097,1840,549,2446,75.22%,22.44%,97.67%,RIGHT,3737
Montana,Teton,30099,2608,1007,3695,70.58%,27.25%,97.83%,RIGHT,6147
Montana,Toole,30101,1596,467,2123,75.18%,22.00%,97.17%,RIGHT,4736
Montana,Treasure,30103,373,78,460,81.09%,16.96%,98.04%,RIGHT,696
Montana,Valley,30105,3135,1030,4272,73.38%,24.11%,97.50%,RIGHT,7396
Montana,Wheatland,30107,823,225,1068,77.06%,21.07%,98.13%,RIGHT,2126
Montana,Wibaux,30109,516,77,598,86.29%,12.88%,99.16%,RIGHT,969
Montana,Yellowstone,30111,50772,30679,83821,60.57%,36.60%,97.17%,RIGHT,161300
