state,county,fips,POP tot,0-19 tot,20-64tot,65+ tot,voting age
Nebraska,Adams,31001,31363,8433,17014,5916,22930
Nebraska,Antelope,31003,6298,1611,3172,1515,4687
Nebraska,Arthur,31005,463,129,235,99,334
Nebraska,Banner,31007,745,189,377,179,556
Nebraska,Blaine,31009,465,96,244,125,369
Nebraska,Boone,31011,5192,1297,2679,1216,3895
Nebraska,Box Butte,31013,10783,2949,5750,2084,7834
Nebraska,Boyd,31015,1919,394,930,595,1525
Nebraska,Brown,31017,2955,698,1459,798,2257
Nebraska,Buffalo,31019,49659,13492,28694,7473,36167
Nebraska,Burt,31021,6459,1586,3300,1573,4873
Nebraska,Butler,31023,8016,2044,4264,1708,5972
Nebraska,Cass,31025,26248,6724,14768,4756,19524
Nebraska,Cedar,31027,8402,2301,4251,1850,6101
Nebraska,Chase,31029,3924,1062,2028,834,2862
Nebraska,Cherry,31031,5689,1443,2986,1260,4246
Nebraska,Cheyenne,31033,8910,2241,4835,1834,6669
Nebraska,Clay,31035,6203,1670,3265,1268,4533
Nebraska,Colfax,31037,10709,3431,5796,1482,7278
Nebraska,Cuming,31039,8846,2353,4515,1978,6493
Nebraska,Custer,31041,10777,2787,5539,2451,7990
Nebraska,Dakota,31043,20026,6350,10890,2786,13676
Nebraska,Dawes,31045,8589,2098,4855,1636,6491
Nebraska,Dawson,31047,23595,6994,12551,4050,16601
Nebraska,Deuel,31049,1794,411,963,420,1383
Nebraska,Dixon,31051,5636,1567,2902,1167,4069
Nebraska,Dodge,31053,36565,9845,19623,7097,26720
Nebraska,Douglas,31055,571327,160606,333951,76770,410721
Nebraska,Dundy,31057,1693,340,910,443,1353
Nebraska,Fillmore,31059,5462,1193,3005,1264,4269
Nebraska,Franklin,31061,2979,654,1482,843,2325
Nebraska,Frontier,31063,2627,634,1358,635,1993
Nebraska,Furnas,31065,4676,1146,2345,1185,3530
Nebraska,Gage,31067,21513,5316,11649,4548,16197
Nebraska,Garden,31069,1837,386,919,532,1451
Nebraska,Garfield,31071,1969,398,996,575,1571
Nebraska,Gosper,31073,1990,469,1034,487,1521
Nebraska,Grant,31075,623,167,314,142,456
Nebraska,Greeley,31077,2356,583,1176,597,1773
Nebraska,Hall,31079,61353,18315,33775,9263,43038
Nebraska,Hamilton,31081,9324,2452,4968,1904,6872
Nebraska,Harlan,31083,3380,775,1682,923,2605
Nebraska,Hayes,31085,922,224,440,258,698
Nebraska,Hitchcock,31087,2762,679,1352,731,2083
Nebraska,Holt,31089,10067,2735,5118,2214,7332
Nebraska,Hooker,31091,682,156,315,211,526
Nebraska,Howard,31093,6445,1664,3386,1395,4781
Nebraska,Jefferson,31095,7046,1667,3655,1724,5379
Nebraska,Johnson,31097,5071,1044,3062,965,4027
Nebraska,Kearney,31099,6495,1726,3482,1287,4769
Nebraska,Keith,31101,8034,1775,4082,2177,6259
Nebraska,Keya Paha,31103,806,159,384,263,647
Nebraska,Kimball,31105,3632,841,1886,905,2791
Nebraska,Knox,31107,8332,2205,4012,2115,6127
Nebraska,Lancaster,31109,319090,84204,188984,45902,234886
Nebraska,Lincoln,31111,34914,8986,18916,7012,25928
Nebraska,Logan,31113,748,193,386,169,555
Nebraska,Loup,31115,664,155,335,174,509
Nebraska,McPherson,31117,494,103,272,119,391
Nebraska,Madison,31119,35099,9980,19426,5693,25119
Nebraska,Merrick,31121,7755,1905,4242,1608,5850
Nebraska,Morrill,31123,4642,1150,2487,1005,3492
Nebraska,Nance,31125,3519,850,1902,767,2669
Nebraska,Nemaha,31127,6972,1885,3668,1419,5087
Nebraska,Nuckolls,31129,4148,890,2129,1129,3258
Nebraska,Otoe,31131,16012,4178,8668,3166,11834
Nebraska,Pawnee,31133,2613,612,1251,750,2001
Nebraska,Perkins,31135,2891,774,1431,686,2117
Nebraska,Phelps,31137,9034,2343,4778,1913,6691
Nebraska,Pierce,31139,7148,1949,3796,1403,5199
Nebraska,Platte,31141,33470,9575,17990,5905,23895
Nebraska,Polk,31143,5213,1295,2686,1232,3918
Nebraska,Red Willow,31145,10724,2712,5753,2259,8012
Nebraska,Richardson,31147,7865,1831,4077,1957,6034
Nebraska,Rock,31149,1357,303,692,362,1054
Nebraska,Saline,31151,14224,4308,7728,2188,9916
Nebraska,Sarpy,31153,187196,55214,109320,22662,131982
Nebraska,Saunders,31155,21578,5708,11787,4083,15870
Nebraska,Scotts Bluff,31157,35618,9708,18922,6988,25910
Nebraska,Seward,31159,17284,4915,9400,2969,12369
Nebraska,Sheridan,31161,5246,1269,2576,1401,3977
Nebraska,Sherman,31163,3001,688,1471,842,2313
Nebraska,Sioux,31165,1166,228,582,356,938
Nebraska,Stanton,31167,5920,1569,3242,1109,4351
Nebraska,Thayer,31169,5003,1266,2459,1278,3737
Nebraska,Thomas,31171,722,178,353,191,544
Nebraska,Thurston,31173,7224,2831,3539,854,4393
Nebraska,Valley,31175,4158,1028,2057,1073,3130
Nebraska,Washington,31177,20729,5469,11397,3863,15260
Nebraska,Wayne,31179,9385,2535,5284,1566,6850
Nebraska,Webster,31181,3487,818,1853,816,2669
Nebraska,Wheeler,31183,783,158,402,223,625
Nebraska,York,31185,13679,3554,7265,2860,10125
