state,county,fips,POP tot,land area (sq/mi),pop/sqmi
Illinois,Adams,17001,65435,857,76.4
Illinois,Alexander,17003,5761,236,24.4
Illinois,Bond,17005,16426,380,43.2
Illinois,Boone,17007,53544,281,190.5
Illinois,Brown,17009,6578,306,21.5
Illinois,Bureau,17011,32628,869,37.5
Illinois,Calhoun,17013,4739,254,18.7
Illinois,Carroll,17015,14305,444,32.2
Illinois,Cass,17017,12147,376,32.3
Illinois,Champaign,17019,209689,997,210.3
Illinois,Christian,17021,32304,709,45.6
Illinois,Clark,17023,15441,502,30.8
Illinois,Clay,17025,13184,469,28.1
Illinois,Clinton,17027,37562,474,79.2
Illinois,Coles,17029,50621,508,99.6
Illinois,Cook,17031,5150233,946,5444.2
Illinois,Crawford,17033,18667,444,42
Illinois,Cumberland,17035,10766,346,31.1
Illinois,DeKalb,17037,104897,634,165.5
Illinois,De Witt,17039,15638,398,39.3
Illinois,Douglas,17041,19465,417,46.7
Illinois,DuPage,17043,922921,334,2763.2
Illinois,Edgar,17045,17161,624,27.5
Illinois,Edwards,17047,6395,222,28.8
Illinois,Effingham,17049,34008,479,71
Illinois,Fayette,17051,21336,716,29.8
Illinois,Ford,17053,12961,486,26.7
Illinois,Franklin,17055,38469,412,93.4
Illinois,Fulton,17057,34340,866,39.7
Illinois,Gallatin,17059,4828,324,14.9
Illinois,Greene,17061,12969,543,23.9
Illinois,Grundy,17063,51054,420,121.6
Illinois,Hamilton,17065,8116,435,18.7
Illinois,Hancock,17067,17708,795,22.3
Illinois,Hardin,17069,3821,178,21.5
Illinois,Henderson,17071,6646,379,17.5
Illinois,Henry,17073,48913,823,59.4
Illinois,Iroquois,17075,27114,1116,24.3
Illinois,Jackson,17077,56750,588,96.5
Illinois,Jasper,17079,9610,494,19.5
Illinois,Jefferson,17081,37684,571,66
Illinois,Jersey,17083,21773,369,59
Illinois,Jo Daviess,17085,21235,601,35.3
Illinois,Johnson,17087,12417,346,35.9
Illinois,Kane,17089,532403,521,1021.9
Illinois,Kankakee,17091,109862,678,162
Illinois,Kendall,17093,128990,321,401.8
Illinois,Knox,17095,49699,716,69.4
Illinois,Lake,17097,696535,448,1554.8
Illinois,LaSalle,17099,108669,1135,95.7
Illinois,Lawrence,17101,15678,372,42.1
Illinois,Lee,17103,34096,725,47
Illinois,Livingston,17105,35648,1044,34.1
Illinois,Logan,17107,28618,618,46.3
Illinois,McDonough,17109,29682,581,51.1
Illinois,McHenry,17111,307774,864,356.2
Illinois,McLean,17113,171517,725,236.6
Illinois,Macon,17115,104009,572,181.8
Illinois,Macoupin,17117,44926,386,116.4
Illinois,Madison,17119,262966,539,487.9
Illinois,Marion,17121,37205,239,155.7
Illinois,Marshall,17123,11438,589,19.4
Illinois,Mason,17125,13359,604,22.1
Illinois,Massac,17127,13772,1184,11.6
Illinois,Menard,17129,12196,314,38.8
Illinois,Mercer,17131,15437,561,27.5
Illinois,Monroe,17133,34637,388,89.3
Illinois,Montgomery,17135,28414,704,40.4
Illinois,Morgan,17137,33658,569,59.2
Illinois,Moultrie,17139,14501,336,43.2
Illinois,Ogle,17141,50643,759,66.7
Illinois,Peoria,17143,179179,620,289
Illinois,Perry,17145,20916,441,47.4
Illinois,Piatt,17147,16344,440,37.1
Illinois,Pike,17149,15561,830,18.7
Illinois,Pope,17151,4177,371,11.3
Illinois,Pulaski,17153,5335,201,26.5
Illinois,Putnam,17155,5739,160,35.9
Illinois,Randolph,17157,31782,578,55
Illinois,Richland,17159,15513,360,43.1
Illinois,Rock Island,17161,141879,427,332.3
Illinois,St. Clair,17163,259686,383,678
Illinois,Saline,17165,23491,868,27.1
Illinois,Sangamon,17167,194672,437,445.5
Illinois,Schuyler,17169,6768,251,27
Illinois,Scott,17171,4951,759,6.5
Illinois,Shelby,17173,21634,664,32.6
Illinois,Stark,17175,5342,288,18.5
Illinois,Stephenson,17177,44498,564,78.9
Illinois,Tazewell,17179,131803,649,203.1
Illinois,Union,17181,16653,416,40
Illinois,Vermilion,17183,75758,899,84.3
Illinois,Wabash,17185,11520,224,51.4
Illinois,Warren,17187,16844,543,31
Illinois,Washington,17189,13887,563,24.7
Illinois,Wayne,17191,16215,714,22.7
Illinois,White,17193,13537,495,27.3
Illinois,Whiteside,17195,55175,685,80.5
Illinois,Will,17197,690743,837,825.3
Illinois,Williamson,17199,66597,424,157.1
Illinois,Winnebago,17201,282572,514,549.8
Illinois,Woodford,17203,38459,528,72.8
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
