state,county,fips,votes gop,votes dem,total votes,% GOP,% DEM,% Votes,majority,POP tot
Washington,Adams,53001,3907,1814,5836,66.95%,31.08%,98.03%,RIGHT,19983
Washington,Asotin,53003,7319,4250,11880,61.61%,35.77%,97.38%,RIGHT,22582
Washington,Benton,53005,60365,38706,102307,59.00%,37.83%,96.84%,RIGHT,204390
Washington,Chelan,53007,22746,19349,43025,52.87%,44.97%,97.84%,RIGHT,77200
Washington,Clallam,53009,23062,24721,49025,47.04%,50.43%,97.47%,LEFT,77331
Washington,Clark,53011,126303,140324,273451,46.19%,51.32%,97.50%,LEFT,488241
Washington,Columbia,53013,1754,668,2482,70.67%,26.91%,97.58%,RIGHT,3985
Washington,Cowlitz,53015,34424,23938,59969,57.40%,39.92%,97.32%,RIGHT,110593
Washington,Douglas,53017,12955,7811,21183,61.16%,36.87%,98.03%,RIGHT,43429
Washington,Ferry,53019,2771,1486,4351,63.69%,34.15%,97.84%,RIGHT,7627
Washington,Franklin,53021,18039,13340,32226,55.98%,41.40%,97.37%,RIGHT,95222
Washington,Garfield,53023,1069,366,1481,72.18%,24.71%,96.89%,RIGHT,2225
Washington,Grant,53025,24764,11819,37475,66.08%,31.54%,97.62%,RIGHT,97733
Washington,Grays Harbor,53027,19877,17354,38256,51.96%,45.36%,97.32%,RIGHT,75061
Washington,Island,53029,22746,29213,53539,42.48%,54.56%,97.05%,LEFT,85141
Washington,Jefferson,53031,6931,17204,24658,28.11%,69.77%,97.88%,LEFT,32221
Washington,King,53033,269167,907310,1202570,22.38%,75.45%,97.83%,LEFT,2252782
Washington,Kitsap,53035,61563,90277,157625,39.06%,57.27%,96.33%,LEFT,271473
Washington,Kittitas,53037,14042,11246,26113,53.77%,43.07%,96.84%,RIGHT,47935
Washington,Klickitat,53039,7237,5959,13481,53.68%,44.20%,97.89%,RIGHT,22425
Washington,Lewis,53041,29391,14520,45077,65.20%,32.21%,97.41%,RIGHT,80707
Washington,Lincoln,53043,5150,1713,6993,73.65%,24.50%,98.14%,RIGHT,10939
Washington,Mason,53045,18710,17269,37112,50.41%,46.53%,96.95%,RIGHT,66768
Washington,Okanogan,53047,11840,8900,21152,55.98%,42.08%,98.05%,RIGHT,42243
Washington,Pacific,53049,6953,6794,14017,49.60%,48.47%,98.07%,RIGHT,22471
Washington,Pend Oreille,53051,5728,2593,8513,67.29%,30.46%,97.74%,RIGHT,13724
Washington,Pierce,53053,197730,249506,460714,42.92%,54.16%,97.07%,LEFT,904980
Washington,San Juan,53055,3057,9725,13090,23.35%,74.29%,97.65%,LEFT,17582
Washington,Skagit,53057,32762,38252,72937,44.92%,52.45%,97.36%,LEFT,129205
Washington,Skamania,53059,3885,3192,7268,53.45%,43.92%,97.37%,RIGHT,12083
Washington,Snohomish,53061,166428,256728,435582,38.21%,58.94%,97.15%,LEFT,822083
Washington,Spokane,53063,148576,135765,293294,50.66%,46.29%,96.95%,RIGHT,522798
Washington,Stevens,53065,19808,7839,28283,70.04%,27.72%,97.75%,RIGHT,45723
Washington,Thurston,53067,65277,96608,166965,39.10%,57.86%,96.96%,LEFT,290536
Washington,Wahkiakum,53069,1741,1165,2972,58.58%,39.20%,97.78%,RIGHT,4488
Washington,Walla Walla,53071,16400,13690,31055,52.81%,44.08%,96.89%,RIGHT,60760
Washington,Whatcom,53073,50489,83660,137660,36.68%,60.77%,97.45%,LEFT,229247
Washington,Whitman,53075,9067,11184,20964,43.25%,53.35%,96.60%,LEFT,50104
Washington,Yakima,53077,50555,43179,95713,52.82%,45.11%,97.93%,RIGHT,250873
