State,FIPS,total facilities
North Dakota,38003,1
North Dakota,38005,1
North Dakota,38009,1
North Dakota,38015,4
North Dakota,38017,2
North Dakota,38035,1
North Dakota,38041,2
North Dakota,38053,2
North Dakota,38055,1
North Dakota,38057,1
North Dakota,38059,1
North Dakota,38061,1
North Dakota,38067,1
North Dakota,38069,1
North Dakota,38071,1
North Dakota,38077,1
North Dakota,38079,2
North Dakota,38085,1
North Dakota,38089,1
North Dakota,38093,2
North Dakota,38097,1
North Dakota,38099,1
North Dakota,38101,1
North Dakota,38105,1
