state,county,fips,POP tot,land area (sq/mi),pop/sqmi
Pennsylvania,Adams,42001,103009,522,197.3
Pennsylvania,Allegheny,42003,1216045,745,1632.3
Pennsylvania,Armstrong,42005,64735,664,97.5
Pennsylvania,Beaver,42007,163929,444,369.2
Pennsylvania,Bedford,42009,47888,1015,47.2
Pennsylvania,Berks,42011,421164,866,486.3
Pennsylvania,Blair,42013,121829,527,231.2
Pennsylvania,Bradford,42015,60323,1161,52
Pennsylvania,Bucks,42017,628270,622,1010.1
Pennsylvania,Butler,42019,187853,795,236.3
Pennsylvania,Cambria,42021,130192,693,187.9
Pennsylvania,Cameron,42023,4447,399,11.1
Pennsylvania,Carbon,42025,64182,387,165.8
Pennsylvania,Centre,42027,162385,1112,146
Pennsylvania,Chester,42029,524989,760,690.8
Pennsylvania,Clarion,42031,38438,609,63.1
Pennsylvania,Clearfield,42033,79255,1154,68.7
Pennsylvania,Clinton,42035,38632,898,43
Pennsylvania,Columbia,42037,64964,490,132.6
Pennsylvania,Crawford,42039,84629,1038,81.5
Pennsylvania,Cumberland,42041,253370,551,459.8
Pennsylvania,Dauphin,42043,278299,558,498.7
Pennsylvania,Delaware,42045,566747,191,2967.3
Pennsylvania,Elk,42047,29910,832,35.9
Pennsylvania,Erie,42049,269728,799,337.6
Pennsylvania,Fayette,42051,129274,798,162
Pennsylvania,Forest,42053,7247,431,16.8
Pennsylvania,Franklin,42055,155027,771,201.1
Pennsylvania,Fulton,42057,14530,438,33.2
Pennsylvania,Greene,42059,36233,578,62.7
Pennsylvania,Huntingdon,42061,45144,889,50.8
Pennsylvania,Indiana,42063,84073,834,100.8
Pennsylvania,Jefferson,42065,43425,657,66.1
Pennsylvania,Juniata,42067,24763,394,62.9
Pennsylvania,Lackawanna,42069,209674,465,450.9
Pennsylvania,Lancaster,42071,545724,984,554.6
Pennsylvania,Lawrence,42073,85512,363,235.6
Pennsylvania,Lebanon,42075,141793,363,390.6
Pennsylvania,Lehigh,42077,369318,349,1058.2
Pennsylvania,Luzerne,42079,317417,907,350
Pennsylvania,Lycoming,42081,113299,1244,91.1
Pennsylvania,McKean,42083,40625,984,41.3
Pennsylvania,Mercer,42085,109424,683,160.2
Pennsylvania,Mifflin,42087,46138,415,111.2
Pennsylvania,Monroe,42089,170271,617,276
Pennsylvania,Montgomery,42091,830915,487,1706.2
Pennsylvania,Montour,42093,18230,132,138.1
Pennsylvania,Northampton,42095,305285,377,809.8
Pennsylvania,Northumberland,42097,90843,477,190.4
Pennsylvania,Perry,42099,46272,556,83.2
Pennsylvania,Philadelphia,42101,1584064,143,11077.4
Pennsylvania,Pike,42103,55809,567,98.4
Pennsylvania,Potter,42105,16526,1081,15.3
Pennsylvania,Schuylkill,42107,141359,778,181.7
Pennsylvania,Snyder,42109,40372,332,121.6
Pennsylvania,Somerset,42111,73447,1081,67.9
Pennsylvania,Sullivan,42113,6066,452,13.4
Pennsylvania,Susquehanna,42115,40328,832,48.5
Pennsylvania,Tioga,42117,40591,1137,35.7
Pennsylvania,Union,42119,44923,317,141.7
Pennsylvania,Venango,42121,50668,683,74.2
Pennsylvania,Warren,42123,39191,898,43.6
Pennsylvania,Washington,42125,206865,861,240.3
Pennsylvania,Wayne,42127,51361,751,68.4
Pennsylvania,Westmoreland,42129,348899,1036,336.8
Pennsylvania,Wyoming,42131,26794,405,66.2
Pennsylvania,York,42133,449058,910,493.5
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
