SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,POPESTIMATE,POPEST_MALE,POPEST_FEM,UNDER5_TOT,UNDER5_MALE,UNDER5_FEM,AGE513_TOT,AGE513_MALE,AGE513_FEM,AGE1417_TOT,AGE1417_MALE,AGE1417_FEM,AGE1824_TOT,AGE1824_MALE,AGE1824_FEM,AGE16PLUS_TOT,AGE16PLUS_MALE,AGE16PLUS_FEM,AGE18PLUS_TOT,AGE18PLUS_MALE,AGE18PLUS_FEM,AGE1544_TOT,AGE1544_MALE,AGE1544_FEM,AGE2544_TOT,AGE2544_MALE,AGE2544_FEM,AGE4564_TOT,AGE4564_MALE,AGE4564_FEM,AGE65PLUS_TOT,AGE65PLUS_MALE,AGE65PLUS_FEM,AGE04_TOT,AGE04_MALE,AGE04_FEM,AGE59_TOT,AGE59_MALE,AGE59_FEM,AGE1014_TOT,AGE1014_MALE,AGE1014_FEM,AGE1519_TOT,AGE1519_MALE,AGE1519_FEM,UNDER 19 ALL,UNDER 19 F,UNDER 19 M,AGE2024_TOT,AGE2024_MALE,AGE2024_FEM,AGE2529_TOT,AGE2529_MALE,AGE2529_FEM,AGE3034_TOT,AGE3034_MALE,AGE3034_FEM,AGE3539_TOT,AGE3539_MALE,AGE3539_FEM,AGE4044_TOT,AGE4044_MALE,AGE4044_FEM,AGE4549_TOT,AGE4549_MALE,AGE4549_FEM,AGE5054_TOT,AGE5054_MALE,AGE5054_FEM,AGE5559_TOT,AGE5559_MALE,AGE5559_FEM,AGE6064_TOT,AGE6064_MALE,AGE6064_FEM,TOT 20-64 POP,F 20-64 POP ,M 20-64 POP ,AGE6569_TOT,AGE6569_MALE,AGE6569_FEM,AGE7074_TOT,AGE7074_MALE,AGE7074_FEM,AGE7579_TOT,AGE7579_MALE,AGE7579_FEM,AGE8084_TOT,AGE8084_MALE,AGE8084_FEM,AGE85PLUS_TOT,AGE85PLUS_MALE,AGE85PLUS_FEM,MEDIAN_AGE_TOT,MEDIAN_AGE_MALE,MEDIAN_AGE_FEM
50,1,1051,Alabama,Elmore County,2019,81209,39236,41973,4734,2387,2347,9137,4732,4405,4258,2123,2135,6655,3507,3148,65192,31048,34144,63080,29994,33086,31778,15571,16207,21972,10486,11486,21796,10312,11484,12657,5689,6968,4734,2387,2347,4973,2649,2324,5271,2628,2643,5012,2575,2437,19990,9751,10239,4794,2510,2284,5834,2838,2996,5519,2643,2876,5399,2516,2883,5220,2489,2731,5522,2558,2964,5248,2517,2731,5767,2729,3038,5259,2508,2751,48562,25254,23308,4182,1915,2267,3543,1674,1869,2374,1110,1264,1409,621,788,1149,369,780,39.2,37.9,40.4
50,1,1053,Alabama,Escambia County,2019,36633,18425,18208,2202,1089,1113,4192,2108,2084,1832,904,928,2808,1476,1332,29350,14792,14558,28407,14324,14083,13644,7376,6268,9451,5222,4229,9457,4813,4644,6691,2813,3878,2202,1089,1113,2314,1165,1149,2325,1169,1156,2148,1057,1091,8989,4509,4480,2045,1097,948,2673,1455,1218,2300,1323,977,2270,1236,1034,2208,1208,1000,2422,1310,1112,2253,1196,1057,2507,1240,1267,2275,1067,1208,20953,9821,11132,2056,943,1113,1741,755,986,1336,547,789,864,351,513,694,217,477,40.1,38.7,42.2
50,1,1055,Alabama,Etowah County,2019,102268,49496,52772,5964,3069,2895,10782,5542,5240,5030,2569,2461,8453,4374,4079,83096,39639,43457,80492,38316,42176,36806,18238,18568,24555,11934,12621,27688,13380,14308,19796,8628,11168,5964,3069,2895,5936,3091,2845,6078,3090,2988,6127,3162,2965,24105,11693,12412,6124,3142,2982,6679,3321,3358,5785,2790,2995,6091,2948,3143,6000,2875,3125,7021,3403,3618,6755,3310,3445,6907,3315,3592,7005,3352,3653,58367,29911,28456,6414,2960,3454,5459,2486,2973,3598,1567,2031,2343,957,1386,1982,658,1324,42,40.2,43.5
50,1,1057,Alabama,Fayette County,2019,16302,7937,8365,902,447,455,1750,894,856,781,399,382,1246,657,589,13247,6396,6851,12869,6197,6672,5496,2779,2717,3672,1830,1842,4406,2158,2248,3545,1552,1993,902,447,455,956,475,481,997,526,471,912,468,444,3767,1851,1916,912,481,431,997,502,495,873,424,449,889,450,439,913,454,459,1053,514,539,1009,495,514,1190,610,580,1154,539,615,8990,4521,4469,1119,517,602,924,408,516,707,310,397,470,205,265,325,112,213,43.9,42.1,45.6
50,1,1059,Alabama,Franklin County,2019,31362,15782,15580,2127,1079,1048,3901,1989,1912,1744,916,828,2482,1320,1162,24445,12248,12197,23590,11798,11792,11458,6001,5457,7683,4008,3675,8051,4075,3976,5374,2395,2979,2127,1079,1048,2167,1115,1052,2185,1117,1068,2009,1052,957,8488,4125,4363,1766,941,825,2043,1072,971,1922,1015,907,1836,953,883,1882,968,914,2170,1126,1044,1954,1001,953,2007,996,1011,1920,952,968,17500,8476,9024,1696,769,927,1399,681,718,999,423,576,693,296,397,587,226,361,39,37.7,40.5
50,1,1061,Alabama,Geneva County,2019,26271,12827,13444,1430,721,709,2925,1486,1439,1412,736,676,1808,929,879,21234,10278,10956,20504,9884,10620,8881,4441,4440,6020,2953,3067,7256,3566,3690,5420,2436,2984,1430,721,709,1561,784,777,1723,879,844,1618,846,772,6332,3102,3230,1243,642,601,1505,750,755,1518,743,775,1471,702,769,1526,758,768,1681,807,874,1807,925,882,1837,902,935,1931,932,999,14519,7358,7161,1651,810,841,1453,698,755,1055,468,587,669,245,424,592,215,377,43.5,42.3,44.7
50,1,1063,Alabama,Greene County,2019,8111,3829,4282,466,247,219,893,446,447,409,203,206,605,310,295,6553,3031,3522,6343,2933,3410,2691,1328,1363,1773,864,909,2075,941,1134,1890,818,1072,466,247,219,480,250,230,509,245,264,472,233,239,1927,952,975,446,231,215,521,270,251,419,206,213,433,195,238,400,193,207,410,195,215,467,204,263,563,256,307,635,286,349,4294,2258,2036,653,302,351,462,198,264,320,144,176,211,96,115,244,78,166,44,40.9,47
50,1,1065,Alabama,Hale County,2019,14651,6950,7701,990,525,465,1658,853,805,724,375,349,1220,577,643,11627,5382,6245,11279,5197,6082,5138,2441,2697,3389,1593,1796,3785,1757,2028,2885,1270,1615,990,525,465,906,462,444,947,495,452,872,441,431,3715,1792,1923,877,407,470,956,475,481,803,391,412,848,379,469,782,348,434,784,372,412,883,382,501,1080,508,572,1038,495,543,8051,4294,3757,917,443,474,740,359,381,529,242,287,337,122,215,362,104,258,40.8,38.8,42.4
50,1,1067,Alabama,Henry County,2019,17205,8309,8896,896,474,422,1729,877,852,883,468,415,1180,617,563,14138,6711,7427,13697,6490,7207,5703,2848,2855,3861,1880,1981,4625,2228,2397,4031,1765,2266,896,474,422,925,475,450,1025,519,506,997,519,478,3843,1856,1987,845,449,396,929,467,462,888,418,470,1014,490,524,1030,505,525,1137,563,574,1111,540,571,1137,531,606,1240,594,646,9331,4774,4557,1287,562,725,1126,543,583,704,322,382,482,215,267,432,123,309,45.3,43.3,46.8
50,1,1069,Alabama,Houston County,2019,105882,50628,55254,6631,3425,3206,12059,6253,5806,5598,2874,2724,8137,4099,4038,84435,39495,44940,81594,38076,43518,39291,19003,20288,26883,12730,14153,27390,13020,14370,19184,8227,10957,6631,3425,3206,6568,3422,3146,6818,3531,3287,6603,3393,3210,26620,12849,13771,5805,2880,2925,7137,3372,3765,6662,3146,3516,6748,3262,3486,6336,2950,3386,6717,3195,3522,6568,3165,3403,7273,3410,3863,6832,3250,3582,60078,31448,28630,6041,2709,3332,5168,2348,2820,3502,1519,1983,2353,939,1414,2120,712,1408,40,38.3,41.6
50,1,1071,Alabama,Jackson County,2019,51626,25367,26259,2777,1445,1332,5262,2754,2508,2644,1356,1288,3832,1986,1846,42247,20467,21780,40943,19812,21131,17824,8877,8947,12009,5887,6122,14511,7207,7304,10591,4732,5859,2777,1445,1332,2816,1465,1351,3107,1641,1466,3075,1578,1497,11775,5646,6129,2740,1412,1328,3203,1593,1610,2731,1381,1350,2923,1392,1531,3152,1521,1631,3484,1785,1699,3372,1684,1688,3765,1830,1935,3890,1908,1982,29260,14754,14506,3376,1616,1760,2859,1291,1568,2039,935,1104,1321,551,770,996,339,657,44,42.7,45.1
50,1,1073,Alabama,Jefferson County,2019,658573,311232,347341,42323,21480,20843,75234,38414,36820,32293,16305,15988,57723,28216,29507,524709,243100,281609,508723,235033,273690,261683,126078,135605,179816,85661,94155,163855,76481,87374,107329,44675,62654,42323,21480,20843,41498,21283,20215,41885,21235,20650,40712,20323,20389,166418,82097,84321,41155,20094,21061,49542,23993,25549,46758,22270,24488,43602,20591,23011,39914,18807,21107,39930,19045,20885,38601,18235,20366,42852,19985,22867,42472,19216,23256,384826,202590,182236,36582,16369,20213,27095,12044,15051,18020,7442,10578,12222,4592,7630,13410,4228,9182,37.9,36.2,39.4
50,1,1075,Alabama,Lamar County,2019,13805,6760,7045,784,401,383,1453,750,703,715,361,354,971,516,455,11215,5441,5774,10853,5248,5605,4561,2276,2285,3050,1484,1566,3772,1877,1895,3060,1371,1689,784,401,383,754,378,376,874,457,417,811,435,376,3223,1552,1671,700,357,343,777,378,399,721,351,370,728,354,374,824,401,423,907,457,450,875,433,442,978,499,479,1012,488,524,7522,3804,3718,843,422,421,803,373,430,605,280,325,450,183,267,359,113,246,44.6,43.5,45.7
50,1,1077,Alabama,Lauderdale County,2019,92729,44490,48239,4732,2430,2302,9025,4591,4434,4289,2176,2113,10539,5087,5452,76807,36405,40402,74683,35293,39390,34823,17217,17606,21061,10469,10592,24076,11475,12601,19007,8262,10745,4732,2430,2302,4804,2486,2318,5287,2620,2667,6074,3049,3025,20897,10312,10585,7688,3699,3989,6022,3056,2966,5095,2561,2534,5170,2521,2649,4774,2331,2443,5580,2712,2868,5775,2784,2991,6301,3015,3286,6420,2964,3456,52825,27182,25643,5810,2728,3082,5084,2295,2789,3634,1568,2066,2347,945,1402,2132,726,1406,41.6,39.6,43.5
50,1,1079,Alabama,Lawrence County,2019,32924,16034,16890,1834,965,869,3611,1811,1800,1648,860,788,2404,1213,1191,26642,12822,13820,25831,12398,13433,11283,5624,5659,7659,3772,3887,9481,4586,4895,6287,2827,3460,1834,965,869,1896,953,943,2143,1079,1064,1910,991,919,7783,3795,3988,1714,861,853,2096,1032,1064,1879,917,962,1854,912,942,1830,911,919,2200,1066,1134,2437,1223,1214,2571,1221,1350,2273,1076,1197,18854,9635,9219,1961,931,1030,1737,804,933,1268,569,699,735,327,408,586,196,390,43,41.7,44.5
50,1,1081,Alabama,Lee County,2019,164542,80840,83702,9572,4869,4703,17508,9011,8497,7641,3916,3725,28964,14904,14060,133571,64971,68600,129821,63044,66777,77702,38815,38887,43103,21042,22061,37342,17949,19393,20412,9149,11263,9572,4869,4703,9519,4953,4566,9995,5105,4890,13266,6574,6692,42352,20851,21501,21333,11199,10134,12572,6273,6299,10536,5157,5379,10466,5019,5447,9529,4593,4936,9828,4673,5155,9279,4536,4743,9607,4658,4949,8628,4082,4546,101778,51588,50190,7027,3215,3812,5651,2644,3007,3625,1634,1991,2251,989,1262,1858,667,1191,32.8,31.3,34.3
