state,state code,cases (as of 06/21),deaths,votes gop,votes dem,total votes,% GOP,% DEM,% Votes,Lean,land area (sq/mi),pop/sqmi,POP tot,POP MALE,POP FEM,0-19 tot,0-19 tot f,0-19 tot m,20-64tot,20-64f,20-64m,65+ tot,65+ m,65+ f,"Persons 19 and over, percent","White alone, percent","Black or African American alone, percent",Native american or native hawaiian / pacific islander / alaska native / other,"Asian alone, percent","Two or More Races, percent","Hispanic or Latino, percent","Vetran, percent",Persons per household,"High school graduate or higher, percent of persons age 25 years+ ","Bachelor's degree or higher, percent of persons age 25 years+ ","With a disability, under age 65 years, percent ",Persons  without health insurance,"In civilian labor force, total, percent of population age 16 years+, 2014-2018","Persons in poverty, percent",voting age,total votes,missing voters,land area (sq/mi),pop/sqmi,total facilities
Tennessee,47,850276,12396,1849820,1139376,3049514,60.66%,37.36%,98.02%,RIGHT,41191,151.1872723,6829174,3332239,3496935,1677566,821077,856489,4008215,2038884,1969331,1143393,506419,636974,77.90%,78.40%,17.10%,0.60%,2.00%,2.00%,5.70%,6.37%,2.53,87.00%,26.60%,11.10%,12.10%,60.90%,13.90%,5151608,3049514,2102094,41191,165.79,153
Virginia,51,677425,11270,99,15470,17561,0.56%,88.09%,88.66%,LEFT,134.5,791.2,106405,50854,55551,29694,14650,15044,59053,33130,29843,14384,6613,7771,78.20%,69.40%,19.90%,0.60%,6.90%,3.20%,9.80%,8.02%,2.61,89.30%,38.20%,8.00%,9.30%,64.20%,9.90%,6448093,4460524,1987569,39369.1,216.81,166
Alabama,1,547135,11252,1441170,849624,2323282,62.03%,36.57%,98.60%,RIGHT,50645.33,92.39857341,4903185,2369517,2533668,1216438,597492,618946,2836910,1457490,1379420,849837,371151,478686,77.80%,69.10%,26.80%,0.80%,1.50%,1.80%,4.60%,6.84%,2.55,85.80%,24.90%,11.60%,11.70%,57.10%,15.50%,3686747,2323282,1363465,50645.7,96.81,143
Louisiana,22,475126,10638,1255776,856034,2148062,58.46%,39.85%,98.31%,RIGHT,51335,122.4485127,4648794,2267050,2381744,1203265,590260,613005,2704507,1376084,1328423,741022,325622,415400,76.60%,62.80%,32.80%,0.90%,1.80%,1.80%,5.30%,5.39%,2.61,84.80%,23.70%,11.00%,10.50%,59.30%,19.00%,3445529,2148062,1297467,51335,90.56,149
Missouri,29,620295,9789,1717912,1253561,3029586,56.70%,41.38%,98.08%,RIGHT,68846.9,131.8384355,6137428,3012662,3124766,1527291,745447,781844,3548100,1787637,1760463,1062037,470355,591682,77.70%,82.90%,11.80%,0.80%,2.20%,2.40%,4.40%,6.73%,2.47,89.60%,28.60%,10.40%,12.00%,62.60%,12.90%,4610137,3029586,1580551,68846.9,89.15,149
South Carolina,45,594659,9761,1385103,1091541,2513329,55.11%,43.43%,98.54%,RIGHT,31452.55,148.0085505,5148714,2493139,2655575,1247839,612160,635679,2963852,1523031,1440821,937023,416639,520384,78.40%,68.60%,27.00%,0.60%,1.80%,2.00%,6.00%,7.13%,2.54,87.10%,27.40%,10.40%,13.20%,59.70%,13.80%,3900875,2513329,1387546,31452.6,163.7,88
Maryland,24,461201,9667,976414,1985023,3016608,32.37%,65.80%,98.17%,LEFT,11811,522.4027293,6045680,2928865,3116815,1489721,730290,759431,3596563,1842075,1754488,959396,414946,544450,77.90%,58.50%,31.10%,0.70%,6.70%,2.90%,10.60%,6.16%,2.67,90.00%,39.60%,7.50%,6.90%,67.20%,9.00%,4555959,3016608,1539351,11811,511.87,76
Connecticut,9,348319,8260,715291,1080680,1824317,39.21%,59.24%,98.45%,LEFT,4846,719.8338791,3565287,1739417,1825870,829582,406661,422921,2105461,1064967,1040494,630244,276002,354242,79.60%,79.70%,12.20%,0.70%,5.00%,2.50%,16.90%,4.88%,2.54,90.50%,38.90%,7.30%,7.00%,66.20%,10.00%,2735705,1824317,911388,4846,735.72,33
Wisconsin,55,676178,8007,1610151,1630716,3297434,48.83%,49.45%,98.28%,LEFT,54157.87,166.4851733,5822434,2897209,2925225,1422095,695351,726744,3383096,1677985,1705111,1017243,465354,551889,78.20%,87.00%,6.70%,1.30%,3.00%,2.00%,7.10%,5.89%,2.4,91.90%,29.50%,8.20%,6.80%,66.60%,10.40%,4400339,3297434,1102905,54158.4,107.51,154
Minnesota,27,603398,7577,1484065,1717077,3277170,45.28%,52.40%,97.68%,LEFT,79610.09,138.9958581,5639632,2809811,2829821,1445346,707228,738118,3273904,1621416,1652488,920382,419205,501177,76.90%,83.80%,7.00%,1.50%,5.20%,2.60%,5.60%,5.50%,2.49,93.00%,35.40%,7.30%,5.80%,69.70%,9.00%,4194286,3277170,917116,79610.3,70.84,128
Mississippi,28,318879,7348,756731,539494,1315240,57.54%,41.02%,98.55%,RIGHT,46915,62.51881511,2976149,1442292,1533857,780487,382911,397576,1708969,876139,832830,486693,211886,274807,76.50%,59.10%,37.80%,0.70%,1.10%,1.30%,3.40%,5.68%,2.62,83.90%,21.80%,11.80%,15.40%,57.00%,19.60%,2195662,1315240,880422,46915,63.44,124
Oklahoma,40,454216,7325,1020280,503890,1560699,65.37%,32.29%,97.66%,RIGHT,68678,72.75148689,3956971,1960658,1996313,1058495,516302,542193,2263344,1128961,1134383,635132,284082,351050,75.90%,74.00%,7.80%,9.60%,2.40%,6.30%,11.10%,6.92%,2.58,87.80%,25.20%,11.50%,16.80%,60.70%,15.20%,2898476,1560699,1337777,68678,57.62,145
Kentucky,21,462901,7182,1326646,772474,2136768,62.09%,36.15%,98.24%,RIGHT,39733,120.3280504,4467673,2201029,2266644,1118934,545344,573590,2598175,1303909,1294266,750564,333173,417391,77.60%,87.50%,8.50%,0.40%,1.60%,2.00%,3.90%,6.13%,2.49,85.70%,23.60%,13.10%,7.70%,58.90%,16.30%,3348739,2136768,1211971,39733,112.44,136
Colorado,8,552118,6806,1364467,1804184,3256633,41.90%,55.40%,97.30%,LEFT,104095.97,173.2661596,5758736,2901348,2857388,1407971,687142,720829,3508353,1714609,1793744,842412,386775,455637,78.10%,86.90%,4.60%,1.80%,3.50%,3.10%,21.80%,6.52%,2.56,91.40%,40.10%,7.30%,9.30%,67.60%,9.30%,4350765,3256633,1094132,104096.3,55.32,124
Iowa,19,372333,6095,897467,758881,1688310,53.16%,44.95%,98.11%,RIGHT,55861,55.11871112,3155070,1571075,1583995,816335,398544,417791,1785781,881281,904500,552954,248784,304170,77.00%,90.60%,4.10%,0.70%,2.70%,2.00%,6.30%,5.99%,2.41,92.00%,28.20%,7.80%,6.00%,67.40%,11.20%,2338735,1688310,650425,55861,56.48,122
Arkansas,5,343216,5856,760613,423916,1219014,62.40%,34.78%,97.17%,RIGHT,53179.05,54.3614166,3017804,1481616,1536188,778928,379913,399015,1714994,865931,849063,523882,233538,290344,76.80%,79.00%,15.70%,1.40%,1.70%,2.20%,7.80%,6.71%,2.52,86.20%,22.60%,12.50%,10.90%,57.90%,16.20%,2238876,1219014,1019862,53179.5,56.75,96
