State,FIPS,total facilities
Virginia,51001,1
Virginia,51003,1
Virginia,51009,3
Virginia,51013,1
Virginia,51015,5
Virginia,51019,1
Virginia,51021,1
Virginia,51023,1
Virginia,51025,4
Virginia,51027,1
Virginia,51029,3
Virginia,51031,2
Virginia,51033,3
Virginia,51037,1
Virginia,51041,4
Virginia,51043,1
Virginia,51047,3
Virginia,51051,1
Virginia,51053,1
Virginia,51059,1
Virginia,51061,1
Virginia,51065,2
Virginia,51067,1
Virginia,51069,3
Virginia,51073,1
Virginia,51075,4
Virginia,51077,1
Virginia,51081,2
Virginia,51083,3
Virginia,51085,1
Virginia,51087,2
Virginia,51089,2
Virginia,51095,1
Virginia,51103,1
Virginia,51105,2
Virginia,51107,1
Virginia,51111,1
Virginia,51113,1
Virginia,51117,3
Virginia,51119,1
Virginia,51121,1
Virginia,51127,1
Virginia,51131,1
Virginia,51135,2
Virginia,51137,1
Virginia,51139,1
Virginia,51141,1
Virginia,51143,4
Virginia,51145,4
Virginia,51147,2
Virginia,51149,6
Virginia,51153,1
Virginia,51155,1
Virginia,51157,2
Virginia,51159,3
Virginia,51161,1
Virginia,51163,1
Virginia,51165,3
Virginia,51167,2
Virginia,51169,1
Virginia,51171,1
Virginia,51173,2
Virginia,51175,5
Virginia,51179,3
Virginia,51183,4
Virginia,51185,3
Virginia,51187,1
Virginia,51191,1
Virginia,51195,3
Virginia,51510,1
Virginia,51515,1
Virginia,51520,1
Virginia,51550,4
Virginia,51580,1
Virginia,51590,2
Virginia,51620,1
Virginia,51650,1
Virginia,51660,1
Virginia,51680,1
Virginia,51690,2
Virginia,51700,3
Virginia,51710,3
Virginia,51730,1
Virginia,51740,2
Virginia,51760,1
Virginia,51770,1
Virginia,51775,1
Virginia,51800,1
Virginia,51810,2
