State,FIPS,total facilities
South Dakota,46005,1
South Dakota,46009,2
South Dakota,46011,1
South Dakota,46013,1
South Dakota,46015,1
South Dakota,46023,1
South Dakota,46027,1
South Dakota,46029,1
South Dakota,46033,3
South Dakota,46035,1
South Dakota,46037,1
South Dakota,46045,1
South Dakota,46047,1
South Dakota,46049,1
South Dakota,46051,1
South Dakota,46065,1
South Dakota,46079,1
South Dakota,46081,1
South Dakota,46091,1
South Dakota,46093,1
South Dakota,46099,5
South Dakota,46103,6
South Dakota,46109,1
South Dakota,46121,1
South Dakota,46123,1
South Dakota,46127,1
South Dakota,46129,1
South Dakota,46135,5
