state,county,fips,POP tot,land area (sq/mi),pop/sqmi
Louisiana,Acadia,22001,62045,658,94.3
Louisiana,Allen,22003,25627,766,33.5
Louisiana,Ascension,22005,126604,303,417.8
Louisiana,Assumption,22007,21891,364,60.1
Louisiana,Avoyelles,22009,40144,866,46.4
Louisiana,Beauregard,22011,37497,1166,32.2
Louisiana,Bienville,22013,13241,822,16.1
Louisiana,Bossier,22015,127039,867,146.5
Louisiana,Caddo,22017,240204,937,256.4
Louisiana,Calcasieu,22019,203436,1094,186
Louisiana,Caldwell,22021,9918,541,18.3
Louisiana,Cameron,22023,6973,1932,3.6
Louisiana,Catahoula,22025,9494,739,12.8
Louisiana,Claiborne,22027,15670,768,20.4
Louisiana,Concordia,22029,19259,749,25.7
Louisiana,De Soto,22031,27463,895,30.7
Louisiana,East Baton Rouge,22033,440059,471,934.3
Louisiana,East Carroll,22035,6861,442,15.5
Louisiana,East Feliciana,22037,19135,456,42
Louisiana,Evangeline,22039,33395,680,49.1
Louisiana,Franklin,22041,20015,636,31.5
Louisiana,Grant,22043,22389,664,33.7
Louisiana,Iberia,22045,69830,1031,67.7
Louisiana,Iberville,22047,32511,653,49.8
Louisiana,Jackson,22049,15744,580,27.1
Louisiana,Jefferson,22051,432493,642,673.7
Louisiana,Jefferson Davis,22053,31368,659,47.6
Louisiana,Lafayette,22055,244390,270,905.1
Louisiana,Lafourche,22057,97614,1472,66.3
Louisiana,LaSalle,22059,14892,663,22.5
Louisiana,Lincoln,22061,46742,472,99
Louisiana,Livingston,22063,140789,703,200.3
Louisiana,Madison,22065,10951,651,16.8
Louisiana,Morehouse,22067,24874,805,30.9
Louisiana,Natchitoches,22069,38158,1299,29.4
Louisiana,Orleans,22071,390144,350,1114.7
Louisiana,Ouachita,22073,153279,633,242.1
Louisiana,Plaquemines,22075,23197,2429,9.6
Louisiana,Pointe Coupee,22077,21730,591,36.8
Louisiana,Rapides,22079,129648,1362,95.2
Louisiana,Red River,22081,8442,402,21
Louisiana,Richland,22083,20122,564,35.7
Louisiana,Sabine,22085,23884,1012,23.6
Louisiana,St. Bernard,22087,47244,1794,26.3
Louisiana,St. Charles,22089,53100,410,129.5
Louisiana,St. Helena,22091,10132,409,24.8
Louisiana,St. James,22093,21096,258,81.8
Louisiana,St. John the Baptist,22095,42837,348,123.1
Louisiana,St. Landry,22097,82124,939,87.5
Louisiana,St. Martin,22099,53431,817,65.4
Louisiana,St. Mary,22101,49348,612,80.6
Louisiana,St. Tammany,22103,260419,1124,231.7
Louisiana,Tangipahoa,22105,134758,823,163.7
Louisiana,Tensas,22107,4334,641,6.8
Louisiana,Terrebonne,22109,110461,2080,53.1
Louisiana,Union,22111,22108,905,24.4
Louisiana,Vermilion,22113,59511,1538,38.7
Louisiana,Vernon,22115,47429,1341,35.4
Louisiana,Washington,22117,46194,676,68.3
Louisiana,Webster,22119,38340,615,62.3
Louisiana,West Baton Rouge,22121,26465,203,130.4
Louisiana,West Carroll,22123,10830,360,30.1
Louisiana,West Feliciana,22125,15568,426,36.5
Louisiana,Winn,22127,13904,957,14.5
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
