SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,POPESTIMATE,POPEST_MALE,POPEST_FEM,UNDER5_TOT,UNDER5_MALE,UNDER5_FEM,AGE513_TOT,AGE513_MALE,AGE513_FEM,AGE1417_TOT,AGE1417_MALE,AGE1417_FEM,AGE1824_TOT,AGE1824_MALE,AGE1824_FEM,AGE16PLUS_TOT,AGE16PLUS_MALE,AGE16PLUS_FEM,AGE18PLUS_TOT,AGE18PLUS_MALE,AGE18PLUS_FEM,AGE1544_TOT,AGE1544_MALE,AGE1544_FEM,AGE2544_TOT,AGE2544_MALE,AGE2544_FEM,AGE4564_TOT,AGE4564_MALE,AGE4564_FEM,AGE65PLUS_TOT,AGE65PLUS_MALE,AGE65PLUS_FEM,AGE04_TOT,AGE04_MALE,AGE04_FEM,AGE59_TOT,AGE59_MALE,AGE59_FEM,AGE1014_TOT,AGE1014_MALE,AGE1014_FEM,AGE1519_TOT,AGE1519_MALE,AGE1519_FEM,AGE2024_TOT,AGE2024_MALE,AGE2024_FEM,AGE2529_TOT,AGE2529_MALE,AGE2529_FEM,AGE3034_TOT,AGE3034_MALE,AGE3034_FEM,AGE3539_TOT,AGE3539_MALE,AGE3539_FEM,AGE4044_TOT,AGE4044_MALE,AGE4044_FEM,AGE4549_TOT,AGE4549_MALE,AGE4549_FEM,AGE5054_TOT,AGE5054_MALE,AGE5054_FEM,AGE5559_TOT,AGE5559_MALE,AGE5559_FEM,AGE6064_TOT,AGE6064_MALE,AGE6064_FEM,AGE6569_TOT,AGE6569_MALE,AGE6569_FEM,AGE7074_TOT,AGE7074_MALE,AGE7074_FEM,AGE7579_TOT,AGE7579_MALE,AGE7579_FEM,AGE8084_TOT,AGE8084_MALE,AGE8084_FEM,AGE85PLUS_TOT,AGE85PLUS_MALE,AGE85PLUS_FEM,MEDIAN_AGE_TOT,MEDIAN_AGE_MALE,MEDIAN_AGE_FEM
50,15,15001,Hawaii,Hawaii County,12,201513,99648,101865,11472,5856,5616,22368,11414,10954,9361,4795,4566,13931,6897,7034,162953,79992,82961,158312,77583,80729,68839,34198,34641,47932,23730,24202,52408,25629,26779,44041,21327,22714,11472,5856,5616,12605,6415,6190,12148,6223,5925,11086,5640,5446,9821,4828,4993,11492,5727,5765,12100,5949,6151,12627,6233,6394,11713,5821,5892,11414,5674,5740,11542,5621,5921,13689,6590,7099,15763,7744,8019,15951,7950,8001,11890,6079,5811,6978,3505,3473,4033,1820,2213,5189,1973,3216,43.1,42.5,43.7
50,15,15003,Hawaii,Honolulu County,12,974563,489568,484995,59882,30763,29119,102805,52838,49967,42184,21586,20598,88878,49578,39300,790447,395043,395404,769692,384381,385311,392903,207566,185337,272471,141821,130650,230675,114490,116185,177668,78492,99176,59882,30763,29119,59153,30405,28748,54282,27852,26430,53055,27578,25477,67377,38167,29210,76218,40957,35261,70841,36986,33855,67432,34453,32979,57980,29425,28555,57870,29190,28680,56842,28281,28561,59438,29589,29849,56525,27430,29095,51144,24276,26868,44531,20764,23767,30733,13937,16796,20680,8638,12042,30580,10877,19703,38.4,36.7,40.2
50,15,15007,Hawaii,Kauai County,12,72293,35697,36596,4229,2131,2098,8002,4127,3875,3431,1798,1633,4863,2488,2375,58308,28526,29782,56631,27641,28990,25340,12829,12511,17919,8996,8923,18898,9292,9606,14951,6865,8086,4229,2131,2098,4490,2327,2163,4385,2253,2132,3926,2054,1872,3495,1779,1716,4325,2199,2126,4388,2188,2200,4933,2471,2462,4273,2138,2135,4335,2165,2170,4465,2206,2259,4956,2425,2531,5142,2496,2646,5065,2477,2588,4025,1983,2042,2451,1144,1307,1391,571,820,2019,690,1329,42.2,41,43.5
50,15,15009,Hawaii,Maui County,12,167417,83086,84331,9636,5032,4604,18543,9581,8962,7955,4066,3889,11202,5533,5669,135220,66426,68794,131283,64407,66876,60640,30268,30372,43463,21662,21801,44869,22297,22572,31749,14915,16834,9636,5032,4604,10462,5513,4949,10061,5061,5000,9220,4713,4507,7957,3893,4064,9829,4867,4962,10797,5249,5548,11873,5989,5884,10964,5557,5407,10509,5352,5157,10756,5331,5425,11865,5847,6018,11739,5767,5972,10863,5344,5519,8607,4295,4312,5335,2532,2803,3077,1297,1780,3867,1447,2420,41.7,41,42.4
