state,county,fips,POP tot,0-19 tot,20-64tot,65+ tot,voting age
Nevada,Churchill,32001,24909,6225,13925,4759,18684
Nevada,Clark,32003,2266715,570915,1353141,342659,1695800
Nevada,Douglas,32005,48905,8657,25747,14501,40248
Nevada,Elko,32007,52778,15622,30936,6220,37156
Nevada,Esmeralda,32009,873,133,428,312,740
Nevada,Eureka,32011,2029,528,1169,332,1501
Nevada,Humboldt,32013,16831,4906,9498,2427,11925
Nevada,Lander,32015,5532,1569,3078,885,3963
Nevada,Lincoln,32017,5183,1157,2715,1311,4026
Nevada,Lyon,32019,57510,13384,31935,12191,44126
Nevada,Mineral,32021,4505,958,2402,1145,3547
Nevada,Nye,32023,46523,8488,23939,14096,38035
Nevada,Pershing,32027,6725,1223,4399,1103,5502
Nevada,Storey,32029,4123,559,2237,1327,3564
Nevada,Washoe,32031,471519,111375,280767,79377,360144
Nevada,White Pine,32033,9580,2126,5700,1754,7454
Nevada,Carson City,32510,55916,12447,31896,11573,43469
