state,county,fips,POP tot,0-19 tot,20-64tot,65+ tot,voting age
South Carolina,Abbeville,45001,24527,5578,13466,5483,18949
South Carolina,Aiken,45003,170872,40516,96364,33992,130356
South Carolina,Allendale,45005,8688,1828,5042,1818,6860
South Carolina,Anderson,45007,202558,50879,114553,37126,151679
South Carolina,Bamberg,45009,14066,3276,7638,3152,10790
South Carolina,Barnwell,45011,20866,5431,11491,3944,15435
South Carolina,Beaufort,45013,192122,40343,97971,53808,151779
South Carolina,Berkeley,45015,227907,60170,135461,32276,167737
South Carolina,Calhoun,45017,14553,3008,8062,3483,11545
South Carolina,Charleston,45019,411406,90454,251126,69826,320952
South Carolina,Cherokee,45021,57300,14743,32751,9806,42557
South Carolina,Chester,45023,32244,7893,18167,6184,24351
South Carolina,Chesterfield,45025,45650,10997,25968,8685,34653
South Carolina,Clarendon,45027,33745,7203,18384,8158,26542
South Carolina,Colleton,45029,37677,9268,20606,7803,28409
South Carolina,Darlington,45031,66618,16376,37251,12991,50242
South Carolina,Dillon,45033,30479,8405,16846,5228,22074
South Carolina,Dorchester,45035,162809,42943,96222,23644,119866
South Carolina,Edgefield,45037,27260,5446,16512,5302,21814
South Carolina,Fairfield,45039,22347,4695,12639,5013,17652
South Carolina,Florence,45041,138293,35791,78440,24062,102502
South Carolina,Georgetown,45043,62680,12464,32276,17940,50216
South Carolina,Greenville,45045,523542,132613,306401,84528,390929
South Carolina,Greenwood,45047,70811,18070,39392,13349,52741
South Carolina,Hampton,45049,19222,4493,11120,3609,14729
South Carolina,Horry,45051,354081,70045,195227,88809,284036
South Carolina,Jasper,45053,30073,6539,17482,6052,23534
South Carolina,Kershaw,45055,66551,16787,37327,12437,49764
South Carolina,Lancaster,45057,98012,22861,54138,21013,75151
South Carolina,Laurens,45059,67493,16526,38273,12694,50967
South Carolina,Lee,45061,16828,3735,9783,3310,13093
South Carolina,Lexington,45063,298750,75152,175148,48450,223598
South Carolina,McCormick,45065,9463,1171,4921,3371,8292
South Carolina,Marion,45067,30657,7579,16726,6352,23078
South Carolina,Marlboro,45069,26118,5719,15538,4861,20399
South Carolina,Newberry,45071,38440,9462,21183,7795,28978
South Carolina,Oconee,45073,79546,17291,43512,18743,62255
South Carolina,Orangeburg,45075,86175,21554,47061,17560,64621
South Carolina,Pickens,45077,126884,31097,74547,21240,95787
South Carolina,Richland,45079,415759,106620,254282,54857,309139
South Carolina,Saluda,45081,20473,4757,11560,4156,15716
South Carolina,Spartanburg,45083,319785,82359,184939,52487,237426
South Carolina,Sumter,45085,106721,28006,60727,17988,78715
South Carolina,Union,45087,27316,6314,15370,5632,21002
South Carolina,Williamsburg,45089,30368,6897,16867,6604,23471
South Carolina,York,45091,280979,74485,165092,41402,206494
