State,FIPS,total facilities
Washington,53001,1
Washington,53003,1
Washington,53005,2
Washington,53007,2
Washington,53009,5
Washington,53011,3
Washington,53013,1
Washington,53015,3
Washington,53019,1
Washington,53021,2
Washington,53025,2
Washington,53027,4
Washington,53029,2
Washington,53031,2
Washington,53033,17
Washington,53035,2
Washington,53037,1
Washington,53039,2
Washington,53041,1
Washington,53043,3
Washington,53045,3
Washington,53047,2
Washington,53049,1
Washington,53051,1
Washington,53053,10
Washington,53057,1
Washington,53059,1
Washington,53061,5
Washington,53063,7
Washington,53065,1
Washington,53067,4
Washington,53069,1
Washington,53071,2
Washington,53073,2
Washington,53075,1
Washington,53077,9
