state,county,fips,POP tot,0-19 tot,20-64tot,65+ tot,voting age
Mississippi,Adams,28001,30693,6691,17997,6005,24002
Mississippi,Alcorn,28003,36953,9130,20858,6965,27823
Mississippi,Amite,28005,12297,2731,6599,2967,9566
Mississippi,Attala,28007,18174,4964,9673,3537,13210
Mississippi,Benton,28009,8259,1941,4752,1566,6318
Mississippi,Bolivar,28011,30628,8406,17225,4997,22222
Mississippi,Calhoun,28013,14361,3628,7936,2797,10733
Mississippi,Carroll,28015,9947,2023,5512,2412,7924
Mississippi,Chickasaw,28017,17103,4683,9419,3001,12420
Mississippi,Choctaw,28019,8210,1925,4456,1829,6285
Mississippi,Claiborne,28021,8988,2511,4978,1499,6477
Mississippi,Clarke,28023,15541,3771,8531,3239,11770
Mississippi,Clay,28025,19316,4771,10896,3649,14545
Mississippi,Coahoma,28027,22124,6681,11902,3541,15443
Mississippi,Copiah,28029,28065,7337,15595,5133,20728
Mississippi,Covington,28031,18636,4978,10458,3200,13658
Mississippi,DeSoto,28033,184945,51710,108730,24505,133235
Mississippi,Forrest,28035,74897,20022,44463,10412,54875
Mississippi,Franklin,28037,7713,1928,4182,1603,5785
Mississippi,George,28039,24500,7042,13879,3579,17458
Mississippi,Greene,28041,13586,2893,8619,2074,10693
Mississippi,Grenada,28043,20758,5373,11624,3761,15385
Mississippi,Hancock,28045,47632,10437,27353,9842,37195
Mississippi,Harrison,28047,208080,55128,120871,32081,152952
Mississippi,Hinds,28049,231840,62721,134853,34266,169119
Mississippi,Holmes,28051,17010,4892,9448,2670,12118
Mississippi,Humphreys,28053,8064,2302,4334,1428,5762
Mississippi,Issaquena,28055,1327,198,908,221,1129
Mississippi,Itawamba,28057,23390,5949,13228,4213,17441
Mississippi,Jackson,28059,143617,36420,83740,23457,107197
Mississippi,Jasper,28061,16383,4000,8984,3399,12383
Mississippi,Jefferson,28063,6990,1710,4065,1215,5280
Mississippi,Jefferson Davis,28065,11128,2422,6136,2570,8706
Mississippi,Jones,28067,68098,19055,37216,11827,49043
Mississippi,Kemper,28069,9742,2292,5413,2037,7450
Mississippi,Lafayette,28071,54019,13564,33244,7211,40455
Mississippi,Lamar,28073,63343,16946,37301,9096,46397
Mississippi,Lauderdale,28075,74125,19219,41736,13170,54906
Mississippi,Lawrence,28077,12586,3386,6909,2291,9200
Mississippi,Leake,28079,22786,6292,12684,3810,16494
Mississippi,Lee,28081,85436,23267,49213,12956,62169
Mississippi,Leflore,28083,28183,8704,15329,4150,19479
Mississippi,Lincoln,28085,34153,8721,19469,5963,25432
Mississippi,Lowndes,28087,58595,15297,33763,9535,43298
Mississippi,Madison,28089,106272,29056,62492,14724,77216
Mississippi,Marion,28091,24573,6105,13715,4753,18468
Mississippi,Marshall,28093,35294,8285,20603,6406,27009
Mississippi,Monroe,28095,35252,8677,19621,6954,26575
Mississippi,Montgomery,28097,9775,2376,5231,2168,7399
Mississippi,Neshoba,28099,29118,8834,15602,4682,20284
Mississippi,Newton,28101,21018,5982,11451,3585,15036
Mississippi,Noxubee,28103,10417,2795,5889,1733,7622
Mississippi,Oktibbeha,28105,49587,12287,31347,5953,37300
Mississippi,Panola,28107,34192,9229,19379,5584,24963
Mississippi,Pearl River,28109,55535,14179,30755,10601,41356
Mississippi,Perry,28111,11973,2906,6832,2235,9067
Mississippi,Pike,28113,39288,11317,21058,6913,27971
Mississippi,Pontotoc,28115,32174,9234,18060,4880,22940
Mississippi,Prentiss,28117,25126,6330,14165,4631,18796
Mississippi,Quitman,28119,6792,1713,3848,1231,5079
Mississippi,Rankin,28121,155271,38683,92262,24326,116588
Mississippi,Scott,28123,28124,8125,15662,4337,19999
Mississippi,Sharkey,28125,4321,1170,2285,866,3151
Mississippi,Simpson,28127,26658,6837,14997,4824,19821
Mississippi,Smith,28129,15916,3984,8667,3265,11932
Mississippi,Stone,28131,18336,4738,10516,3082,13598
Mississippi,Sunflower,28133,25110,6200,15301,3609,18910
Mississippi,Tallahatchie,28135,13809,2995,8707,2107,10814
Mississippi,Tate,28137,28321,7574,15884,4863,20747
Mississippi,Tippah,28139,22015,5907,12387,3721,16108
Mississippi,Tishomingo,28141,19383,4564,10795,4024,14819
Mississippi,Tunica,28143,9632,3036,5357,1239,6596
Mississippi,Union,28145,28815,7859,16098,4858,20956
Mississippi,Walthall,28147,14286,3528,7912,2846,10758
Mississippi,Warren,28149,45381,11748,25807,7826,33633
Mississippi,Washington,28151,43909,12294,24291,7324,31615
Mississippi,Wayne,28153,20183,5365,11262,3556,14818
Mississippi,Webster,28155,9689,2496,5454,1739,7193
Mississippi,Wilkinson,28157,8630,1967,5127,1536,6663
Mississippi,Winston,28159,17955,4438,9837,3680,13517
Mississippi,Yalobusha,28161,12108,2917,6646,2545,9191
Mississippi,Yazoo,28163,29690,6696,19186,3808,22994
