State,FIPS,total facilities
South Carolina,45003,1
South Carolina,45005,2
South Carolina,45007,2
South Carolina,45009,1
South Carolina,45011,1
South Carolina,45013,1
South Carolina,45015,3
South Carolina,45019,3
South Carolina,45021,1
South Carolina,45023,1
South Carolina,45025,2
South Carolina,45027,3
South Carolina,45031,2
South Carolina,45033,1
South Carolina,45035,3
South Carolina,45037,4
South Carolina,45039,1
South Carolina,45041,2
South Carolina,45043,1
South Carolina,45045,2
South Carolina,45047,2
South Carolina,45049,3
South Carolina,45051,1
South Carolina,45053,3
South Carolina,45057,3
South Carolina,45059,1
South Carolina,45061,2
South Carolina,45063,1
South Carolina,45065,1
South Carolina,45069,4
South Carolina,45071,1
South Carolina,45073,2
South Carolina,45075,2
South Carolina,45077,2
South Carolina,45079,12
South Carolina,45083,5
South Carolina,45085,1
South Carolina,45087,1
South Carolina,45089,2
South Carolina,45091,2
