SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,POPESTIMATE,POPEST_MALE,POPEST_FEM,UNDER5_TOT,UNDER5_MALE,UNDER5_FEM,AGE513_TOT,AGE513_MALE,AGE513_FEM,AGE1417_TOT,AGE1417_MALE,AGE1417_FEM,AGE1824_TOT,AGE1824_MALE,AGE1824_FEM,AGE16PLUS_TOT,AGE16PLUS_MALE,AGE16PLUS_FEM,AGE18PLUS_TOT,AGE18PLUS_MALE,AGE18PLUS_FEM,AGE1544_TOT,AGE1544_MALE,AGE1544_FEM,AGE2544_TOT,AGE2544_MALE,AGE2544_FEM,AGE4564_TOT,AGE4564_MALE,AGE4564_FEM,AGE65PLUS_TOT,AGE65PLUS_MALE,AGE65PLUS_FEM,AGE04_TOT,AGE04_MALE,AGE04_FEM,AGE59_TOT,AGE59_MALE,AGE59_FEM,AGE1014_TOT,AGE1014_MALE,AGE1014_FEM,AGE1519_TOT,AGE1519_MALE,AGE1519_FEM,AGE2024_TOT,AGE2024_MALE,AGE2024_FEM,AGE2529_TOT,AGE2529_MALE,AGE2529_FEM,AGE3034_TOT,AGE3034_MALE,AGE3034_FEM,AGE3539_TOT,AGE3539_MALE,AGE3539_FEM,AGE4044_TOT,AGE4044_MALE,AGE4044_FEM,AGE4549_TOT,AGE4549_MALE,AGE4549_FEM,AGE5054_TOT,AGE5054_MALE,AGE5054_FEM,AGE5559_TOT,AGE5559_MALE,AGE5559_FEM,AGE6064_TOT,AGE6064_MALE,AGE6064_FEM,AGE6569_TOT,AGE6569_MALE,AGE6569_FEM,AGE7074_TOT,AGE7074_MALE,AGE7074_FEM,AGE7579_TOT,AGE7579_MALE,AGE7579_FEM,AGE8084_TOT,AGE8084_MALE,AGE8084_FEM,AGE85PLUS_TOT,AGE85PLUS_MALE,AGE85PLUS_FEM,MEDIAN_AGE_TOT,MEDIAN_AGE_MALE,MEDIAN_AGE_FEM
50,49,49001,Utah,Beaver County,12,6710,3408,3302,557,258,299,1090,565,525,529,275,254,590,306,284,4781,2429,2352,4534,2310,2224,2572,1311,1261,1589,817,772,1409,718,691,946,469,477,557,258,299,584,319,265,642,333,309,589,299,290,394,195,199,372,192,180,345,180,165,456,228,228,416,217,199,330,163,167,290,156,134,382,202,180,407,197,210,343,181,162,220,95,125,189,90,99,115,65,50,79,38,41,33.5,33.2,33.7
50,49,49003,Utah,Box Elder County,12,56046,28576,27470,4487,2378,2109,8984,4637,4347,3991,2098,1893,4952,2670,2282,40548,20511,20037,38584,19463,19121,22662,11673,10989,14748,7443,7305,11485,5747,5738,7399,3603,3796,4487,2378,2109,4792,2435,2357,5221,2740,2481,4447,2347,2100,3467,1883,1584,3684,1852,1832,3379,1689,1690,3986,2078,1908,3699,1824,1875,2853,1450,1403,2575,1272,1303,3117,1572,1545,2940,1453,1487,2506,1250,1256,1743,892,851,1324,633,691,1026,454,572,800,374,426,32.9,31.9,33.8
50,49,49005,Utah,Cache County,12,128289,64178,64111,10552,5300,5252,19500,9967,9533,8554,4316,4238,24223,11635,12588,93899,46738,47161,89683,44595,45088,63451,31952,31499,32867,17090,15777,20023,9892,10131,12570,5978,6592,10552,5300,5252,10871,5550,5321,10822,5506,5316,12079,5679,6400,18505,9183,9322,10592,5742,4850,7141,3693,3448,7876,4018,3858,7258,3637,3621,5681,2836,2845,4722,2426,2296,4965,2377,2588,4655,2253,2402,4174,2048,2126,3142,1530,1612,2280,1041,1239,1599,778,821,1375,581,794,25.5,25.6,25.4
50,49,49007,Utah,Carbon County,12,20463,10163,10300,1260,646,614,2737,1445,1292,1247,608,639,1919,954,965,15819,7749,8070,15219,7464,7755,7839,3882,3957,4998,2489,2509,4614,2282,2332,3688,1739,1949,1260,646,614,1461,792,669,1601,822,779,1575,762,813,1266,631,635,1227,642,585,1149,557,592,1368,671,697,1254,619,635,1069,534,535,943,462,481,1187,577,610,1415,709,706,1256,610,646,1014,510,504,602,284,318,420,190,230,396,145,251,37.6,36.8,38.3
50,49,49009,Utah,Daggett County,12,950,546,404,41,19,22,111,69,42,62,42,20,47,26,21,772,439,333,736,416,320,287,153,134,188,94,94,242,133,109,259,163,96,41,19,22,52,32,20,69,46,23,68,44,24,31,15,16,29,15,14,40,19,21,60,28,32,59,32,27,51,28,23,56,36,20,76,38,38,59,31,28,92,56,36,72,35,37,45,34,11,18,13,5,32,25,7,47.3,48.6,46.2
50,49,49011,Utah,Davis County,12,355481,179556,175925,28838,15100,13738,58534,30289,28245,25435,13135,12300,32910,17544,15366,255152,127505,127647,242674,121032,121642,154644,78871,75773,102830,51539,51291,70296,35058,35238,36638,16891,19747,28838,15100,13738,32123,16574,15549,32942,17062,15880,28445,14952,13493,23369,12380,10989,24804,12509,12295,24614,12169,12445,27858,13956,13902,25554,12905,12649,20176,10185,9991,16671,8319,8352,17449,8704,8745,16000,7850,8150,12456,5972,6484,9508,4411,5097,6502,2998,3504,4274,1900,2374,3898,1610,2288,31.5,30.5,32.5
50,49,49013,Utah,Duchesne County,12,19938,10080,9858,1790,918,872,3413,1727,1686,1461,744,717,1500,765,735,14008,7087,6921,13274,6691,6583,7908,4009,3899,5316,2681,2635,3977,2025,1952,2481,1220,1261,1790,918,872,1906,970,936,1876,938,938,1576,824,752,1016,504,512,1218,590,628,1358,690,668,1457,730,727,1283,671,612,1013,521,492,880,457,423,1022,491,531,1062,556,506,809,421,388,624,318,306,464,234,230,304,140,164,280,107,173,32.2,32.1,32.3
50,49,49015,Utah,Emery County,12,10012,5095,4917,615,329,286,1512,832,680,717,369,348,814,431,383,7510,3748,3762,7168,3565,3603,3639,1856,1783,2299,1151,1148,2287,1126,1161,1768,857,911,615,329,286,768,420,348,935,507,428,773,398,375,567,307,260,491,261,230,513,232,281,651,329,322,644,329,315,522,252,270,482,251,231,608,278,330,675,345,330,595,294,301,441,234,207,332,158,174,203,93,110,197,78,119,37.7,36.6,38.9
50,49,49017,Utah,Garfield County,12,5051,2643,2408,293,162,131,541,281,260,327,189,138,355,190,165,4059,2111,1948,3890,2011,1879,1751,954,797,1139,616,523,1182,601,581,1214,604,610,293,162,131,284,140,144,327,182,145,360,202,158,252,136,116,276,155,121,271,146,125,326,170,156,266,145,121,261,134,127,241,135,106,355,168,187,325,164,161,427,206,221,334,187,147,192,95,97,132,71,61,129,45,84,42.4,40.8,44.3
50,49,49019,Utah,Grand County,12,9754,4907,4847,563,280,283,1057,517,540,479,256,223,625,315,310,7885,3976,3909,7655,3854,3801,3607,1803,1804,2623,1295,1328,2516,1279,1237,1891,965,926,563,280,283,605,303,302,572,277,295,542,293,249,442,215,227,654,322,332,627,304,323,748,382,366,594,287,307,587,304,283,532,273,259,672,343,329,725,359,366,703,357,346,507,284,223,294,143,151,175,88,87,212,93,119,41,41.4,40.7
