stat,ccps,cdps,vgop,vdem,tvps,laps,ppss,tpop,mpop,fpop,popk,popm,popo,ppos,ppws,ppbs,ppns,ppas,ppms,ppls,ppvs,pphs,ppes,ppbd,ppds,pphi,ppcl,ppps,vaps,mvps,tcfs
26,994668,20698,2649852,2804040,5544102,96716,162.6698881,9986857,4918528,5068329,2407690,5813766,1765401,0.7850,0.7920,0.1410,0.0070,0.0340,0.0250,0.0530,0.0566,2.49,0.9050,0.2860,0.1030,0.0690,0.6130,0.1300,7579167,2035065,169
27,603398,7577,1484065,1717077,3277170,79610.09,138.9958581,5639632,2809811,2829821,1445346,3273904,920382,0.7690,0.8380,0.0700,0.0150,0.0520,0.0260,0.0560,0.0550,2.49,0.9300,0.3540,0.0730,0.0580,0.6970,0.0900,4194286,917116,128
28,318879,7348,756731,539494,1315240,46915,62.51881511,2976149,1442292,1533857,780487,1708969,486693,0.7650,0.5910,0.3780,0.0070,0.0110,0.0130,0.0340,0.0568,2.62,0.8390,0.2180,0.1180,0.1540,0.5700,0.1960,2195662,880422,124
29,620295,9789,1717912,1253561,3029586,68846.9,131.8384355,6137428,3012662,3124766,1527291,3548100,1062037,0.7770,0.8290,0.1180,0.0080,0.0220,0.0240,0.0440,0.0673,2.47,0.8960,0.2860,0.1040,0.1200,0.6260,0.1290,4610137,1580551,149
30,112798,1638,343602,244786,605750,145312,7.904565842,1068778,538066,530712,254416,607925,206437,0.7860,0.8890,0.0060,0.0680,0.0090,0.0280,0.0410,0.0800,2.39,0.9320,0.3120,0.0920,0.1020,0.6310,0.1260,814362,208612,70
31,223749,2516,556846,374583,952271,76121,45.24403612,1934408,966449,967959,529821,1092129,312458,0.7540,0.8810,0.0520,0.0160,0.0270,0.0230,0.1140,0.0622,2.46,0.9110,0.3130,0.0770,0.0980,0.6950,0.0990,1404587,452316,73
32,326878,5621,669890,703486,1405376,109818,149.0885418,3080156,1544827,1535329,760272,1823912,495972,0.7750,0.7390,0.1030,0.0250,0.0870,0.0460,0.2920,0.0678,2.68,0.8630,0.2420,0.0890,0.1340,0.6340,0.1250,2319884,914508,43
33,99040,1360,365654,424921,804430,8969,190.0894604,1359711,673793,685918,291038,814809,253864,0.8120,0.9310,0.0180,0.0030,0.0300,0.0180,0.0400,0.0718,2.46,0.9290,0.3650,0.0880,0.0760,0.6770,0.0730,1068673,264243,17
34,1018833,26322,1882454,2607331,4565757,7418,2253.465447,8882190,4340587,4541603,2151487,5255168,1475535,0.7820,0.7190,0.1510,0.0070,0.1000,0.0230,0.2090,0.0376,2.71,0.8950,0.3890,0.0660,0.0920,0.6550,0.0920,6730703,2164946,58
35,203919,4297,401894,501614,923965,121341,36.72377209,2096829,1037432,1059397,531712,1187511,377606,0.7730,0.8190,0.0260,0.1120,0.0180,0.0260,0.4930,0.0707,2.64,0.8530,0.2710,0.1030,0.1200,0.5740,0.1820,1565117,641152,61
36,2106056,52927,2987266,4076327,7170577,54341.54,2137.440746,19453561,9447846,10005715,4520996,11636419,3296146,0.7930,0.6960,0.1760,0.0110,0.0900,0.0270,0.1930,0.0376,2.60,0.8650,0.3590,0.0760,0.0610,0.6300,0.1300,14932565,7761988,174
37,1008036,13268,2758775,2684302,5524813,53664,201.2915368,10488084,5100264,5387820,2592437,6144553,1751094,0.7810,0.7060,0.2220,0.0170,0.0320,0.0230,0.0980,0.0637,2.52,0.8740,0.3050,0.0950,0.1340,0.6130,0.1360,7895647,2370834,175
38,110382,1548,235595,114902,361819,68994,9.38429165,762062,390032,372030,200777,441440,119845,0.7640,0.8690,0.0340,0.0570,0.0170,0.0230,0.0410,0.0611,2.31,0.9250,0.2950,0.0710,0.0810,0.6920,0.1060,561285,199466,32
39,1106064,20021,3153336,2678501,5929361,40956.51,293.4570256,11689100,5730562,5958538,2886873,6755907,2046320,0.7790,0.8170,0.1310,0.0040,0.0250,0.0240,0.0400,0.0624,2.43,0.9010,0.2780,0.1010,0.0780,0.6310,0.1310,8802227,2872866,174
40,454216,7325,1020280,503890,1560699,68678,72.75148689,3956971,1960658,1996313,1058495,2263344,635132,0.7590,0.7400,0.0780,0.0960,0.0240,0.0630,0.1110,0.0692,2.58,0.8780,0.2520,0.1150,0.1680,0.6070,0.1520,2898476,1337777,145
41,204317,2751,966627,1346141,2385605,95804,121.9570004,4217737,2090727,2127010,965480,2486177,766080,0.7950,0.8670,0.0220,0.0230,0.0490,0.0400,0.1340,0.0684,2.51,0.9040,0.3290,0.1010,0.0860,0.6210,0.1140,3252257,866652,61
42,1212155,27493,3377674,3458229,6921699,45289,459.3644323,12801989,6274361,6527628,2977542,7431085,2393362,0.7940,0.8160,0.1200,0.0050,0.0380,0.0210,0.0780,0.0611,2.46,0.9020,0.3080,0.0980,0.0700,0.6260,0.1200,9824447,2902748,154
72,181646,2625,406830,389896,1243712,3424.84,1076.455238,3193694,1515721,1677973,659523,1854515,679656,0.8210,0.6740,0.1080,0.0030,0.0020,0.0520,0.9890,0.0252,2.78,0.7550,0.2530,0.1510,0.0960,0.4430,0.4350,2534171,1290459,17
44,152187,2722,199837,306210,513627,1032,1149.296778,1059361,515675,543686,238543,633772,187046,0.8070,0.8360,0.0850,0.0130,0.0370,0.0290,0.1630,0.0543,2.47,0.8800,0.3330,0.0980,0.0480,0.6440,0.1080,820818,307191,88
45,594659,9761,1385103,1091541,2513329,31452.55,148.0085505,5148714,2493139,2655575,1247839,2963852,937023,0.7840,0.6860,0.2700,0.0060,0.0180,0.0200,0.0600,0.0713,2.54,0.8710,0.2740,0.1040,0.1320,0.5970,0.1380,3900875,1387546,44
46,124335,2026,261043,150471,422609,75896,15.16553936,884659,446757,437902,240567,492221,151871,0.7550,0.8460,0.0230,0.0910,0.0150,0.0250,0.0420,0.0670,2.43,0.9170,0.2850,0.0810,0.1220,0.6810,0.1190,6440920,3504982,153
47,850276,12396,1849820,1139376,3049514,41191,151.1872723,6829174,3332239,3496935,1677566,4008215,1143393,0.7790,0.7840,0.1710,0.0060,0.0200,0.0200,0.0570,0.0637,2.53,0.8700,0.2660,0.1110,0.1210,0.6090,0.1390,5151608,2102094,551
48,2969114,52019,5891792,5261061,11323985,261962,119.6739278,28995881,14402702,14593179,8210585,17051067,3734229,0.7450,0.7870,0.1290,0.0110,0.0520,0.0210,0.3970,0.0508,2.86,0.8320,0.2930,0.0790,0.2080,0.6420,0.1360,20785296,9461311,46
49,408812,2319,865140,560282,1488289,82170,134.3886466,3205958,1614917,1591041,1028611,1811475,365872,0.7100,0.9060,0.0150,0.0270,0.0270,0.0260,0.1440,0.0385,3.13,0.9200,0.3330,0.0680,0.1080,0.6790,0.0890,2177347,689058,9
50,24314,256,112704,242820,367428,9250,72.65639191,623989,308316,315673,134415,364535,125039,0.8170,0.9420,0.0140,0.0040,0.0190,0.0200,0.0200,0.0619,2.31,0.9260,0.3730,0.1050,0.0560,0.6570,0.1020,489574,122146,166
78,4002,88,1962430,2413568,4460524,39369.1,935.9399824,8535519,4200257,4335262,2087426,5089187,1358906,0.7460,0.1560,0.7600,0.0800,0.0000,0.0210,0.1740,0.0550,3.12,0.6890,0.1920,0.1949,0.3751,0.7766,0.4423,79890,62329,108
51,677425,11270,99,15470,17561,134.5,791.2,106405,50854,55551,29694,59053,14384,0.7820,0.6940,0.1990,0.0060,0.0690,0.0320,0.0980,0.0802,2.61,0.8930,0.3820,0.0800,0.0930,0.6420,0.0990,6448093,1987569,83
53,444852,5846,1584588,2369437,4060294,66457,147.4266197,7614893,3811983,3802910,1840306,4564864,1209723,0.7820,0.7850,0.0440,0.0270,0.0960,0.0490,0.1300,0.0706,2.55,0.9110,0.3530,0.0880,0.0770,0.6350,0.0980,5774587,1714293,154
54,162845,2848,545382,235984,794652,24088,93.99486887,1792147,887770,904377,402473,1022663,367011,0.7990,0.9350,0.0360,0.0030,0.0080,0.0180,0.0170,0.0751,2.42,0.8650,0.2030,0.1410,0.0830,0.5310,0.1600,1389674,595022,35
55,676178,8007,1610151,1630716,3297434,54157.87,166.4851733,5822434,2897209,2925225,1422095,3383096,1017243,0.7820,0.8700,0.0670,0.0130,0.0300,0.0200,0.0710,0.0589,2.40,0.9190,0.2950,0.0820,0.0680,0.6660,0.1040,4400339,1102905,34
56,61012,725,193559,73491,276765,97105,6.557927967,578759,294730,284029,148172,331408,99179,0.7690,0.9250,0.0130,0.0280,0.0110,0.0220,0.1010,0.0784,2.46,0.9290,0.2690,0.0890,0.1480,0.6640,0.1010,430587,153822,3
