state,county,fips,votes gop,votes dem,total votes,% GOP,% DEM,% Votes,majority,POP tot
North Carolina,Yadkin,37197,15933,3763,19923,79.97%,18.89%,98.86%,RIGHT,37667
North Carolina,Yancey,37199,7516,3688,11352,66.21%,32.49%,98.70%,RIGHT,18069
North Dakota,Adams,38001,981,258,1269,77.30%,20.33%,97.64%,RIGHT,2216
North Dakota,Barnes,38003,3568,1820,5565,64.12%,32.70%,96.82%,RIGHT,10415
North Dakota,Benson,38005,1094,822,1961,55.79%,41.92%,97.71%,RIGHT,6832
North Dakota,Billings,38007,541,72,635,85.20%,11.34%,96.54%,RIGHT,928
North Dakota,Bottineau,38009,2575,821,3471,74.19%,23.65%,97.84%,RIGHT,6282
North Dakota,Bowman,38011,1395,228,1657,84.19%,13.76%,97.95%,RIGHT,3024
North Dakota,Burke,38013,994,137,1155,86.06%,11.86%,97.92%,RIGHT,2115
North Dakota,Burleigh,38015,34744,14348,50753,68.46%,28.27%,96.73%,RIGHT,95626
North Dakota,Cass,38017,42619,40311,86053,49.53%,46.84%,96.37%,RIGHT,181923
North Dakota,Cavalier,38019,1499,474,2020,74.21%,23.47%,97.67%,RIGHT,3762
North Dakota,Dickey,38021,1742,608,2424,71.86%,25.08%,96.95%,RIGHT,4872
North Dakota,Divide,38023,904,265,1202,75.21%,22.05%,97.25%,RIGHT,2264
North Dakota,Dunn,38025,1951,342,2338,83.45%,14.63%,98.08%,RIGHT,4424
North Dakota,Eddy,38027,854,383,1261,67.72%,30.37%,98.10%,RIGHT,2287
North Dakota,Emmons,38029,1738,237,2009,86.51%,11.80%,98.31%,RIGHT,3241
North Dakota,Foster,38031,1362,373,1778,76.60%,20.98%,97.58%,RIGHT,3210
North Dakota,Golden Valley,38033,871,137,1026,84.89%,13.35%,98.25%,RIGHT,1761
North Dakota,Grand Forks,38035,16987,12880,30970,54.85%,41.59%,96.44%,RIGHT,69451
North Dakota,Grant,38037,1145,207,1381,82.91%,14.99%,97.90%,RIGHT,2274
North Dakota,Griggs,38039,907,308,1250,72.56%,24.64%,97.20%,RIGHT,2231
North Dakota,Hettinger,38041,1091,196,1312,83.16%,14.94%,98.09%,RIGHT,2499
North Dakota,Kidder,38043,1215,221,1460,83.22%,15.14%,98.36%,RIGHT,2480
North Dakota,LaMoure,38045,1645,527,2219,74.13%,23.75%,97.88%,RIGHT,4046
North Dakota,Logan,38047,930,128,1076,86.43%,11.90%,98.33%,RIGHT,1850
North Dakota,McHenry,38049,2364,564,3003,78.72%,18.78%,97.50%,RIGHT,5745
North Dakota,McIntosh,38051,1153,261,1455,79.24%,17.94%,97.18%,RIGHT,2497
North Dakota,McKenzie,38053,4482,814,5419,82.71%,15.02%,97.73%,RIGHT,15024
North Dakota,McLean,38055,4198,1230,5536,75.83%,22.22%,98.05%,RIGHT,9450
North Dakota,Mercer,38057,3856,704,4675,82.48%,15.06%,97.54%,RIGHT,8187
North Dakota,Morton,38059,12243,3872,16619,73.67%,23.30%,96.97%,RIGHT,31364
North Dakota,Mountrail,38061,2824,1256,4165,67.80%,30.16%,97.96%,RIGHT,10545
North Dakota,Nelson,38063,1141,586,1777,64.21%,32.98%,97.19%,RIGHT,2879
North Dakota,Oliver,38065,918,129,1066,86.12%,12.10%,98.22%,RIGHT,1959
North Dakota,Pembina,38067,2460,786,3331,73.85%,23.60%,97.45%,RIGHT,6801
North Dakota,Pierce,38069,1585,497,2128,74.48%,23.36%,97.84%,RIGHT,3975
North Dakota,Ramsey,38071,3577,1639,5372,66.59%,30.51%,97.10%,RIGHT,11519
North Dakota,Ransom,38073,1418,945,2454,57.78%,38.51%,96.29%,RIGHT,5218
North Dakota,Renville,38075,1065,220,1319,80.74%,16.68%,97.42%,RIGHT,2327
North Dakota,Richland,38077,5072,2510,7812,64.93%,32.13%,97.06%,RIGHT,16177
North Dakota,Rolette,38079,1257,2482,3804,33.04%,65.25%,98.29%,LEFT,14176
North Dakota,Sargent,38081,1266,738,2070,61.16%,35.65%,96.81%,RIGHT,3898
North Dakota,Sheridan,38083,688,104,812,84.73%,12.81%,97.54%,RIGHT,1315
North Dakota,Sioux,38085,258,804,1186,21.75%,67.79%,89.54%,LEFT,4230
North Dakota,Slope,38087,380,44,427,88.99%,10.30%,99.30%,RIGHT,750
North Dakota,Stark,38089,12110,2499,15050,80.47%,16.60%,97.07%,RIGHT,31489
North Dakota,Steele,38091,652,392,1088,59.93%,36.03%,95.96%,RIGHT,1890
North Dakota,Stutsman,38093,6994,2676,9959,70.23%,26.87%,97.10%,RIGHT,20704
North Dakota,Towner,38095,830,317,1174,70.70%,27.00%,97.70%,RIGHT,2189
North Dakota,Traill,38097,2522,1493,4136,60.98%,36.10%,97.07%,RIGHT,8036
North Dakota,Walsh,38099,3324,1333,4783,69.50%,27.87%,97.37%,RIGHT,10641
North Dakota,Ward,38101,19974,7293,28246,70.71%,25.82%,96.53%,RIGHT,67641
North Dakota,Wells,38103,1893,442,2374,79.74%,18.62%,98.36%,RIGHT,3834
North Dakota,Williams,38105,11739,2169,14334,81.90%,15.13%,97.03%,RIGHT,37589
