ccps,vgop,vdem,tvps,laps,ppss,tpop,pphs,ppes,ppbd,ppds,pphi,ppcl,ppps,vaps,mvps,tcfs
4002,1962430,2413568,4460524,39369.1,935.9399824,8535519,3.12,0.689,0.192,0.1949,0.3751,0.7766,0.4423,79890,62329,108
677425,99,15470,17561,134.5,791.2,106405,2.61,0.893,0.382,0.08,0.093,0.642,0.099,6448093,1987569,83
444852,1584588,2369437,4060294,66457,147.4266197,7614893,2.55,0.911,0.353,0.088,0.077,0.635,0.098,5774587,1714293,154
162845,545382,235984,794652,24088,93.99486887,1792147,2.42,0.865,0.203,0.141,0.083,0.531,0.16,1389674,595022,35
676178,1610151,1630716,3297434,54157.87,166.4851733,5822434,2.4,0.919,0.295,0.082,0.068,0.666,0.104,4400339,1102905,34
61012,193559,73491,276765,97105,6.557927967,578759,2.46,0.929,0.269,0.089,0.148,0.664,0.101,430587,153822,3
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,557.2044081,,,,,,,,,,,
