State,FIPS,total facilities
Florida,12029,3
Florida,12031,6
Florida,12033,6
Florida,12035,2
Florida,12036,1
Florida,12037,4
Florida,12039,5
Florida,12041,2
Florida,12043,4
Florida,12045,4
Florida,12047,4
Florida,12049,2
Florida,12051,1
Florida,12053,2
Florida,12055,3
Florida,12057,6
Florida,12059,2
Florida,12061,1
Florida,12063,11
Florida,12065,3
Florida,12067,3
Florida,12069,3
Florida,12071,3
Florida,12073,5
Florida,12075,3
Florida,12077,3
Florida,12079,2
Florida,12081,3
Florida,12083,10
Florida,12085,4
Florida,12086,20
Florida,12087,3
Florida,12089,1
Florida,12091,3
Florida,12093,3
Florida,12095,6
Florida,12097,4
Florida,12099,8
Florida,12101,2
Florida,12103,7
Florida,12105,7
Florida,12107,2
Florida,12109,1
Florida,12111,2
Florida,12113,6
Florida,12115,1
Florida,12117,1
Florida,12119,7
Florida,12121,3
Florida,12123,5
Florida,12125,7
Florida,12127,6
Florida,12129,4
Florida,12131,2
Florida,12133,4
Georgia,13001,2
Georgia,13003,1
Georgia,13005,2
Georgia,13009,5
Georgia,13015,1
Georgia,13017,1
Georgia,13019,1
Georgia,13021,3
Georgia,13023,2
Georgia,13031,2
Georgia,13033,1
Georgia,13035,5
Georgia,13037,2
Georgia,13039,2
Georgia,13043,1
Georgia,13045,2
Georgia,13047,1
Georgia,13049,4
Georgia,13051,5
Georgia,13055,2
Georgia,13057,2
Georgia,13059,2
Georgia,13063,5
Georgia,13065,1
Georgia,13067,7
Georgia,13069,3
Georgia,13071,3
Georgia,13073,2
Georgia,13077,2
Georgia,13079,1
Georgia,13081,1
Georgia,13083,1
Georgia,13085,1
Georgia,13087,4
Georgia,13089,1
Georgia,13091,2
Georgia,13093,2
Georgia,13095,3
Georgia,13097,2
Georgia,13099,1
Georgia,13103,1
Georgia,13105,1
Georgia,13107,4
Georgia,13109,2
Georgia,13111,1
Georgia,13113,1
Georgia,13115,2
Georgia,13117,2
Georgia,13119,1
Georgia,13121,10
Georgia,13123,1
Georgia,13127,1
Georgia,13129,1
Georgia,13131,1
Georgia,13133,1
Georgia,13135,4
Georgia,13137,4
Georgia,13139,2
Georgia,13141,2
Georgia,13143,1
Georgia,13145,3
Georgia,13147,3
Georgia,13149,1
Georgia,13151,1
Georgia,13153,3
Georgia,13155,2
Georgia,13157,2
Georgia,13159,1
Georgia,13161,1
Georgia,13163,2
Georgia,13165,1
Georgia,13167,2
Georgia,13169,1
Georgia,13171,2
Georgia,13173,1
Georgia,13175,2
Georgia,13177,3
Georgia,13179,1
Georgia,13181,1
Georgia,13183,2
Georgia,13185,5
Georgia,13187,1
Georgia,13189,2
Georgia,13191,1
Georgia,13193,4
Georgia,13195,1
Georgia,13197,1
Georgia,13205,6
Georgia,13207,3
Georgia,13209,2
Georgia,13211,1
Georgia,13213,1
Georgia,13215,6
Georgia,13217,3
Georgia,13219,1
Georgia,13221,1
Georgia,13223,2
Georgia,13227,1
Georgia,13229,1
Georgia,13231,2
Georgia,13233,1
Georgia,13235,1
Georgia,13237,1
Georgia,13241,2
Georgia,13243,1
Georgia,13245,6
Georgia,13247,1
Georgia,13251,2
Georgia,13253,1
Georgia,13255,2
Georgia,13257,1
Georgia,13259,1
Georgia,13261,2
Georgia,13263,1
Georgia,13267,4
Georgia,13269,2
Georgia,13271,4
Georgia,13273,3
Georgia,13275,1
Georgia,13277,1
Georgia,13281,1
Georgia,13283,3
Georgia,13285,3
Georgia,13287,2
Georgia,13291,2
Georgia,13293,1
Georgia,13295,3
Georgia,13297,1
Georgia,13299,3
Georgia,13303,3
Georgia,13305,3
Georgia,13309,2
Georgia,13311,1
Georgia,13313,1
Georgia,13315,3
Georgia,13317,2
Georgia,13319,1
Georgia,13321,1
Hawaii,15001,2
Hawaii,15003,8
Hawaii,15007,2
Hawaii,15009,1
Idaho,16001,13
Idaho,16003,1
Idaho,16005,3
Idaho,16009,1
Idaho,16011,1
Idaho,16017,1
Idaho,16019,2
Idaho,16021,1
Idaho,16023,1
Idaho,16027,3
Idaho,16029,1
Idaho,16031,2
Idaho,16035,3
Idaho,16037,1
Idaho,16039,1
Idaho,16043,2
Idaho,16045,1
Idaho,16047,2
Idaho,16049,1
Idaho,16051,1
Idaho,16053,1
Idaho,16055,2
Idaho,16057,2
Idaho,16059,1
Idaho,16061,1
Idaho,16065,1
Idaho,16069,1
Idaho,16073,2
Idaho,16075,1
Idaho,16077,1
Idaho,16079,1
Idaho,16083,3
Idaho,16085,1
Idaho,16087,1
Illinois,17001,1
Illinois,17003,1
Illinois,17005,4
Illinois,17007,1
Illinois,17009,2
Illinois,17011,1
Illinois,17013,1
Illinois,17015,3
Illinois,17019,3
Illinois,17021,2
Illinois,17023,1
Illinois,17027,2
Illinois,17029,1
Illinois,17031,10
Illinois,17033,2
Illinois,17035,1
Illinois,17037,1
Illinois,17039,1
Illinois,17041,1
Illinois,17043,2
Illinois,17045,1
Illinois,17049,1
Illinois,17051,2
Illinois,17053,1
Illinois,17055,1
Illinois,17057,2
Illinois,17061,2
Illinois,17063,1
Illinois,17067,1
Illinois,17073,2
Illinois,17075,1
Illinois,17077,2
Illinois,17079,1
Illinois,17081,2
Illinois,17083,1
Illinois,17085,1
Illinois,17087,2
Illinois,17089,4
Illinois,17091,3
Illinois,17093,1
Illinois,17095,2
Illinois,17097,2
Illinois,17099,2
Illinois,17101,1
Illinois,17103,2
Illinois,17105,5
Illinois,17107,4
Illinois,17111,2
Illinois,17113,1
Illinois,17115,3
Illinois,17117,1
Illinois,17119,1
Illinois,17121,1
Illinois,17123,1
Illinois,17125,1
Illinois,17129,1
Illinois,17131,1
Illinois,17135,2
Illinois,17137,2
Illinois,17139,1
Illinois,17141,1
Illinois,17143,3
Illinois,17145,4
Illinois,17149,3
Illinois,17151,2
Illinois,17153,2
Illinois,17155,1
Illinois,17157,2
Illinois,17159,1
Illinois,17161,4
Illinois,17163,4
Illinois,17165,1
Illinois,17167,2
Illinois,17169,1
Illinois,17173,1
Illinois,17175,1
Illinois,17177,1
Illinois,17179,1
Illinois,17183,2
Illinois,17187,1
Illinois,17189,1
Illinois,17191,1
Illinois,17193,1
Illinois,17195,1
Illinois,17197,5
Illinois,17199,3
Illinois,17201,1
Illinois,17203,1
Indiana,18001,1
Indiana,18003,4
Indiana,18005,1
Indiana,18007,1
Indiana,18009,2
Indiana,18011,1
Indiana,18015,1
Indiana,18017,1
Indiana,18019,2
Indiana,18021,2
Indiana,18023,1
Indiana,18027,1
Indiana,18029,1
Indiana,18031,1
Indiana,18033,1
Indiana,18035,1
Indiana,18037,1
Indiana,18039,2
Indiana,18043,1
Indiana,18045,1
Indiana,18049,1
Indiana,18051,1
Indiana,18053,1
Indiana,18055,2
Indiana,18057,1
Indiana,18059,1
Indiana,18061,1
Indiana,18063,4
Indiana,18065,2
Indiana,18067,1
Indiana,18069,1
Indiana,18071,1
Indiana,18073,2
Indiana,18075,1
Indiana,18077,2
Indiana,18079,1
Indiana,18081,3
Indiana,18083,1
Indiana,18085,2
Indiana,18089,3
Indiana,18091,4
Indiana,18093,1
Indiana,18095,6
Indiana,18097,10
Indiana,18099,2
Indiana,18103,3
Indiana,18105,2
Indiana,18107,1
Indiana,18109,1
Indiana,18111,1
Indiana,18113,2
Indiana,18117,1
Indiana,18119,1
Indiana,18121,3
Indiana,18123,2
Indiana,18125,1
Indiana,18127,1
Indiana,18129,1
Indiana,18131,1
Indiana,18133,2
Indiana,18135,1
Indiana,18137,1
Indiana,18139,1
Indiana,18141,3
Indiana,18143,2
Indiana,18145,1
Indiana,18147,1
Indiana,18151,1
Indiana,18153,2
Indiana,18155,1
Indiana,18157,2
Indiana,18159,1
Indiana,18161,1
Indiana,18163,1
Indiana,18167,6
Indiana,18169,1
Indiana,18171,1
Indiana,18173,1
Indiana,18175,1
Indiana,18177,2
Indiana,18179,1
Indiana,18181,1
Indiana,18183,2
Iowa,19001,1
Iowa,19003,1
Iowa,19005,1
Iowa,19007,1
Iowa,19009,1
Iowa,19011,1
Iowa,19013,1
Iowa,19015,1
Iowa,19017,1
Iowa,19019,1
Iowa,19021,1
Iowa,19023,1
Iowa,19027,1
Iowa,19029,1
Iowa,19031,1
Iowa,19033,3
Iowa,19035,1
Iowa,19039,1
Iowa,19041,1
Iowa,19043,1
Iowa,19045,1
Iowa,19047,1
Iowa,19049,1
Iowa,19053,1
Iowa,19057,3
Iowa,19059,1
Iowa,19061,2
Iowa,19063,1
Iowa,19065,2
Iowa,19071,1
Iowa,19073,1
Iowa,19077,1
Iowa,19079,1
Iowa,19081,1
Iowa,19083,2
Iowa,19085,1
Iowa,19087,3
Iowa,19089,1
Iowa,19091,1
Iowa,19095,1
Iowa,19097,1
Iowa,19099,3
Iowa,19101,1
Iowa,19103,3
Iowa,19105,2
Iowa,19107,1
Iowa,19109,1
Iowa,19111,2
Iowa,19113,4
Iowa,19115,1
Iowa,19119,1
Iowa,19121,1
Iowa,19123,1
Iowa,19125,1
Iowa,19127,2
Iowa,19129,1
Iowa,19131,1
Iowa,19133,1
Iowa,19135,1
Iowa,19139,1
Iowa,19141,1
Iowa,19143,1
Iowa,19145,3
Iowa,19147,1
Iowa,19151,1
Iowa,19153,5
Iowa,19155,3
Iowa,19157,1
Iowa,19159,1
Iowa,19161,1
Iowa,19163,3
Iowa,19165,1
Iowa,19167,2
Iowa,19169,2
Iowa,19171,1
Iowa,19173,1
Iowa,19175,1
Iowa,19177,1
Iowa,19179,2
Iowa,19181,1
Iowa,19183,1
Iowa,19185,1
Iowa,19187,2
Iowa,19189,1
Iowa,19191,1
Iowa,19193,2
Iowa,19195,1
Iowa,19197,1
Kansas,20001,1
Kansas,20003,1
Kansas,20005,1
Kansas,20009,1
Kansas,20011,1
Kansas,20013,1
Kansas,20015,2
Kansas,20017,2
Kansas,20027,1
Kansas,20029,1
Kansas,20031,2
Kansas,20035,4
Kansas,20037,2
Kansas,20039,1
Kansas,20041,1
Kansas,20043,1
Kansas,20045,1
Kansas,20047,1
Kansas,20049,1
Kansas,20051,1
Kansas,20053,2
Kansas,20055,1
Kansas,20057,1
Kansas,20059,1
Kansas,20061,1
Kansas,20067,1
Kansas,20073,1
Kansas,20079,1
Kansas,20081,1
Kansas,20085,1
Kansas,20087,1
Kansas,20089,1
Kansas,20091,2
Kansas,20093,1
Kansas,20095,1
Kansas,20099,1
Kansas,20101,1
Kansas,20103,6
Kansas,20105,1
Kansas,20107,1
Kansas,20111,1
Kansas,20115,1
Kansas,20117,1
Kansas,20119,1
Kansas,20123,1
Kansas,20125,1
Kansas,20127,1
Kansas,20129,1
Kansas,20131,1
Kansas,20133,1
Kansas,20135,1
Kansas,20137,4
Kansas,20139,1
Kansas,20141,1
Kansas,20143,1
Kansas,20145,3
Kansas,20147,1
Kansas,20149,1
Kansas,20151,1
Kansas,20155,5
Kansas,20159,1
Kansas,20161,1
Kansas,20163,1
Kansas,20167,1
Kansas,20169,1
Kansas,20171,1
Kansas,20173,3
Kansas,20175,1
Kansas,20177,4
Kansas,20183,1
Kansas,20189,1
Kansas,20191,1
Kansas,20193,1
Kansas,20205,1
Kansas,20207,1
Kansas,20209,1
Kansas,20355,1
Kentucky,21001,1
Kentucky,21003,1
Kentucky,21007,1
Kentucky,21009,1
Kentucky,21013,2
Kentucky,21015,2
Kentucky,21017,1
Kentucky,21019,4
Kentucky,21021,2
Kentucky,21027,1
Kentucky,21029,1
Kentucky,21031,1
Kentucky,21033,3
Kentucky,21035,1
Kentucky,21037,2
Kentucky,21041,1
Kentucky,21043,1
Kentucky,21045,1
Kentucky,21047,2
Kentucky,21049,1
Kentucky,21051,3
Kentucky,21053,1
Kentucky,21055,1
Kentucky,21059,5
Kentucky,21063,1
Kentucky,21065,1
Kentucky,21067,8
Kentucky,21071,3
Kentucky,21073,2
Kentucky,21075,1
Kentucky,21081,1
Kentucky,21083,2
Kentucky,21085,1
Kentucky,21089,1
Kentucky,21093,1
