State,FIPS,total facilities
Ohio,39001,1
Ohio,39003,4
Ohio,39007,4
Ohio,39009,2
Ohio,39011,1
Ohio,39013,1
Ohio,39015,1
Ohio,39017,2
Ohio,39019,1
Ohio,39021,1
Ohio,39023,1
Ohio,39025,1
Ohio,39027,1
Ohio,39029,7
Ohio,39031,1
Ohio,39033,1
Ohio,39035,16
Ohio,39037,1
Ohio,39041,1
Ohio,39043,1
Ohio,39045,5
Ohio,39047,1
Ohio,39049,7
Ohio,39053,1
Ohio,39055,1
Ohio,39057,2
Ohio,39059,1
Ohio,39061,4
Ohio,39063,1
Ohio,39071,1
Ohio,39073,1
Ohio,39075,1
Ohio,39077,1
Ohio,39079,1
Ohio,39081,2
Ohio,39083,1
Ohio,39085,1
Ohio,39087,1
Ohio,39089,3
Ohio,39093,5
Ohio,39095,3
Ohio,39097,2
Ohio,39099,7
Ohio,39101,4
Ohio,39103,1
Ohio,39105,2
Ohio,39107,1
Ohio,39109,1
Ohio,39113,4
Ohio,39117,2
Ohio,39119,2
Ohio,39121,2
Ohio,39123,2
Ohio,39129,3
Ohio,39131,1
Ohio,39133,1
Ohio,39135,2
Ohio,39139,5
Ohio,39141,4
Ohio,39143,1
Ohio,39145,4
Ohio,39147,3
Ohio,39149,1
Ohio,39151,2
Ohio,39153,7
Ohio,39155,3
Ohio,39157,1
Ohio,39159,2
Ohio,39161,2
Ohio,39165,4
Ohio,39167,1
Ohio,39169,1
Ohio,39171,1
Ohio,39173,1
Ohio,39175,1
