state,county,fips,POP tot,land area (sq/mi),pop/sqmi
Alaska,Aleutians East Borough,02013,3337,6982,0.5
Alaska,Aleutians West Census Area,02016,5634,4394,1.3
Alaska,Anchorage,02020,280219,1707,164.2
Alaska,Bethel Census Area,02050,18386,40631,0.5
Alaska,Bristol Bay Borough,02060,836,1482,0.6
Alaska,Denali Borough,02068,2097,12637,0.2
Alaska,Dillingham Census Area,02070,4916,18334,0.3
Alaska,Fairbanks North Star Borough,02090,96849,7335,13.2
Alaska,Haines Borough,02100,2535,2345,1.1
Alaska,Hoonah-Angoon Census Area,02105,2148,6555,0.3
Alaska,Juneau City and Borough,02110,31974,2904,11
Alaska,Kenai Peninsula Borough,02122,58708,16023,3.7
Alaska,Ketchikan Gateway Borough,02130,13901,4857,2.9
Alaska,Kodiak Island Borough,02150,12998,6615,2
Alaska,Kusilvak Census Area,02158,8314,17077,0.5
Alaska,Lake and Peninsula Borough,02164,1592,23905,0.1
Alaska,Matanuska-Susitna Borough,02170,108017,24715,4.4
Alaska,Nome Census Area,02180,10004,22973,0.4
Alaska,North Slope Borough,02185,9832,88924,0.1
Alaska,Northwest Arctic Borough,02188,7621,9527,0.8
Alaska,Petersburg Borough,02195,3266,2901,1.1
Alaska,Prince of Wales-Hyder Census Area,02198,6203,5264,1.2
Alaska,Sitka City and Borough,02220,8493,2876,3
Alaska,Skagway Municipality,02230,1183,2434,0.5
Alaska,Southeast Fairbanks Census Area,02240,6893,25123,0.3
Alaska,Valdez-Cordova Census Area,02261,9202,24692,0.4
Alaska,Wrangell City and Borough,02275,2502,2556,1
Alaska,Yukon-Koyukuk Census Area,02290,5230,7623,0.7
Alaska,Yakutat,02882,579,145571,0
Alaska,Skagway Municipality,02930,1183,6895,0.2
Alaska,Southeast Fairbanks Census Area ,02940,6893,24784,0.3
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
