,percent_of_population_age_19up,percent_of_population_anglosaxon_decent,percent_of_population_african_decent,percent_of_population_native_hawaiian_islander_other_decent,percent_of_population_asian_decent,percent_of_population_mixed_decent,percent_of_population_hispanic_latino_decent,percent_of_population_vetrans,percent_of_population_with_HS_education,percent_of_population_with_bachelors_degree_or_higher,percent_of_population_with_disability_age_19to64,percent_of_population_with_without_health_insurance,percent_of_population_age_16up_in_civilian_labor_force,percent_of_population_in_poverty,percent_of_total_overall_population,percent_of_land_area,,voting_age_population,percent_of_overall_correctional_facilities,,,total_male_population,,total_female_population,,age_0to19_total,,age_0to19_female,,age_0to19_male,,age_20to64_total,,age_20to64_female,,age_20to64_male,,age_65up_total,,age_65up_male,,age_65up_female,,confirmed_covid_cases_062021,,confirmed_covid_deaths_062021,,total_votes_counted,,legal_age_to_vote_and_didnt
Kansas,0.7600,0.8630,0.0610,0.0130,0.0320,0.0310,0.1220,0.0623,0.9070,0.3290,0.0900,0.1090,0.6570,0.1140,0.008787229,0.022672627,,2131223,0.018385572,,,1451697,,1461617,,782091,,380848,,401243,,1655736,,819198,,836538,,475487,,213916,,261571,,317165,,5139,,1333804,,797419
Kentucky,0.7760,0.8750,0.0850,0.0040,0.0160,0.0200,0.0390,0.0613,0.8570,0.2360,0.1310,0.0770,0.5890,0.1630,0.013475536,0.011009759,,3348739,0.023813693,,,2201029,,2266644,,1118934,,545344,,573590,,2598175,,1303909,,1294266,,750564,,333173,,417391,,462901,,7182,,2136768,,1211971
Louisiana,0.7660,0.6280,0.3280,0.0090,0.0180,0.0180,0.0530,0.0539,0.8480,0.2370,0.1100,0.1050,0.5930,0.1900,0.014021839,0.014224598,,3445529,0.026090002,,,2267050,,2381744,,1203265,,590260,,613005,,2704507,,1376084,,1328423,,741022,,325622,,415400,,475126,,10638,,2148062,,1297467
Maine,0.8150,0.9440,0.0170,0.0070,0.0130,0.0180,0.0180,0.0797,0.9230,0.3090,0.1180,0.1010,0.6290,0.1090,0.004054454,0.009804402,,1063054,0.004902819,,,658112,,686100,,281158,,136855,,144303,,777789,,393942,,383847,,285265,,129962,,155303,,68449,,843,,816428,,246626
Maryland,0.7790,0.5850,0.3110,0.0070,0.0670,0.0290,0.1060,0.0616,0.9000,0.3960,0.0750,0.0690,0.6720,0.0900,0.018235175,0.003272752,,4555959,0.013307652,,,2928865,,3116815,,1489721,,730290,,759431,,3596563,,1842075,,1754488,,959396,,414946,,544450,,461201,,9667,,3016608,,1539351
Massachusetts,0.8040,0.8060,0.0900,0.0060,0.0720,0.0260,0.1240,0.0458,0.9040,0.4290,0.0790,0.0350,0.6710,0.0940,0.020789384,0.002171859,,5334272,0.010506041,,,3345568,,3546935,,1558231,,766761,,791470,,4164940,,2119384,,2045556,,1169332,,508542,,660790,,708579,,17929,,3631473,,1702799
Michigan,0.7850,0.7920,0.1410,0.0070,0.0340,0.0250,0.0530,0.0566,0.9050,0.2860,0.1030,0.0690,0.6130,0.1300,0.030122672,0.026799382,,7579167,0.029592015,,,4918528,,5068329,,2407690,,1176541,,1231149,,5813766,,2917797,,2895969,,1765401,,791410,,973991,,994668,,20698,,5544102,,2035065
Minnesota,0.7690,0.8380,0.0700,0.0150,0.0520,0.0260,0.0560,0.0550,0.9300,0.3540,0.0730,0.0580,0.6970,0.0900,0.017010435,0.022059503,,4194286,0.022412887,,,2809811,,2829821,,1445346,,707228,,738118,,3273904,,1621416,,1652488,,920382,,419205,,501177,,603398,,7577,,3277170,,917116
Mississippi,0.7650,0.5910,0.3780,0.0070,0.0110,0.0130,0.0340,0.0568,0.8390,0.2180,0.1180,0.1540,0.5700,0.1960,0.008976754,0.012999845,,2195662,0.021712485,,,1442292,,1533857,,780487,,382911,,397576,,1708969,,876139,,832830,,486693,,211886,,274807,,318879,,7348,,1315240,,880422
Missouri,0.7770,0.8290,0.1180,0.0080,0.0220,0.0240,0.0440,0.0673,0.8960,0.2860,0.1040,0.1200,0.6260,0.1290,0.018511903,0.019077033,,4610137,0.026090002,,,3012662,,3124766,,1527291,,745447,,781844,,3548100,,1787637,,1760463,,1062037,,470355,,591682,,620295,,9789,,3029586,,1580551
Montana,0.7860,0.8890,0.0060,0.0680,0.0090,0.0280,0.0410,0.0800,0.9320,0.3120,0.0920,0.1020,0.6310,0.1260,0.003223681,0.040265022,,814362,0.012257048,,,538066,,530712,,254416,,123448,,130968,,607925,,299836,,308089,,206437,,99009,,107428,,112798,,1638,,605750,,208612
Nebraska,0.7540,0.8810,0.0520,0.0160,0.0270,0.0230,0.1140,0.0622,0.9110,0.3130,0.0770,0.0980,0.6950,0.0990,0.005834622,0.021092647,,1404587,0.01278235,,,966449,,967959,,529821,,258397,,271424,,1092129,,537957,,554172,,312458,,140853,,171605,,223749,,2516,,952271,,452316
Nevada,0.7750,0.7390,0.1030,0.0250,0.0870,0.0460,0.2920,0.0678,0.8630,0.2420,0.0890,0.1340,0.6340,0.1250,0.009290463,0.030429862,,2319884,0.007529329,,,1544827,,1535329,,760272,,370882,,389390,,1823912,,902001,,921911,,495972,,233526,,262446,,326878,,5621,,1405376,,914508
New Hampshire,0.8120,0.9310,0.0180,0.0030,0.0300,0.0180,0.0400,0.0718,0.9290,0.3650,0.0880,0.0760,0.6770,0.0730,0.004101203,0.002485252,,1068673,0.002976712,,,673793,,685918,,291038,,142448,,148590,,814809,,406170,,408639,,253864,,116564,,137300,,99040,,1360,,804430,,264243
New Jersey,0.7820,0.7190,0.1510,0.0070,0.1000,0.0230,0.2090,0.0376,0.8950,0.3890,0.0660,0.0920,0.6550,0.0920,0.02679074,0.002055487,,6730703,0.01015584,,,4340587,,4541603,,2151487,,1051821,,1099666,,5255168,,2652389,,2602779,,1475535,,638142,,837393,,1018833,,26322,,4565757,,2164946
New Mexico,0.7730,0.8190,0.0260,0.1120,0.0180,0.0260,0.4930,0.0707,0.8530,0.2710,0.1030,0.1200,0.5740,0.1820,0.006324521,0.033622812,,1565117,0.010681142,,,1037432,,1059397,,531712,,260844,,270868,,1187511,,593137,,594374,,377606,,172190,,205416,,203919,,4297,,923965,,641152
New York,0.7930,0.6960,0.1760,0.0110,0.0900,0.0270,0.1930,0.0376,0.8650,0.3590,0.0760,0.0610,0.6300,0.1300,0.05867644,0.015057708,,14932565,0.030467519,,,9447846,,10005715,,4520996,,2211837,,2309159,,11636419,,5920703,,5715716,,3296146,,1422971,,1873175,,2106056,,52927,,7170577,,7761988
North Carolina,0.7810,0.7060,0.2220,0.0170,0.0320,0.0230,0.0980,0.0637,0.8740,0.3050,0.0950,0.1340,0.6130,0.1360,0.03163448,0.014869949,,7895647,0.03064262,,,5100264,,5387820,,2592437,,1271077,,1321360,,6144553,,3132385,,3012168,,1751094,,766736,,984358,,1008036,,13268,,5524813,,2370834
North Dakota,0.7640,0.8690,0.0340,0.0570,0.0170,0.0230,0.0410,0.0611,0.9250,0.2950,0.0710,0.0810,0.6920,0.1060,0.00229855,0.019117794,,561285,0.005603222,,,390032,,372030,,200777,,97773,,103004,,441440,,209734,,231706,,119845,,55322,,64523,,110382,,1548,,361819,,199466
Ohio,0.7790,0.8170,0.1310,0.0040,0.0250,0.0240,0.0400,0.0624,0.9010,0.2780,0.1010,0.0780,0.6310,0.1310,0.035257031,0.011349060,,8802227,0.030467519,,,5730562,,5958538,,2886873,,1410980,,1475893,,6755907,,3403313,,3352594,,2046320,,902075,,1144245,,1106064,,20021,,5929361,,2872866
Oklahoma,0.7590,0.7400,0.0780,0.0960,0.0240,0.0630,0.1110,0.0692,0.8780,0.2520,0.1150,0.1680,0.6070,0.1520,0.01193514,0.019030233,,2898476,0.025389599,,,1960658,,1996313,,1058495,,516302,,542193,,2263344,,1128961,,1134383,,635132,,284082,,351050,,454216,,7325,,1560699,,1337777
Oregon,0.7950,0.8670,0.0220,0.0230,0.0490,0.0400,0.1340,0.0684,0.9040,0.3290,0.1010,0.0860,0.6210,0.1140,0.012721671,0.026546673,,3252257,0.010681142,,,2090727,,2127010,,965480,,470984,,494496,,2486177,,1241063,,1245114,,766080,,351117,,414963,,204317,,2751,,2385605,,866652
Pennsylvania,0.7940,0.8160,0.1200,0.0050,0.0380,0.0210,0.0780,0.0611,0.9020,0.3080,0.0980,0.0700,0.6260,0.1200,0.03861376,0.012549291,,9824447,0.026965505,,,6274361,,6527628,,2977542,,1456387,,1521155,,7431085,,3729782,,3701303,,2393362,,1051903,,1341459,,1212155,,27493,,6921699,,2902748
Puerto Rico,0.8210,0.6740,0.1080,0.0030,0.0020,0.0520,0.9890,0.0252,0.7550,0.2530,0.1510,0.0960,0.4430,0.4350,0.00963292,0.000949128,,2534171,0.005953423,,,1515721,,1677973,,659523,,323719,,335804,,1854515,,969848,,884667,,679656,,295250,,384406,,172805,,2525,,1243712,,1290459
Rhode Island,0.8070,0.8360,0.0850,0.0130,0.0370,0.0290,0.1630,0.0543,0.8800,0.3330,0.0980,0.0480,0.6440,0.1080,0.003195200,0.000285960,,820818,0.002976712,,,515675,,543686,,238543,,117419,,121124,,633772,,320618,,313154,,187046,,81397,,105649,,152187,,2722,,513627,,307191
South Carolina,0.7840,0.6860,0.2700,0.0060,0.0180,0.0200,0.0600,0.0713,0.8710,0.2740,0.1040,0.1320,0.5970,0.1380,0.01552971,0.008715313,,3900875,0.01540886,,,2493139,,2655575,,1247839,,612160,,635679,,2963852,,1523031,,1440821,,937023,,416639,,520384,,594659,,9761,,2513329,,1387546
South Dakota,0.7550,0.8460,0.0230,0.0910,0.0150,0.0250,0.0420,0.0670,0.9170,0.2850,0.0810,0.1220,0.6810,0.1190,0.00266833,0.021030294,,6440920,0.00770443,,,446757,,437902,,240567,,116988,,123579,,492221,,239709,,252512,,151871,,70666,,81205,,124335,,2026,,2935938,,3504982
Tennessee,0.7790,0.7840,0.1710,0.0060,0.0200,0.0200,0.0570,0.0637,0.8700,0.2660,0.1110,0.1210,0.6090,0.1390,0.020598369,0.011413761,,5151608,0.026790404,,,3332239,,3496935,,1677566,,821077,,856489,,4008215,,2038884,,1969331,,1143393,,506419,,636974,,850276,,12396,,3049514,,2102094
Texas,0.7450,0.7870,0.1290,0.0110,0.0520,0.0210,0.3970,0.0508,0.8320,0.2930,0.0790,0.2080,0.6420,0.1360,0.08745829,0.072587988,,20785296,0.096480476,,,14402702,,14593179,,8210585,,4020641,,4189944,,17051067,,8507476,,8543591,,3734229,,1669167,,2065062,,2969114,,52019,,11323985,,9461311
Utah,0.7100,0.9060,0.0150,0.0270,0.0270,0.0260,0.1440,0.0385,0.9200,0.3330,0.0680,0.1080,0.6790,0.0890,0.009669911,0.022768779,,2177347,0.008054631,,,1614917,,1591041,,1028611,,501431,,527180,,1811475,,894271,,917204,,365872,,170533,,195339,,408812,,2319,,1488289,,689058
Vermont,0.8170,0.9420,0.0140,0.0040,0.0190,0.0200,0.0200,0.0619,0.9260,0.3730,0.1050,0.0560,0.6570,0.1020,0.001882095,0.002563115,,489574,0.001575906,,,308316,,315673,,134415,,65181,,69234,,364535,,183030,,181505,,125039,,57577,,67462,,24314,,256,,367428,,122146
Virgin Islands,0.7460,0.1560,0.7600,0.0800,0.0000,0.0210,0.1740,0.0550,0.6890,0.1920,0.1949,0.3751,0.7766,0.4423,0.000320942,0.000037017,,79890,0.000525302,,,50854,,55551,,29694,,14650,,15044,,59053,,33130,,29843,,14384,,6613,,7771,,4002,,88,,17561,,62329
Virginia,0.7820,0.6940,0.1990,0.0060,0.0690,0.0320,0.0980,0.0802,0.8930,0.3820,0.0800,0.0930,0.6420,0.0990,0.025745101,0.010908924,,6448093,0.029066713,,,4200257,,4335262,,2087426,,1021703,,1065723,,5089187,,2557578,,2531609,,1358906,,602925,,755981,,677425,,11270,,4460524,,1987569
Washington,0.7820,0.7850,0.0440,0.0270,0.0960,0.0490,0.1300,0.0706,0.9110,0.3530,0.0880,0.0770,0.6350,0.0980,0.02296828,0.018414808,,5774587,0.018910874,,,3811983,,3802910,,1840306,,898251,,942055,,4564864,,2247213,,2317651,,1209723,,552277,,657446,,444852,,5846,,4060294,,1714293
