SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,POPESTIMATE,POPEST_MALE,POPEST_FEM,UNDER5_TOT,UNDER5_MALE,UNDER5_FEM,AGE513_TOT,AGE513_MALE,AGE513_FEM,AGE1417_TOT,AGE1417_MALE,AGE1417_FEM,AGE1824_TOT,AGE1824_MALE,AGE1824_FEM,AGE16PLUS_TOT,AGE16PLUS_MALE,AGE16PLUS_FEM,AGE18PLUS_TOT,AGE18PLUS_MALE,AGE18PLUS_FEM,AGE1544_TOT,AGE1544_MALE,AGE1544_FEM,AGE2544_TOT,AGE2544_MALE,AGE2544_FEM,AGE4564_TOT,AGE4564_MALE,AGE4564_FEM,AGE65PLUS_TOT,AGE65PLUS_MALE,AGE65PLUS_FEM,AGE04_TOT,AGE04_MALE,AGE04_FEM,AGE59_TOT,AGE59_MALE,AGE59_FEM,AGE1014_TOT,AGE1014_MALE,AGE1014_FEM,AGE1519_TOT,AGE1519_MALE,AGE1519_FEM,AGE2024_TOT,AGE2024_MALE,AGE2024_FEM,AGE2529_TOT,AGE2529_MALE,AGE2529_FEM,AGE3034_TOT,AGE3034_MALE,AGE3034_FEM,AGE3539_TOT,AGE3539_MALE,AGE3539_FEM,AGE4044_TOT,AGE4044_MALE,AGE4044_FEM,AGE4549_TOT,AGE4549_MALE,AGE4549_FEM,AGE5054_TOT,AGE5054_MALE,AGE5054_FEM,AGE5559_TOT,AGE5559_MALE,AGE5559_FEM,AGE6064_TOT,AGE6064_MALE,AGE6064_FEM,AGE6569_TOT,AGE6569_MALE,AGE6569_FEM,AGE7074_TOT,AGE7074_MALE,AGE7074_FEM,AGE7579_TOT,AGE7579_MALE,AGE7579_FEM,AGE8084_TOT,AGE8084_MALE,AGE8084_FEM,AGE85PLUS_TOT,AGE85PLUS_MALE,AGE85PLUS_FEM,MEDIAN_AGE_TOT,MEDIAN_AGE_MALE,MEDIAN_AGE_FEM
50,8,8001,Colorado,Adams County,12,517421,261615,255806,35729,18198,17531,68739,35073,33666,30723,15700,15023,45440,23529,21911,397492,200530,196962,382230,192644,189586,230294,119162,111132,161901,83834,78067,119361,60225,59136,55528,25056,30472,35729,18198,17531,37459,18997,18462,39050,19977,19073,35694,18409,17285,32699,16919,15780,41774,21607,20167,43168,22512,20656,41354,21278,20076,35605,18437,17168,33249,17076,16173,29929,15132,14797,29877,15014,14863,26306,13003,13303,20072,9611,10461,14733,6857,7876,9313,4039,5274,5972,2458,3514,5438,2091,3347,34.2,33.7,34.7
50,8,8003,Colorado,Alamosa County,12,16233,8106,8127,1029,518,511,2094,1109,985,802,417,385,2537,1237,1300,12687,6246,6441,12308,6062,6246,7314,3680,3634,4184,2141,2043,3333,1616,1717,2254,1068,1186,1029,518,511,1189,643,546,1114,581,533,1435,720,715,1695,819,876,1230,631,599,1090,585,505,983,486,497,881,439,442,745,383,362,790,378,412,908,440,468,890,415,475,763,384,379,613,280,333,391,181,210,261,125,136,226,98,128,31.8,31.2,32.7
50,8,8005,Colorado,Arapahoe County,12,656590,325857,330733,40008,20234,19774,77272,39604,37668,35601,18170,17431,52927,27267,25660,521371,256805,264566,503709,247849,255860,278473,142337,136136,198948,101585,97363,163326,79823,83503,88508,39174,49334,40008,20234,19774,42084,21533,20551,44191,22756,21435,40682,20881,19801,38843,19871,18972,52005,26945,25060,51948,26698,25250,50271,25488,24783,44724,22454,22270,44352,22109,22243,39678,19604,20074,41048,19885,21163,38248,18225,20023,31356,14478,16878,23785,10908,12877,14521,6535,7986,9045,3776,5269,9801,3477,6324,36.8,35.8,37.9
50,8,8007,Colorado,Archuleta County,12,14029,7067,6962,611,303,308,1277,659,618,600,310,290,791,428,363,11825,5933,5892,11541,5795,5746,4048,2106,1942,2814,1453,1361,4102,1983,2119,3834,1931,1903,611,303,308,715,374,341,719,370,349,663,340,323,571,313,258,592,309,283,691,335,356,799,417,382,732,392,340,750,403,347,831,377,454,1152,539,613,1369,664,705,1488,739,749,1176,623,553,595,311,284,311,149,162,264,109,155,51.1,49.7,52.5
50,8,8009,Colorado,Baca County,12,3581,1797,1784,194,113,81,444,242,202,158,73,85,256,135,121,2864,1411,1453,2785,1369,1416,1128,591,537,759,402,357,895,441,454,875,391,484,194,113,81,236,135,101,253,126,127,193,95,98,176,94,82,188,112,76,185,101,84,202,89,113,184,100,84,171,84,87,194,92,102,240,113,127,290,152,138,239,111,128,203,91,112,160,83,77,109,49,60,164,57,107,44.5,41.8,48.1
50,8,8011,Colorado,Bent County,12,5577,3589,1988,200,97,103,465,234,231,196,99,97,493,356,137,4813,3213,1600,4716,3159,1557,2345,1766,579,1705,1332,373,1465,946,519,1053,525,528,200,97,103,228,108,120,286,147,139,238,128,110,402,306,96,499,394,105,416,332,84,416,319,97,374,287,87,421,317,104,342,226,116,347,207,140,355,196,159,303,161,142,282,151,131,193,96,97,129,59,70,146,58,88,41.3,39.5,47.3
50,8,8013,Colorado,Boulder County,12,326196,164297,161899,14161,7177,6984,31441,16132,15309,15632,8027,7605,47172,24497,22675,272864,137054,135810,264962,132961,132001,146141,76453,69688,87170,45870,41300,82262,40516,41746,48358,22078,26280,14161,7177,6984,16692,8592,8100,18582,9481,9101,25913,13148,12765,33058,17435,15623,24711,13543,11168,21691,11695,9996,20454,10526,9928,20314,10106,10208,21198,10638,10560,20174,9909,10265,20790,10209,10581,20100,9760,10340,17090,8175,8915,12897,6168,6729,7951,3637,4314,5120,2228,2892,5300,1870,3430,37,35.5,38.7
50,8,8014,Colorado,Broomfield County,12,70465,35045,35420,3547,1778,1769,8094,4121,3973,3930,2027,1903,5424,2746,2678,56815,28119,28696,54894,27119,27775,29834,15415,14419,21468,11127,10341,17927,8924,9003,10075,4322,5753,3547,1778,1769,4226,2142,2084,4856,2464,2392,4455,2323,2132,3911,1965,1946,5737,3045,2692,5426,2915,2511,5060,2567,2493,5245,2600,2645,5155,2653,2502,4443,2214,2229,4316,2123,2193,4013,1934,2079,3335,1496,1839,2756,1242,1514,1701,748,953,1151,472,679,1132,364,768,38.1,36.8,39.4
50,8,8015,Colorado,Chaffee County,12,20356,10786,9570,753,408,345,1574,816,758,744,392,352,1223,746,477,17648,9370,8278,17285,9170,8115,6876,4015,2861,5092,2975,2117,5672,2862,2810,5298,2587,2711,753,408,345,844,426,418,913,488,425,849,457,392,935,583,352,1240,772,468,1307,766,541,1349,775,574,1196,662,534,1217,675,542,1115,598,517,1597,770,827,1743,819,924,1886,928,958,1444,710,734,903,468,435,508,258,250,557,223,334,48.4,45.4,51.9
50,8,8017,Colorado,Cheyenne County,12,1831,928,903,109,59,50,265,137,128,90,47,43,128,70,58,1410,706,704,1367,685,682,598,308,290,402,201,201,452,238,214,385,176,209,109,59,50,161,77,84,126,70,56,100,56,44,96,51,45,88,37,51,94,51,43,119,56,63,101,57,44,85,41,44,90,55,35,148,79,69,129,63,66,133,65,68,87,50,37,56,32,24,45,15,30,64,14,50,40.8,40.4,41.4
50,8,8019,Colorado,Clear Creek County,12,9700,5135,4565,379,205,174,743,417,326,340,173,167,485,265,220,8403,4418,3985,8238,4340,3898,3131,1712,1419,2391,1322,1069,3292,1662,1630,2070,1091,979,379,205,174,401,230,171,427,235,192,404,203,201,336,187,149,514,297,217,616,346,270,624,341,283,637,338,299,687,345,342,757,365,392,864,429,435,984,523,461,803,440,363,624,313,311,348,201,147,157,69,88,138,68,70,49,47.9,49.8
50,8,8021,Colorado,Conejos County,12,8205,4113,4092,504,254,250,1080,549,531,480,236,244,728,370,358,6373,3189,3184,6141,3074,3067,2862,1461,1401,1777,915,862,2003,1000,1003,1633,789,844,504,254,250,598,303,295,605,306,299,597,298,299,488,248,240,452,227,225,450,244,206,452,220,232,423,224,199,408,200,208,449,232,217,555,266,289,591,302,289,541,255,286,431,209,222,286,142,144,230,109,121,145,74,71,39.6,39.2,40
