SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,POPESTIMATE,POPEST_MALE,POPEST_FEM,UNDER5_TOT,UNDER5_MALE,UNDER5_FEM,AGE513_TOT,AGE513_MALE,AGE513_FEM,AGE1417_TOT,AGE1417_MALE,AGE1417_FEM,AGE1824_TOT,AGE1824_MALE,AGE1824_FEM,AGE16PLUS_TOT,AGE16PLUS_MALE,AGE16PLUS_FEM,AGE18PLUS_TOT,AGE18PLUS_MALE,AGE18PLUS_FEM,AGE1544_TOT,AGE1544_MALE,AGE1544_FEM,AGE2544_TOT,AGE2544_MALE,AGE2544_FEM,AGE4564_TOT,AGE4564_MALE,AGE4564_FEM,AGE65PLUS_TOT,AGE65PLUS_MALE,AGE65PLUS_FEM,AGE04_TOT,AGE04_MALE,AGE04_FEM,AGE59_TOT,AGE59_MALE,AGE59_FEM,AGE1014_TOT,AGE1014_MALE,AGE1014_FEM,AGE1519_TOT,AGE1519_MALE,AGE1519_FEM,AGE2024_TOT,AGE2024_MALE,AGE2024_FEM,AGE2529_TOT,AGE2529_MALE,AGE2529_FEM,AGE3034_TOT,AGE3034_MALE,AGE3034_FEM,AGE3539_TOT,AGE3539_MALE,AGE3539_FEM,AGE4044_TOT,AGE4044_MALE,AGE4044_FEM,AGE4549_TOT,AGE4549_MALE,AGE4549_FEM,AGE5054_TOT,AGE5054_MALE,AGE5054_FEM,AGE5559_TOT,AGE5559_MALE,AGE5559_FEM,AGE6064_TOT,AGE6064_MALE,AGE6064_FEM,AGE6569_TOT,AGE6569_MALE,AGE6569_FEM,AGE7074_TOT,AGE7074_MALE,AGE7074_FEM,AGE7579_TOT,AGE7579_MALE,AGE7579_FEM,AGE8084_TOT,AGE8084_MALE,AGE8084_FEM,AGE85PLUS_TOT,AGE85PLUS_MALE,AGE85PLUS_FEM,MEDIAN_AGE_TOT,MEDIAN_AGE_MALE,MEDIAN_AGE_FEM
50,45,45001,South Carolina,Abbeville County,12,24527,11871,12656,1165,570,595,2487,1311,1176,1208,581,627,2259,1142,1117,20269,9693,10576,19667,9409,10258,8393,4148,4245,5234,2565,2669,6691,3203,3488,5483,2499,2984,1165,570,595,1311,676,635,1484,775,709,1618,820,798,1541,763,778,1416,705,711,1252,620,632,1272,612,660,1294,628,666,1511,747,764,1630,777,853,1718,813,905,1832,866,966,1733,830,903,1484,709,775,990,459,531,663,278,385,613,223,390,44.7,43.2,46.1
50,45,45003,South Carolina,Aiken County,12,170872,82478,88394,9657,4917,4740,18365,9427,8938,8517,4335,4182,13337,6587,6750,138538,65971,72567,134333,63799,70534,61348,30119,31229,41681,20290,21391,45323,21713,23610,33992,15209,18783,9657,4917,4740,9860,5019,4841,10692,5501,5191,10307,5224,5083,9360,4605,4755,11111,5543,5568,10705,5164,5541,10301,4924,5377,9564,4659,4905,10103,4841,5262,10869,5164,5705,12233,5939,6294,12118,5769,6349,10837,4921,5916,9295,4386,4909,6546,3069,3477,3768,1634,2134,3546,1199,2347,41.7,40.3,43.2
50,45,45005,South Carolina,Allendale County,12,8688,4518,4170,429,224,205,830,420,410,396,194,202,700,426,274,7251,3793,3458,7033,3680,3353,3243,1933,1310,2227,1353,874,2288,1121,1167,1818,780,1038,429,224,205,438,217,221,472,243,229,489,256,233,527,324,203,685,423,262,567,368,199,515,303,212,460,259,201,561,301,260,578,291,287,541,252,289,608,277,331,604,283,321,537,222,315,305,145,160,189,70,119,183,60,123,42.2,38.3,47.5
50,45,45007,South Carolina,Anderson County,12,202558,97404,105154,11874,6058,5816,23599,11969,11630,10427,5229,5198,16693,8402,8291,161907,76787,85120,156658,74148,82510,73527,35806,37721,48997,23466,25531,53842,25938,27904,37126,16342,20784,11874,6058,5816,12713,6440,6273,13476,6820,6656,12816,6426,6390,11714,5914,5800,12932,6269,6663,12171,5802,6369,12002,5676,6326,11892,5719,6173,13129,6384,6745,13212,6424,6788,14179,6838,7341,13322,6292,7030,11608,5370,6238,10119,4640,5479,7017,3168,3849,4533,1893,2640,3849,1271,2578,40.7,39.4,41.8
50,45,45009,South Carolina,Bamberg County,12,14066,6735,7331,646,327,319,1356,694,662,640,324,316,1754,936,818,11777,5578,6199,11424,5390,6034,5046,2539,2507,2805,1347,1458,3713,1765,1948,3152,1342,1810,646,327,319,738,364,374,771,398,373,1121,586,535,1120,606,514,808,397,411,663,315,348,653,313,340,681,322,359,783,358,425,864,421,443,1037,485,552,1029,501,528,1020,471,549,802,354,448,539,247,292,350,141,209,441,129,312,43.7,41,46.1
50,45,45011,South Carolina,Barnwell County,12,20866,9989,10877,1202,618,584,2560,1316,1244,1175,578,597,1680,854,826,16507,7758,8749,15929,7477,8452,7247,3567,3680,4692,2287,2405,5613,2616,2997,3944,1720,2224,1202,618,584,1433,739,694,1427,729,698,1369,689,680,1186,591,595,1384,730,654,1086,522,564,1093,509,584,1129,526,603,1244,612,632,1330,615,715,1537,722,815,1502,667,835,1294,594,700,1085,518,567,744,292,452,371,167,204,450,149,301,41.1,39,43.2
50,45,45013,South Carolina,Beaufort County,12,192122,94063,98059,9598,4886,4712,17768,9156,8612,7695,3866,3829,17236,10087,7149,160845,78049,82796,157061,76155,80906,62700,32767,29933,39773,19835,19938,46244,21144,25100,53808,25089,28719,9598,4886,4712,9652,4967,4685,10120,5210,4910,10973,5984,4989,11954,6948,5006,10980,5682,5298,9831,4845,4986,9732,4833,4899,9230,4475,4755,9666,4584,5082,10061,4660,5401,12340,5574,6766,14177,6326,7851,15770,6931,8839,15758,7491,8267,11101,5327,5774,6085,3023,3062,5094,2317,2777,47.2,44.1,49.7
50,45,45015,South Carolina,Berkeley County,12,227907,113007,114900,14590,7546,7044,27741,14117,13624,11828,5966,5862,20815,11967,8848,179556,88273,91283,173748,85378,88370,93772,47947,45825,64079,31540,32539,56578,27165,29413,32276,14706,17570,14590,7546,7044,15010,7635,7375,15681,8008,7673,14889,8003,6886,14804,8404,6400,16891,8614,8277,16737,8188,8549,16174,7876,8298,14277,6862,7415,14352,6989,7363,13986,6784,7202,14797,7110,7687,13443,6282,7161,11164,5119,6045,9349,4304,5045,5907,2796,3111,3331,1497,1834,2525,990,1535,36.7,35.1,38.1
50,45,45017,South Carolina,Calhoun County,12,14553,6985,7568,683,363,320,1393,730,663,650,325,325,1012,518,494,12132,5708,6424,11827,5567,6260,4627,2286,2341,3123,1528,1595,4209,2007,2202,3483,1514,1969,683,363,320,756,408,348,795,407,388,774,382,392,730,376,354,813,413,400,698,340,358,799,377,422,813,398,415,871,401,470,984,457,527,1197,586,611,1157,563,594,1138,512,626,907,418,489,667,294,373,398,171,227,373,119,254,47.6,45.4,49.3
50,45,45019,South Carolina,Charleston County,12,411406,198854,212552,23462,11997,11465,40152,20293,19859,16401,8400,8001,35443,18216,17227,339484,162305,177179,331391,158164,173227,171792,85504,86288,124102,61009,63093,102020,48084,53936,69826,30855,38971,23462,11997,11465,22385,11446,10939,21921,10968,10953,22686,11422,11264,25004,13073,11931,34311,16696,17615,34429,16833,17596,30600,15212,15388,24762,12268,12494,23960,11775,12185,24210,11625,12585,27281,12622,14659,26569,12062,14507,23948,10859,13089,19334,8930,10404,12263,5432,6831,6932,2974,3958,7349,2660,4689,38.5,37.2,39.7
